generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20
0,4274037,3148527,2067422,3248857,2143282,1838297,1928210,2662364,1478974,1135341,3042475,2794953,2483326,1297970,2056782,2412620,2988936,2460291,2152619,1961522
1,6,4,4,4,4,4,5,5,5,4,4,4,4,5,4,4,4,4,4,7
2,5,4,6,6,4,4,6,4,5,4,6,4,4,6,6,6,6,5,4,13
3,5,9,6,6,5,4,8,6,5,5,8,5,4,9,13,6,9,6,9,22
4,5,8,6,7,5,6,11,8,5,5,17,7,9,18,18,9,15,8,13,24
5,6,10,5,11,5,6,11,17,8,5,18,13,11,23,20,19,29,12,17,24
6,11,13,8,13,6,6,17,22,7,8,20,16,16,23,20,25,35,18,19,24
7,27,19,8,29,6,6,20,26,14,9,31,19,21,23,20,25,67,18,19,24
8,41,19,8,54,6,6,28,26,15,19,31,18,29,21,20,25,67,21,19,24
9,41,24,8,66,7,8,28,30,15,19,31,20,27,22,32,34,67,25,22,28
10,58,25,8,68,10,8,28,31,15,19,31,34,27,29,35,34,70,25,22,28
11,62,25,8,75,22,12,33,42,18,19,35,34,35,29,46,34,70,30,28,28
12,65,32,9,75,22,13,33,43,18,19,35,34,44,30,46,34,71,30,33,28
13,65,32,13,75,24,29,36,46,21,18,50,34,47,30,46,34,71,30,33,32
14,72,29,23,75,24,29,36,46,26,19,62,32,47,30,46,34,71,30,33,32
15,72,38,34,80,24,32,36,57,38,19,63,42,58,49,46,37,77,30,32,36
16,72,49,34,80,24,32,42,60,38,24,74,55,69,49,68,47,77,30,29,36
17,93,49,49,80,24,40,41,60,38,24,74,59,69,49,68,54,82,30,37,39
18,87,45,49,85,34,40,51,60,40,26,74,71,69,49,68,54,82,30,43,39
19,87,80,49,89,32,50,55,60,43,39,74,82,69,49,68,54,82,30,50,39
20,89,86,49,89,32,56,52,63,45,39,75,82,69,49,68,61,82,30,50,39
21,88,86,45,89,42,55,52,63,47,39,94,82,69,49,68,66,82,31,60,39
22,88,90,45,89,49,63,70,62,47,42,94,92,77,49,70,66,85,48,56,39
23,88,95,45,89,78,63,70,70,47,42,94,103,77,49,74,61,85,48,56,39
24,88,95,45,86,76,66,70,70,47,42,94,103,73,54,74,69,85,52,57,52
25,88,95,58,86,86,66,70,66,47,42,94,103,73,54,74,80,85,62,63,44
26,94,93,75,86,86,74,75,67,50,41,94,103,74,54,70,77,85,62,75,56
27,94,93,76,89,86,74,76,67,63,41,94,102,79,54,70,83,85,63,75,66
28,94,93,76,89,100,74,76,75,63,48,94,102,79,54,70,83,84,63,75,66
29,94,93,83,89,100,74,77,75,63,48,94,102,89,54,70,83,90,75,84,66
30,92,100,83,91,100,74,77,75,63,48,94,103,89,54,70,79,90,81,84,66
31,92,100,83,95,100,79,75,75,63,48,93,103,89,54,70,79,90,81,84,66
32,103,100,83,95,100,75,75,73,63,48,93,100,89,55,74,84,93,81,84,66
33,103,102,95,95,98,75,77,79,63,48,99,117,89,59,74,89,93,77,84,73
34,109,102,95,95,98,75,77,93,63,50,99,117,101,59,74,89,93,77,85,73
35,103,102,94,95,98,75,92,93,73,50,99,117,101,59,74,89,93,81,85,84
36,103,102,94,95,98,75,92,93,73,58,99,117,101,59,74,89,93,84,85,84
37,103,102,94,95,98,93,92,93,73,58,90,117,101,59,93,89,93,84,88,84
38,103,102,94,95,98,93,93,93,73,58,90,117,101,59,93,89,93,95,88,84
39,103,102,94,95,102,93,93,93,73,58,90,117,101,59,93,92,93,95,88,84
40,103,102,94,95,102,93,93,93,73,58,91,117,101,59,93,92,93,95,94,69
41,103,102,94,95,102,93,93,93,73,58,91,116,101,59,93,92,93,102,94,69
42,103,102,94,95,98,93,93,93,73,58,91,116,101,66,93,89,102,102,94,74
43,118,105,94,95,98,93,95,93,73,66,91,116,95,63,93,89,102,102,94,79
44,118,105,94,105,107,93,95,93,84,66,91,116,96,63,93,89,102,102,94,79
45,118,106,94,105,107,93,95,93,84,66,115,123,96,63,74,89,102,102,94,79
46,118,106,94,105,107,93,95,93,84,66,115,126,96,63,74,89,102,102,94,79
47,118,106,102,105,107,93,98,93,93,66,115,126,96,63,78,89,102,104,94,79
48,118,106,102,105,107,93,98,93,93,66,114,126,97,63,78,89,102,103,94,79
49,118,106,102,107,107,93,98,93,93,66,114,126,97,63,87,89,102,103,94,80
50,118,106,100,107,107,93,98,93,96,66,114,126,97,72,89,89,104,103,94,76
