generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20
0,2027611,1601583,1904314,2798468,2407236,432902,1312739,3294014,1964864,1264903,1554136,2052938,516626,1417150,2397566,1021841,1202087,3042773,1655664,2314505
1,5,4,4,6,4,4,4,4,4,6,4,4,5,4,4,6,5,4,6,4
2,9,4,6,6,4,5,4,7,4,5,5,4,5,8,5,6,5,4,6,4
3,13,5,6,5,6,5,6,8,6,7,11,5,6,8,5,6,5,8,6,4
4,14,5,13,8,6,5,7,26,8,7,12,6,6,7,5,8,7,8,6,5
5,14,5,15,13,8,5,6,43,13,11,19,11,6,10,5,10,9,12,6,5
6,19,8,20,22,14,5,6,43,19,11,19,18,6,10,7,10,10,17,6,5
7,19,9,21,28,16,5,8,44,28,11,21,20,6,11,11,10,9,17,8,6
8,19,9,23,35,16,5,11,55,26,14,21,20,6,15,18,13,14,20,10,6
9,19,11,23,38,20,5,11,55,32,14,21,24,8,18,19,14,20,21,13,6
10,28,12,26,40,20,6,13,55,42,16,39,26,8,21,29,13,25,26,20,7
11,28,17,31,46,20,6,22,55,46,19,39,42,8,21,29,16,25,32,23,7
12,28,26,32,46,27,6,22,55,53,19,39,42,8,24,30,16,25,42,23,10
13,34,26,39,53,25,7,22,55,51,26,39,44,8,23,38,18,25,42,23,14
14,34,29,39,66,38,7,28,61,51,26,40,44,8,26,42,18,26,54,37,23
15,41,29,39,74,42,7,31,65,51,22,42,53,8,26,45,25,26,53,37,23
16,58,32,39,72,56,7,40,76,68,35,47,64,8,26,72,24,26,58,37,24
17,58,32,42,88,56,10,40,81,68,28,50,64,8,28,77,23,26,71,37,24
18,57,34,44,88,56,10,46,83,68,28,50,73,8,28,79,27,31,71,34,39
19,61,41,44,88,56,10,46,83,68,35,50,79,8,28,79,34,33,86,43,48
20,61,41,44,88,56,10,46,87,80,45,50,83,8,31,82,36,37,86,60,48
21,67,41,79,88,64,11,46,87,80,45,58,97,8,36,82,36,37,86,69,65
22,67,51,79,88,74,13,55,93,80,45,58,97,8,36,93,36,41,86,69,65
23,75,60,79,113,74,13,73,93,80,45,68,97,8,34,91,50,48,86,69,73
24,75,60,79,113,74,17,73,99,88,45,77,97,8,34,91,50,48,86,69,73
25,75,75,75,113,74,17,73,99,88,45,77,97,8,34,91,50,48,97,69,73
26,75,75,75,113,74,17,73,99,88,45,77,97,8,41,92,50,48,97,69,83
27,74,75,87,113,76,17,73,101,88,46,77,97,8,41,95,50,48,100,70,88
28,74,75,87,113,87,17,74,101,88,46,74,97,8,41,95,50,55,100,70,84
29,74,75,87,113,87,17,74,101,95,46,74,97,8,41,95,50,55,108,71,84
30,74,75,87,110,87,17,73,101,95,46,75,97,8,41,95,50,55,108,71,84
31,77,75,87,110,94,17,73,105,95,66,78,97,7,38,95,50,60,117,71,84
32,76,69,87,110,94,17,73,105,95,70,78,97,7,42,95,50,60,117,71,84
33,79,69,87,124,94,17,73,105,95,65,93,97,7,52,95,50,60,117,71,84
34,79,75,87,124,94,17,73,105,95,70,93,97,7,52,95,50,60,117,77,93
35,85,75,90,124,94,17,73,105,95,86,93,97,9,52,95,49,60,153,84,93
36,85,75,90,124,94,17,73,105,95,86,93,97,9,61,95,49,60,153,84,93
37,85,75,94,124,94,17,73,105,95,86,93,97,13,75,95,59,60,153,84,88
38,88,75,94,124,94,20,73,105,95,86,93,97,17,75,95,59,82,153,84,88
39,88,75,94,124,92,20,73,103,95,75,93,97,26,75,95,61,85,153,92,89
40,88,69,94,120,92,20,73,103,95,94,93,97,27,87,95,61,85,153,92,97
41,88,78,94,127,92,20,76,103,95,94,93,97,39,87,95,61,85,153,92,97
42,98,78,94,127,92,23,76,103,95,94,93,97,43,87,95,61,85,153,92,97
43,98,85,92,127,97,23,76,103,95,94,93,97,43,107,95,61,85,153,92,97
44,98,85,92,127,97,23,76,103,95,103,93,97,44,107,104,61,85,153,92,98
45,98,85,92,127,97,25,76,103,95,103,93,97,46,98,103,61,85,153,103,98
46,98,116,92,127,97,25,89,103,95,103,93,97,52,98,103,61,85,153,103,98
47,98,116,95,127,103,25,79,103,95,103,93,97,56,98,103,61,91,153,100,98
48,98,116,95,127,103,25,79,103,95,103,93,100,55,110,103,62,91,153,105,109
49,98,116,95,127,103,25,79,103,95,103,93,100,55,110,113,67,91,147,105,121
50,100,116,95,127,103,25,80,103,95,103,93,100,56,110,113,75,91,147,105,121
