generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20,score21,score22,score23,score24,score25,score26,score27,score28,score29,score30,score31,score32,score33,score34,score35,score36,score37,score38,score39,score40,score41,score42,score43,score44,score45,score46,score47,score48,score49,score50,score51,score52,score53,score54,score55,score56,score57,score58,score59,score60
0,1759265,855886,4049926,936096,1972708,811919,1677333,1399568,1403730,1426750,3283272,1539338,1184768,3595042,3043683,581966,898893,605927,1214846,424503,2828596,2058254,1348362,2036061,1680587,806416,947825,1096295,894493,1467722,709621,1467767,1772984,1344142,469388,1363070,1343808,1408559,463868,2973362,803869,562592,1034910,1040115,1083529,849328,465058,2283538,1032969,681746,951525,2088048,1707687,1071839,1301662,664610,2973806,1117693,911746,2092295
1,5,6,4,4,4,4,4,5,4,4,4,9,4,4,5,4,5,3,4,4,4,4,4,4,4,4,4,4,4,6,3,4,6,4,5,4,5,4,4,4,4,3,3,4,3,5,3,4,4,4,4,4,4,4,4,4,4,3,4,4
2,5,10,5,5,4,5,5,4,4,4,6,10,4,4,5,5,5,4,6,6,6,4,4,6,6,4,4,4,6,7,4,4,6,4,5,5,5,6,4,4,5,5,4,4,5,5,4,4,4,4,4,5,4,5,4,5,4,4,4,6
3,5,14,7,5,4,5,5,6,6,5,6,16,6,4,5,5,8,4,7,6,6,4,4,6,11,4,5,4,5,7,4,5,13,4,5,5,5,6,5,4,5,5,7,4,5,5,4,4,4,5,4,5,7,6,4,7,6,6,7,6
4,6,14,7,5,5,5,5,5,6,5,6,14,5,6,6,5,10,6,5,6,14,5,4,6,16,4,5,5,5,10,4,5,12,4,6,6,5,6,5,5,5,5,8,4,5,5,5,6,6,6,4,6,8,7,4,7,8,7,7,6
5,6,14,20,5,5,9,8,6,6,5,6,17,5,16,9,6,12,6,5,6,19,7,4,6,14,5,5,6,6,17,4,6,21,7,6,7,7,7,5,6,5,5,10,5,5,6,5,6,6,7,8,5,12,7,4,7,10,8,7,8
6,8,14,34,5,7,12,7,6,7,5,7,26,5,27,20,7,12,8,7,6,23,8,5,5,14,5,6,6,7,18,4,6,21,7,7,12,6,8,5,8,5,6,11,5,5,6,5,13,9,8,8,6,16,7,4,6,13,12,7,15
7,7,14,34,5,8,13,7,6,11,5,13,29,6,27,24,6,12,9,9,6,23,12,6,5,18,5,6,6,7,28,7,9,21,10,7,13,6,13,5,8,8,6,10,5,6,6,5,28,9,8,8,9,18,7,4,6,16,18,7,32
8,11,20,32,5,12,16,7,7,15,6,20,30,7,34,30,6,12,9,11,6,23,21,9,5,18,6,6,7,7,28,6,14,28,13,7,21,6,16,7,13,8,6,13,5,7,8,5,28,11,9,8,17,19,7,7,6,16,21,7,32
9,11,20,45,5,12,16,9,9,15,6,22,66,7,36,46,7,15,11,11,6,25,21,8,5,24,6,6,7,7,28,9,18,37,22,7,21,6,16,7,20,11,7,14,10,8,8,5,28,10,9,10,19,26,7,7,7,20,21,7,45
10,11,20,50,6,13,16,10,9,16,6,29,66,8,43,49,7,22,11,11,6,32,23,8,8,24,6,6,8,7,30,9,22,38,22,7,29,8,19,7,20,11,7,14,15,10,8,6,36,14,10,16,24,26,12,6,7,24,21,7,45
11,14,20,50,6,13,16,20,10,16,6,48,66,8,56,49,7,22,11,16,7,32,23,9,10,24,6,6,9,7,30,9,22,38,25,7,29,8,19,7,20,11,7,14,15,10,8,6,36,16,13,19,24,26,16,6,7,26,21,8,45
12,14,20,69,6,14,16,33,13,17,6,56,66,8,60,54,7,22,11,16,7,29,23,12,11,24,6,8,11,7,39,9,26,39,23,7,29,8,26,6,20,14,7,14,15,14,8,6,46,16,13,18,30,31,21,7,9,29,24,10,45
