L0,L1,Graph
0.24366334,-1.0,3
0.5991693,-0.02256757,4
-0.081860915,-0.652691,5
0.27339527,0.23521039,5
0.5330331,-0.50259,5
1.0,0.30406296,5
-0.58668226,-0.17873485,5
0.53474075,-0.012252731,6
0.35535127,0.12373105,6
0.6923342,0.21480419,6
0.5761272,1.0,6
-0.44037074,-1.0,6
-0.71102935,0.5304464,6
-0.9973978,-0.63326025,7
-0.8919943,-0.911642,7
0.86631966,0.41040665,7
-0.9255216,0.8693955,7
-0.09610782,0.6496561,10
0.831868,-0.3537314,14
-0.31223822,-0.63832,14
-0.018048137,1.0,14
0.46093035,-0.28759137,14
0.667823,-0.14179008,14
0.23844296,-1.0,14
0.9554616,-0.5294155,14
-1.0,0.36914352,14
-0.11237118,0.4818752,14
0.33906648,-1.0,14
1.0,0.07122558,14
0.35636488,-0.22576384,14
0.19946256,-0.15557164,14
-0.8020864,0.88695365,14
-0.3335079,0.14853692,14
1.0,1.0,14
-0.93848175,-0.31810752,14
0.11878951,-0.22396028,15
-1.0,-0.5269034,21
-0.045340776,0.7014685,21
-0.9032007,1.0,21
-0.14237261,0.018672781,21
-1.0,-0.5954181,21
-0.38894296,-0.39650285,19
0.92857945,-0.714827,27
0.7306032,-0.8133879,26
-0.5480001,-0.67726594,26
-0.13514204,-0.65084004,26
0.07803151,-0.67514825,26
-0.22364798,0.045817643,26
-0.95070314,1.0,26
0.8197315,-0.96911937,39
-0.9022559,-0.7330893,
-0.3109808,-0.14915355,
0.7500278,0.31599432,
-0.66724193,0.4499031,
-0.4704715,-0.38330325,
-0.07223022,0.4984234,
1.0,0.11151999,
0.9103726,-0.93439186,
0.11515963,-1.0,
-0.25149748,-0.020108666,
-0.5663257,-0.52962494,
-0.92467135,0.4543756,
-0.4529391,0.41966352,
-0.7761045,0.6941511,
-0.95885587,0.6989969,
0.70648354,0.5764146,
-0.7434954,0.6698725,
0.17581491,0.9501512,
-0.6515869,-0.96366596,
0.9676235,-0.38903084,
0.38831732,0.1452491,
-3.478527E-4,1.0,
-0.51109755,0.41704538,
0.33868596,-0.6780225,
-0.10494463,-0.948985,
-0.86272854,-0.2599349,
-0.0057033487,-0.19232282,
-0.90746856,-0.05897969,
-0.62214696,-0.6122019,
-0.3051275,0.76288295,
-0.37059414,-0.03193593,
0.70016706,0.42907387,
-0.54373324,-0.38565373,
0.15873586,1.0,
0.36384186,-1.0,
0.4521442,0.0815012,
-0.00971815,-0.8567991,
-0.3671248,-0.6565314,
0.5385499,-0.9708015,
-0.5544665,-1.0,
0.3955574,-0.021145806,
0.6251328,-0.17456093,
-0.11134118,-0.7955408,
-0.2511664,-0.6271349,
0.019937396,0.82665694,
-1.0,0.8428515,
1.0,0.78183365,
0.86137927,0.5439109,
-1.0,-0.2209428,
0.66828436,0.6362552,
-0.04361105,,
-0.09421854,,
-0.15952936,,
-0.8517017,,
0.26995087,,
-0.7354977,,
0.25388294,,
-0.5628602,,
1.0,,
-0.49780393,,
-1.0,,
-0.61820436,,
0.6305899,,
-1.0,,
-0.8198422,,
-0.940651,,
0.23888591,,
-0.85860467,,
-0.4374455,,
-0.06008646,,
-0.18521804,,
0.86684066,,
1.0,,
0.30746835,,
0.95223665,,
-1.0,,
-1.0,,
-0.25861,,
0.49787802,,
-0.030473229,,
-1.0,,
0.5819517,,
-0.49013597,,
0.15433633,,
-0.9837307,,
-0.59013844,,
-1.0,,
-0.3159334,,
-0.51527226,,
0.90155643,,
0.25477493,,
-0.93188727,,
-0.5818394,,
0.39108962,,
-0.24770403,,
0.8675705,,
0.083652176,,
-0.37341666,,
-0.45690835,,
0.57438153,,
-1.0,,
-0.48107147,,
-0.6180418,,
-0.46315968,,
-1.0,,
0.8585868,,
-0.8148164,,
1.0,,
0.56248164,,
-0.4504696,,
0.71605986,,
-0.33050096,,
-0.3289376,,
0.7825315,,
1.0,,
0.48869053,,
-0.04553196,,
-0.51248914,,
0.7313241,,
-1.0,,
-0.4416808,,
1.0,,
0.41202083,,
-0.8746015,,
-0.3047425,,
-0.15815501,,
1.0,,
-0.019936979,,
0.60029715,,
-0.13972354,,
0.97552264,,
-0.53305256,,
-1.0,,
-1.0,,
-0.5328252,,
0.96529365,,
-0.81223094,,
0.9892901,,
0.9359696,,
-0.17144586,,
-0.81274056,,
-0.8591214,,
0.5385519,,
0.61156404,,
-0.5153386,,
-0.61567795,,
-1.0,,
0.36571515,,
1.0,,
0.30353725,,
0.19418567,,
0.99765587,,
-0.10116404,,
0.13148147,,
-0.5247544,,
-0.6557735,,
-0.6983464,,
0.23366219,,
0.035380334,,
0.9735864,,
-0.22750837,,
-0.77326125,,
0.9013835,,
0.30338007,,
-0.71831715,,
0.96903366,,
0.6700637,,
0.3842698,,
0.26324245,,
-0.88822466,,
1.0,,
1.0,,
-0.61606705,,
-0.6106714,,
0.10292137,,
1.0,,
0.4596068,,
-0.769821,,
-1.0,,
0.40937954,,
-0.7519051,,
0.020793393,,
-0.99952793,,
-0.37682614,,
-1.0,,
-1.0,,
-1.0,,
-0.1370585,,
0.19617167,,
-0.6399037,,
0.967278,,
-0.9772185,,
0.22484651,,
0.55603254,,
1.0,,
-0.7780429,,
0.15997425,,
-0.61011136,,
0.77625155,,
-0.7134431,,
-0.2620275,,
0.8496491,,
0.7231409,,
0.2320713,,
0.021280259,,
0.90761065,,
0.67696357,,
0.080501035,,
-0.32180524,,
-0.57594025,,
-0.014862433,,
0.16394731,,
0.9999491,,
0.8967933,,
-0.11445829,,
0.82646227,,
0.5814595,,
0.17460695,,
-0.6346521,,
0.5455964,,
1.0,,
0.6461013,,
-0.10119332,,
-0.7702006,,
-0.33025405,,
-1.0,,
0.88766706,,
-0.18723728,,
-0.6563267,,
0.4741956,,
-0.87188053,,
-0.20041734,,
0.0075929463,,
-1.0,,
0.42621028,,
-0.031226128,,
0.9306324,,
-0.13299511,,
-0.16482905,,
-0.9132074,,
0.07800994,,
-0.6517499,,
0.041334588,,
0.18971467,,
-1.0,,
0.17220864,,
0.7055323,,
0.9474704,,
-0.044786233,,
-0.6638723,,
-0.3753834,,
0.728009,,
0.1991497,,
0.06989442,,
0.0034151003,,
-0.6068492,,
0.36044085,,
-1.0,,
1.0,,
-0.6615432,,
0.19176313,,
0.72290677,,
-0.08129676,,
0.8279227,,
0.7504553,,
0.09824,,
0.8487444,,
0.21950908,,
0.33282524,,
-0.1944989,,
-0.011127621,,
1.0,,
-0.6822051,,
-1.0,,
-0.16443963,,
0.20344616,,
0.6087438,,
0.33830363,,
0.7558986,,
0.37959263,,
0.69116473,,
-0.3936398,,
-0.87731194,,
-0.32209918,,
-1.0,,
-1.0,,
1.0,,
-1.0,,
0.56993836,,
-0.58876634,,
0.10876247,,
-0.47608307,,
-0.646159,,
-0.6290148,,
-0.9882463,,
-0.32476437,,
0.20755666,,
0.5839766,,
-0.35600802,,
-0.509704,,
0.04010775,,
-0.7234689,,
0.9113799,,
-0.25624257,,
0.7673502,,
-1.0,,
-0.39361393,,
0.5644424,,
-0.9476352,,
0.53217876,,
-0.5254435,,
-0.6969389,,
-1.0,,
1.0,,
0.036652345,,
0.089572325,,
-0.09699623,,
-0.12516138,,
-0.733341,,
0.3685096,,
0.09620234,,
-0.4095953,,
-0.82489645,,
-0.63606554,,
1.0,,
0.25826195,,
-1.0,,
-0.9792279,,
0.10261482,,
0.5881714,,
1.0,,
0.10924339,,
-0.82752806,,
0.24701801,,
0.6589217,,
-0.3102569,,
0.699707,,
-1.0,,
0.89850914,,
-0.36157876,,
-0.78104717,,
0.5154847,,
0.38166374,,
-1.0,,
0.91097564,,
0.7309014,,
-0.37738615,,
-0.02846077,,
1.0,,
0.24023484,,
0.5567517,,
-0.22832556,,
-0.26669893,,
-0.30390888,,
-0.64926285,,
-0.008771077,,
0.25667226,,
0.51279616,,
-0.76148313,,
-0.02910027,,
0.29516047,,
-0.91618615,,
0.9397334,,
0.9918907,,
-0.07311781,,
-1.0,,
-0.32221583,,
0.0036311,,
0.6002032,,
0.34489447,,
-0.9739288,,
0.32583234,,
-0.38663688,,
-0.22006649,,
-0.3452277,,
0.24378389,,
0.60405153,,
-0.6864148,,
-0.121285684,,
-1.0,,
-0.9130681,,
-0.35385516,,
0.9222143,,
-0.65964866,,
0.6521345,,
0.39254856,,
0.090653464,,
0.09078221,,
0.49792218,,
0.20293783,,
-1.0,,
0.421673,,
0.40148407,,
-0.21537042,,
0.45743468,,
1.0,,
0.17510682,,
-0.46451277,,
1.0,,
-0.46857524,,
0.656379,,
0.1725046,,
-0.24676622,,
0.08019321,,
0.038322836,,
0.42606762,,
-0.07043487,,
0.83533937,,
-0.89788806,,
-0.8185355,,
1.0,,
-0.80305535,,
0.28260583,,
0.92700607,,
1.0,,
-0.2414087,,
-0.6720227,,
-0.33807483,,
0.0019081533,,
-0.10361153,,
-0.09567556,,
1.0,,
1.0,,
-0.30321738,,
-0.39925098,,
-0.6035087,,
-0.4014161,,
-1.0,,
0.45147935,,
-0.34514052,,
-0.017181367,,
0.33886904,,
-0.9777672,,
-1.0,,
-0.3194111,,
0.077236384,,
-1.0,,
-0.51195717,,
-0.6784985,,
0.5094019,,
-1.0,,
0.020782541,,
-1.0,,
-0.6824772,,
-0.5203894,,
0.1193117,,
0.57259655,,
0.09179375,,
-0.3696401,,
-0.013468802,,
-0.1449328,,
-0.09563939,,
-0.08331992,,
-1.0,,
-0.44997853,,
0.36750677,,
-0.9696463,,
-1.0,,
1.0,,
0.8815287,,
-0.034870893,,
0.48167527,,
0.29128623,,
-0.77673304,,
-0.8863256,,
1.0,,
0.6329354,,
0.6033567,,
-0.5825802,,
-0.77769655,,
0.35825682,,
-0.19657952,,
-0.23909524,,
-0.8475462,,
0.80398494,,
-0.34967303,,
0.7019944,,
0.044701844,,
-1.0,,
-0.5029699,,
0.5805944,,
-0.41022617,,
0.14217296,,
-0.36681238,,
-0.83160776,,
0.13951582,,
-0.5025461,,
-0.48187074,,
-0.34841317,,
-0.9214314,,
-0.77071816,,
-0.589644,,
0.4234981,,
0.06107247,,
0.53527194,,
0.06878193,,
-0.42762315,,
-0.5493626,,
0.90827143,,
-0.9562306,,
0.99322045,,
-1.0,,
-0.0366852,,
0.15168074,,
-0.6688567,,
0.6829437,,
0.8163962,,
-0.34533972,,
-0.93935376,,
0.36367637,,
-0.0066467356,,
-0.2593944,,
-0.85032576,,
-0.75310016,,
0.06577751,,
0.36772826,,
1.0,,
1.0,,
0.8905115,,
0.4950229,,
-0.5590039,,
0.91927063,,
-1.0,,
0.01045233,,
-0.37599733,,
-0.11021611,,
0.31195062,,
0.2352033,,
-1.0,,
-1.0,,
-0.68948877,,
-0.14263281,,
-0.19945192,,
-0.87016726,,
0.19995111,,
0.8404048,,
-0.9313717,,
0.050740458,,
-0.33835992,,
0.34001476,,
0.49472716,,
0.52308923,,
0.23699743,,
0.80303097,,
0.694648,,
0.31031758,,
-0.8938865,,
-0.12214259,,
-0.40635985,,
-0.37483156,,
