generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20,score21,score22,score23,score24,score25,score26,score27,score28,score29,score30,score31,score32,score33,score34,score35,score36,score37,score38,score39,score40,score41,score42,score43,score44,score45,score46,score47,score48,score49,score50,score51,score52,score53,score54,score55,score56,score57,score58,score59,score60
0,350248,88596,340543,274422,66642,284939,446511,115942,492561,188149,255405,58809,62751,267130,68358,128145,63547,90024,71034,66701,447601,453471,70890,62591,59144,64515,103035,385403,217879,285969,199666,59156,63670,59856,181900,176045,117472,169606,177607,199428,235778,583108,157877,195688,136517,270090,277628,195296,376754,281128,184475,68879,192686,233637,276214,107152,296674,131035,284134,77083
1,4,5,4,5,3,3,4,4,4,3,4,5,3,4,3,4,3,3,3,3,4,4,4,5,5,5,3,3,4,3,3,3,4,4,5,4,3,3,4,3,3,5,4,3,3,3,4,3,4,5,4,3,3,3,4,3,3,3,3,3
2,5,4,5,6,5,5,4,4,4,3,4,4,4,4,4,6,5,5,4,3,6,5,5,5,4,3,3,5,4,3,4,4,4,4,5,4,5,4,7,4,4,5,4,5,3,5,5,3,5,7,3,4,6,4,6,5,4,3,3,4
3,5,4,5,6,5,4,4,4,5,4,4,4,4,4,4,6,4,6,6,4,8,5,6,4,4,6,4,5,5,4,4,4,4,4,5,4,5,5,6,4,4,8,4,4,4,6,5,5,5,10,4,4,5,4,7,5,4,4,4,4
4,7,4,5,8,4,4,8,7,5,5,4,6,6,6,5,6,4,5,6,4,7,6,6,4,4,6,4,5,5,5,5,4,4,4,5,4,5,5,6,5,4,12,5,4,4,6,7,5,6,15,4,5,5,5,7,5,4,5,6,4
5,7,6,5,9,4,5,10,7,5,5,4,5,6,6,5,6,5,5,5,4,9,10,7,4,4,6,4,5,5,5,5,5,5,4,5,5,6,5,6,5,4,12,5,4,5,6,7,5,8,17,5,5,6,6,7,5,6,5,6,4
6,13,6,5,11,4,5,19,7,6,5,5,5,6,13,5,6,5,5,5,4,9,11,7,4,4,6,5,5,5,5,5,5,5,4,5,5,6,5,6,6,5,25,5,5,5,6,7,7,8,17,5,5,6,6,7,5,7,5,6,4
7,13,6,7,11,4,5,20,7,7,5,5,5,6,13,5,6,5,6,5,4,9,17,7,4,5,6,5,5,5,5,5,5,5,4,5,5,6,6,6,6,5,25,6,5,5,6,23,9,8,17,5,5,6,7,9,5,7,6,6,4
8,16,6,7,11,4,5,23,7,13,5,6,5,6,13,5,6,5,6,5,4,11,17,7,4,5,6,5,5,5,5,5,5,5,4,6,6,7,6,6,6,6,27,6,5,6,6,23,9,8,17,5,5,6,13,9,5,7,6,5,4
9,16,6,7,16,5,6,20,7,17,7,6,5,6,18,5,6,5,6,5,4,12,22,7,4,5,5,5,6,5,5,6,5,5,4,6,6,12,6,7,6,6,35,7,5,7,6,23,10,8,13,5,5,6,19,9,5,8,6,5,4
10,20,6,7,16,5,6,34,6,17,8,7,5,6,18,7,6,5,6,5,4,12,21,7,4,5,5,5,6,7,5,6,5,5,4,8,9,14,10,7,6,6,40,7,5,9,6,23,10,10,13,5,5,6,19,9,5,13,7,6,5
11,21,6,14,26,5,6,34,6,17,10,7,5,6,18,7,6,5,6,5,5,12,21,7,4,5,5,5,6,7,6,6,5,5,4,8,9,14,10,10,6,6,49,7,6,9,6,23,12,15,13,6,5,6,19,9,5,13,7,6,5
12,33,6,15,28,5,6,34,9,24,11,7,5,6,21,7,7,5,6,5,5,12,24,7,4,5,5,5,9,7,6,6,5,5,4,8,9,14,10,13,6,6,49,7,6,9,7,24,18,15,13,6,5,6,19,12,5,12,7,9,5
