generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20,score21,score22,score23,score24,score25,score26,score27,score28,score29,score30,score31,score32,score33,score34,score35,score36,score37,score38,score39,score40,score41,score42,score43,score44,score45,score46,score47,score48,score49,score50,score51,score52,score53,score54,score55,score56,score57,score58,score59,score60
0,73930,758392,224044,202498,86890,148721,142374,461098,225152,73936,305659,174476,90150,105240,371439,112321,80253,78761,74344,81696,183650,70172,80813,82566,173759,107384,181972,72656,115183,368151,212377,77298,107133,222850,258012,261950,107857,324192,69231,141652,363025,201913,92940,77788,95997,74082,343911,75836,93865,76291,100473,94052,84053,193614,133105,237703,140326,151883,366808,80760
1,3,4,4,3,5,4,3,5,5,3,4,3,4,3,3,4,3,3,3,4,4,3,3,6,3,3,3,3,3,3,3,3,3,4,4,5,4,3,5,3,3,3,3,4,3,3,3,4,3,3,5,3,4,3,3,3,3,3,6,3
2,3,5,4,4,4,5,3,5,6,4,4,4,4,4,3,4,3,3,3,4,4,4,3,6,4,4,4,3,3,3,3,3,3,4,4,5,4,3,6,4,3,6,4,4,3,4,3,4,4,4,5,4,4,4,4,4,3,3,7,3
3,4,10,4,4,4,5,4,5,8,4,5,5,4,5,4,5,5,4,4,4,4,4,4,6,4,6,4,3,4,4,4,3,4,4,4,7,8,4,7,5,6,6,4,5,4,4,4,4,4,5,7,6,5,4,5,6,5,4,8,3
4,4,10,4,5,5,5,4,6,14,4,6,5,5,6,4,5,4,4,4,5,5,4,4,5,4,5,5,3,4,5,4,4,5,4,4,12,8,4,7,7,15,5,5,5,5,4,4,4,5,5,7,6,5,6,5,9,5,4,11,3
5,4,12,5,5,5,5,4,6,14,4,9,5,5,9,4,7,4,4,4,5,5,4,4,4,4,5,5,4,5,6,5,4,5,4,5,12,8,4,7,7,15,7,5,5,5,4,4,6,5,5,7,6,6,6,5,11,5,5,14,4
6,4,19,6,5,5,6,4,6,14,5,11,6,7,9,4,7,4,4,4,5,7,4,4,4,4,5,7,4,5,7,5,4,5,4,8,12,8,4,7,9,15,8,6,5,5,4,6,6,5,5,7,6,6,5,6,21,5,5,17,4
7,4,23,6,6,5,11,5,5,16,5,17,6,8,9,4,7,4,4,5,5,7,4,4,4,8,5,7,4,5,9,5,4,5,6,8,15,10,4,7,9,18,8,6,5,5,4,6,6,5,5,8,6,6,5,6,20,6,5,20,4
8,4,28,6,8,5,17,5,5,16,5,17,7,8,9,5,8,4,4,5,5,8,4,5,4,8,5,7,4,5,9,5,4,5,6,11,15,10,4,7,10,18,13,6,5,5,4,6,6,5,5,7,6,6,7,6,27,6,5,20,4
9,4,26,6,12,5,17,5,7,16,5,18,8,8,10,5,8,4,4,5,5,10,4,5,4,8,5,7,4,5,10,5,4,5,6,10,15,10,4,7,13,18,13,6,5,5,4,6,6,5,7,7,6,6,8,6,37,7,6,20,4
10,4,28,6,12,6,19,5,7,19,5,23,8,8,10,7,8,4,4,5,5,10,5,5,4,8,5,7,5,5,11,5,4,5,6,14,15,10,5,7,12,17,13,6,5,5,4,6,6,7,7,8,6,5,11,6,39,8,7,20,4
11,4,37,6,12,6,19,5,8,19,5,23,8,8,10,7,8,4,4,5,5,12,5,5,4,8,7,7,5,5,20,5,4,5,6,14,15,10,7,7,14,21,28,6,5,5,4,6,6,7,7,8,6,5,11,6,43,8,7,22,4
12,4,37,6,14,6,20,5,7,20,5,23,8,8,10,9,8,4,5,6,5,12,6,5,5,12,7,7,5,6,20,5,4,5,6,14,13,10,9,7,13,21,28,6,5,5,4,6,6,7,7,10,6,5,11,6,43,8,7,22,4
13,4,37,6,14,6,20,5,9,20,5,23,9,8,10,15,9,4,5,6,5,12,6,5,6,12,7,7,5,6,20,5,4,5,6,14,12,10,9,7,13,21,28,6,5,5,5,6,6,7,7,10,6,5,13,6,43,8,7,29,4
14,5,39,7,14,6,23,5,11,19,5,23,9,8,11,16,9,4,5,6,5,11,6,5,6,15,7,11,5,6,20,5,4,5,6,14,12,15,9,7,13,21,28,6,5,5,5,6,6,6,7,10,6,5,17,6,43,10,7,29,4
15,5,39,11,16,6,27,5,20,19,5,23,9,8,11,20,9,4,5,6,5,11,5,5,5,15,7,11,5,6,20,5,4,5,6,14,15,15,10,7,13,25,28,6,5,5,5,7,6,6,7,10,6,5,20,6,41,10,7,29,4
16,5,40,11,17,6,27,5,18,19,5,23,11,8,11,27,9,4,5,6,5,11,5,5,5,19,7,11,5,7,34,5,4,5,6,15,15,15,23,7,17,25,28,6,5,5,5,7,6,6,7,10,7,5,20,6,42,10,7,29,4
17,5,40,22,17,6,27,5,19,19,5,23,12,8,11,27,9,4,5,6,5,15,5,5,5,19,7,11,5,7,34,5,5,5,6,16,15,15,23,7,18,22,28,6,5,5,5,7,6,6,7,10,7,5,20,6,42,10,8,33,5
18,5,43,22,17,6,27,5,26,19,5,32,12,10,11,27,9,4,5,6,5,15,5,5,5,19,8,13,6,7,34,5,5,5,6,16,20,13,23,7,18,22,28,6,5,5,5,7,6,6,7,9,7,5,20,7,42,13,8,33,5
19,5,43,22,17,6,27,6,26,19,5,32,12,10,11,27,13,4,5,6,5,15,5,5,5,19,7,13,6,8,34,5,5,5,6,17,20,18,18,7,18,22,28,6,5,5,5,9,6,6,7,11,7,5,20,7,42,14,8,33,5
20,5,43,22,17,6,27,6,26,24,5,32,18,11,11,27,13,4,5,6,5,15,5,5,5,28,7,13,6,8,33,5,5,5,6,23,20,18,18,9,17,26,28,8,5,5,5,18,6,6,7,11,7,5,20,7,42,14,9,33,5
21,5,43,22,17,8,27,6,26,26,5,32,17,11,11,27,13,4,5,7,5,20,5,5,5,28,7,13,6,8,33,5,5,5,7,23,20,18,18,9,20,26,28,8,5,5,5,26,6,6,7,10,7,5,20,9,35,14,18,33,5
