generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20,score21,score22,score23,score24,score25,score26,score27,score28,score29,score30,score31,score32,score33,score34,score35,score36,score37,score38,score39,score40,score41,score42,score43,score44,score45,score46,score47,score48,score49,score50,score51,score52,score53,score54,score55,score56,score57,score58,score59,score60
0,48088,168487,86917,102982,47760,202432,188043,127666,320526,95792,202634,42767,50033,56637,114526,35602,80412,36162,35876,38447,93395,42671,45633,402536,38671,37895,93082,91245,236815,36075,216695,214040,251983,63126,79715,36715,379391,44494,107027,190010,109585,40807,106902,34746,35347,335855,38311,239853,235584,275220,100983,122736,39494,303571,38440,292737,75937,65469,406034,97584
1,4,3,3,4,3,3,3,3,4,3,3,3,4,3,4,3,4,4,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,4,5,3,3,4,3,3,4
2,4,4,3,4,4,3,4,3,4,3,4,4,4,4,4,3,6,3,3,4,4,4,5,5,4,4,3,3,4,4,3,5,6,4,3,4,4,3,4,3,4,3,4,4,4,4,4,3,3,5,4,4,4,4,4,3,4,6,5,6
3,4,4,4,4,5,3,10,4,4,4,4,5,4,5,5,4,6,4,5,4,6,4,5,10,5,4,4,4,4,4,6,6,6,6,3,4,4,3,5,3,4,3,4,4,5,4,4,4,7,7,6,4,4,5,4,5,6,6,6,8
4,5,5,4,6,5,4,11,4,5,5,5,5,4,6,5,4,6,4,5,4,7,4,5,13,5,4,4,4,5,6,6,7,6,6,4,4,5,5,5,4,4,4,4,4,4,5,4,4,9,7,7,4,4,9,4,5,6,8,7,11
5,5,5,4,6,5,5,13,4,5,7,5,5,5,6,6,5,6,4,5,6,7,4,5,14,5,4,4,4,6,6,8,6,6,6,4,4,5,5,5,7,4,4,7,4,5,5,4,5,14,7,8,5,4,17,4,5,6,9,8,12
6,5,8,4,6,5,5,15,4,8,7,7,5,5,6,6,5,6,4,5,6,7,6,5,26,8,4,4,5,6,6,8,8,6,6,4,4,6,5,5,6,5,4,7,4,9,5,4,9,14,7,9,5,6,19,4,5,6,9,9,12
7,5,8,6,6,5,5,15,5,8,7,7,5,5,6,6,5,6,4,5,6,8,6,5,27,8,4,4,5,6,6,9,9,6,6,4,4,7,5,5,10,5,4,7,5,9,7,5,16,14,7,11,5,6,19,5,6,7,11,9,12
8,5,8,6,9,5,5,15,6,8,7,7,5,5,6,6,5,6,4,5,6,8,6,5,34,8,4,4,7,6,6,13,11,6,8,4,4,12,5,5,13,7,4,7,5,9,12,5,21,14,7,11,7,6,19,5,9,8,11,13,12
9,5,11,6,9,5,5,15,6,8,7,7,5,5,6,8,5,6,4,5,6,8,5,5,38,8,4,4,7,6,6,19,10,6,8,4,4,12,5,5,13,7,4,7,5,9,22,5,22,14,8,11,7,6,19,5,10,9,12,20,14
10,5,11,6,16,5,5,17,6,8,7,7,5,5,6,8,5,6,5,5,6,8,6,5,47,8,4,5,9,6,6,17,17,7,8,4,4,12,5,5,14,7,5,7,5,9,22,5,24,14,8,12,7,6,20,5,13,9,12,28,14
11,5,13,6,16,5,5,18,6,13,7,12,5,5,6,8,5,7,5,5,6,9,8,5,47,8,4,5,10,6,6,17,17,7,8,4,4,30,5,7,14,7,5,7,6,9,22,5,32,14,8,12,7,6,20,6,16,9,15,49,14
12,5,13,6,16,5,6,18,6,13,7,12,5,5,6,8,5,7,5,5,6,10,8,5,47,8,4,6,18,6,6,20,29,14,9,4,4,30,5,7,14,7,5,7,6,9,31,5,32,16,9,14,7,6,22,6,24,10,16,49,14
13,5,19,6,16,5,6,24,6,16,7,13,5,5,6,8,5,7,5,5,6,10,8,5,46,8,4,6,18,6,6,20,29,26,9,4,5,46,5,9,14,7,5,7,6,9,31,5,32,16,20,16,7,6,24,6,24,10,16,49,14
14,5,19,6,16,5,6,24,6,16,8,13,5,5,6,8,5,7,5,5,6,14,8,5,46,8,5,6,18,6,6,20,29,26,10,5,5,46,5,11,15,7,5,7,6,9,31,5,32,16,20,17,7,6,24,6,24,10,16,49,15
15,5,31,6,16,5,8,22,6,17,8,13,5,5,6,7,5,7,5,5,6,14,8,5,46,8,5,6,18,6,6,21,27,26,10,5,5,46,5,12,21,7,5,11,6,9,31,5,32,16,20,17,7,6,31,6,40,12,18,54,15
16,5,31,9,16,5,11,27,6,22,8,13,5,5,6,7,6,7,5,5,6,14,8,5,46,8,5,6,18,6,6,21,27,26,10,5,5,38,5,12,28,7,5,11,6,9,31,5,33,16,20,17,7,6,37,6,40,12,18,54,15
17,5,31,8,18,5,18,27,7,22,14,13,5,5,6,7,6,7,5,5,6,18,8,5,46,8,5,6,16,8,6,24,37,26,10,5,5,50,5,12,28,7,5,12,6,9,31,5,37,16,20,17,7,6,43,6,40,15,18,54,15
18,5,31,10,18,5,23,27,7,22,14,16,5,5,6,7,6,8,5,5,6,18,8,5,65,8,5,6,16,8,6,24,40,26,12,6,5,50,6,12,28,7,5,12,6,9,31,5,37,19,33,17,7,6,57,6,40,15,18,56,15
19,5,30,10,21,5,23,27,7,22,14,14,5,5,6,9,6,8,5,5,6,18,8,5,74,9,5,6,16,8,6,26,40,26,12,6,5,50,8,12,37,7,5,12,6,9,33,5,37,17,33,17,7,6,57,6,40,15,18,56,15
20,5,30,12,21,5,23,27,7,36,14,14,5,5,6,10,6,9,5,5,7,18,8,5,74,9,5,6,16,8,6,33,46,26,12,6,5,51,8,12,37,7,5,17,6,9,33,5,44,17,33,17,7,6,57,6,40,15,18,56,17
21,5,30,13,21,5,23,27,7,34,14,14,5,5,6,11,6,9,5,5,7,18,8,5,74,9,5,6,16,10,6,33,46,26,12,6,5,51,8,16,37,7,5,17,6,9,33,5,51,22,33,17,7,6,55,6,40,15,18,60,18
22,5,30,13,21,5,29,27,7,75,14,17,5,5,6,12,6,9,5,5,7,18,8,5,74,9,5,7,16,25,6,32,46,26,12,6,5,55,8,16,37,7,5,17,6,9,51,5,51,22,43,17,7,6,70,6,40,15,18,60,18
23,5,30,13,21,5,29,27,7,75,14,17,5,5,6,14,6,11,5,5,7,18,8,5,74,9,5,10,16,25,6,32,46,26,12,6,5,71,8,17,37,7,6,17,6,9,58,5,51,22,43,17,7,6,70,6,40,15,18,60,18
24,5,30,13,21,5,29,27,7,75,14,19,5,5,6,23,6,11,5,5,7,18,8,5,74,9,5,10,17,25,6,32,46,28,12,6,5,76,8,17,37,7,6,28,6,9,58,5,51,24,43,17,8,6,70,6,40,15,18,63,18
25,5,30,13,21,5,28,34,7,65,14,22,5,6,6,23,6,11,5,5,7,18,8,5,74,9,5,10,17,28,6,32,46,28,12,6,5,87,8,17,37,8,6,28,6,9,58,5,51,24,43,17,15,6,70,6,43,15,18,63,18
26,5,34,14,21,5,26,33,7,76,14,22,5,6,7,23,6,11,5,5,7,18,8,5,74,9,5,11,17,28,6,32,45,28,12,6,5,87,8,17,37,10,6,28,6,9,58,5,51,24,43,17,15,6,70,6,48,15,18,74,19
27,5,34,18,21,5,24,33,7,76,14,22,5,6,7,23,6,11,5,5,7,18,7,5,74,9,5,11,17,28,6,32,45,28,12,6,5,87,8,17,37,10,6,28,6,9,58,5,51,29,43,17,15,6,70,6,48,15,18,74,19
28,5,34,18,21,5,24,33,9,70,14,22,5,6,7,23,6,13,5,5,7,18,7,5,74,9,5,12,17,36,6,32,45,28,12,6,5,87,8,17,37,10,6,28,6,9,52,5,51,53,43,17,15,6,70,6,52,15,18,74,19
