generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20,score21,score22,score23,score24,score25,score26,score27,score28,score29,score30,score31,score32,score33,score34,score35,score36,score37,score38,score39,score40,score41,score42,score43,score44,score45,score46,score47,score48,score49,score50,score51,score52,score53,score54,score55,score56,score57,score58,score59,score60
0,230978,566100,409732,339010,257251,432281,783830,428776,287636,431939,834674,81848,81931,91557,696089,100423,90096,81218,187391,521472,524282,898147,587488,134991,281201,375491,295310,86328,182143,765867,291826,85723,88305,333693,926428,105787,98077,333120,899243,551354,268200,92324,92083,323231,106800,990683,234607,81808,720708,80427,321955,240641,383494,1064553,212327,495269,192279,243615,114380,208439
1,6,4,3,8,3,3,3,5,4,6,5,3,3,3,3,3,3,3,4,3,3,3,3,4,3,4,4,3,3,3,3,3,3,5,3,4,3,3,4,3,3,5,5,3,3,3,4,3,4,4,4,6,3,3,3,3,3,3,3,3
2,8,6,6,8,4,5,5,4,4,4,9,3,3,4,5,4,4,4,4,4,4,4,5,4,4,4,4,3,3,7,3,4,4,4,4,5,4,3,4,4,4,5,4,3,4,4,5,4,4,4,4,6,6,3,4,4,4,3,4,4
3,8,7,7,8,4,5,5,5,6,4,8,5,4,4,6,4,4,4,5,4,7,4,4,4,6,5,5,3,4,6,6,4,4,6,5,5,4,4,6,4,4,4,4,5,4,4,5,4,5,4,5,6,4,4,4,6,4,4,5,4
4,8,11,9,8,4,4,5,5,5,6,8,4,7,4,10,5,4,4,5,4,7,5,5,4,10,5,9,6,4,6,5,4,4,6,7,5,4,4,6,4,7,4,4,5,5,4,6,5,5,4,7,6,5,4,4,6,4,4,5,4
5,9,13,9,8,4,6,8,5,5,7,10,4,7,4,26,6,4,4,5,4,7,5,5,4,10,6,9,4,5,6,5,4,4,6,10,6,5,4,6,4,7,4,4,6,6,5,6,5,5,4,7,8,5,5,5,6,5,4,5,5
6,12,14,9,13,4,6,13,5,5,7,13,4,7,6,39,6,4,4,6,4,10,5,5,4,10,6,14,4,5,6,5,5,4,8,13,7,5,6,6,5,8,4,4,7,6,7,6,5,7,4,7,8,5,11,5,6,7,4,5,5
7,14,14,15,13,4,6,28,6,6,7,18,4,7,6,39,6,4,4,6,6,12,5,5,5,8,6,15,4,5,6,5,5,4,8,14,7,5,6,7,5,8,5,5,7,6,10,6,5,10,4,7,8,6,15,5,6,7,4,5,5
8,14,21,22,13,5,7,35,6,6,7,18,6,7,6,39,6,4,4,6,7,13,5,5,6,11,6,15,4,5,6,9,5,4,8,15,7,6,6,13,5,10,5,5,11,7,16,6,5,25,5,7,8,6,22,5,6,7,5,5,5
9,14,23,22,13,5,7,35,10,6,7,32,6,7,6,44,6,4,4,6,7,14,5,5,6,11,6,15,4,5,6,9,5,4,11,15,7,6,6,27,7,13,5,5,11,7,16,6,5,25,5,7,8,6,27,5,6,7,5,5,5
10,14,26,22,17,5,7,35,22,6,7,32,6,8,6,44,6,4,5,6,7,18,5,5,6,11,6,15,4,5,6,7,5,4,13,15,7,6,6,27,7,15,5,5,11,7,16,6,5,25,5,8,8,6,27,5,7,7,5,6,5
11,14,26,22,17,5,7,35,27,6,9,32,6,8,6,45,6,4,5,6,9,21,5,6,6,17,6,18,4,6,6,9,5,4,12,15,7,6,7,27,7,15,5,6,11,7,17,9,5,25,5,10,8,6,27,5,7,7,5,6,5
12,15,26,23,25,5,7,35,26,7,11,44,6,8,6,45,6,4,5,6,9,21,5,6,6,17,6,18,4,6,6,12,5,4,12,15,7,6,7,37,7,15,5,6,11,7,17,9,5,25,5,12,15,6,36,5,7,7,5,6,7
13,19,26,27,25,5,7,35,34,8,18,44,6,8,6,45,6,4,5,6,9,21,9,6,6,17,6,18,5,6,6,12,5,5,16,20,7,6,7,37,11,15,6,6,11,7,26,13,5,25,5,16,15,6,38,7,7,7,8,6,7
14,19,26,31,25,5,7,35,34,13,18,37,6,8,6,45,6,4,5,6,14,29,12,6,6,17,6,18,5,6,18,15,5,5,16,22,7,6,11,37,11,15,6,6,13,7,26,13,5,46,5,16,15,6,37,7,7,8,8,6,7
15,19,25,31,21,8,7,35,34,13,18,37,6,8,6,45,6,4,5,6,34,29,12,6,6,17,6,18,5,6,16,15,5,5,16,37,7,6,14,44,21,15,6,6,13,7,24,13,5,46,5,16,15,6,41,7,7,8,8,6,7
16,21,25,31,28,8,7,78,34,13,18,45,6,8,6,45,6,4,5,6,34,29,19,6,6,17,8,19,6,6,16,15,5,5,16,43,7,6,21,47,21,15,6,6,13,7,24,13,5,46,5,18,15,6,48,7,8,9,8,6,7
17,21,28,31,31,8,7,73,37,17,18,49,6,8,6,45,6,4,5,6,34,31,19,6,6,17,10,19,5,6,18,15,5,5,16,43,7,6,21,47,21,16,6,6,21,7,30,13,5,46,5,18,15,6,48,7,12,9,8,6,7
18,21,41,38,31,8,7,77,37,21,22,49,6,8,6,46,6,4,5,6,34,39,21,6,6,17,13,19,5,8,20,15,5,5,17,43,7,6,21,47,21,16,6,6,21,7,38,16,5,52,5,18,15,8,65,7,22,12,8,6,7
19,21,46,38,31,8,7,85,37,21,31,58,6,8,6,46,6,4,5,6,34,45,25,6,6,17,13,19,5,8,20,15,5,5,17,43,7,6,21,61,21,16,6,6,21,7,38,16,5,52,5,18,15,19,65,7,22,11,8,6,7
20,19,46,46,31,8,11,85,37,21,31,68,6,8,6,46,6,4,5,6,38,45,32,6,6,17,21,25,5,8,27,20,5,5,17,43,7,6,21,70,21,16,6,6,19,7,38,16,5,52,5,22,15,19,63,7,34,14,8,6,8
21,19,46,46,35,8,17,87,37,21,31,75,6,8,6,46,6,4,5,7,43,50,76,6,6,17,21,25,5,8,31,20,5,5,18,43,7,6,21,70,21,16,6,6,19,7,52,16,5,52,5,22,15,19,63,7,34,14,8,6,8
