generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20,score21,score22,score23,score24,score25,score26,score27,score28,score29,score30,score31,score32,score33,score34,score35,score36,score37,score38,score39,score40,score41,score42,score43,score44,score45,score46,score47,score48,score49,score50,score51,score52,score53,score54,score55,score56,score57,score58,score59,score60
0,57287,100448,175826,57528,409544,87942,127238,68130,75006,59339,64790,234023,122159,142773,64010,89301,59539,111745,102315,62959,128457,129752,63814,54830,120887,151357,165020,122401,163275,59320,89572,78158,393947,71560,100772,84619,228772,63312,105507,134754,65984,119821,176602,95950,61588,57208,110626,62203,106767,152526,125692,48512,59346,63044,58139,67952,154577,60884,244819,262726
1,4,3,3,3,3,3,4,4,4,3,3,4,3,3,4,3,5,3,3,3,4,3,3,3,3,3,5,3,5,5,3,4,3,4,3,4,3,3,3,6,3,3,4,4,3,3,3,4,3,3,3,3,4,3,3,3,4,3,3,4
2,4,4,4,3,12,5,8,4,6,4,3,5,4,3,4,3,4,3,4,4,5,4,3,4,4,4,5,6,4,5,3,4,3,3,4,4,3,3,3,6,4,5,4,4,4,3,3,4,3,4,4,4,5,3,3,4,4,3,3,4
3,4,4,4,3,21,5,9,4,6,4,4,5,4,3,4,4,4,4,4,4,5,5,3,4,5,5,6,4,4,5,4,4,4,3,4,4,7,4,4,6,4,5,5,4,4,4,4,5,4,4,4,6,4,3,3,5,5,3,3,4
4,6,4,9,4,22,5,11,4,6,4,4,5,9,4,4,4,4,4,7,4,5,7,4,4,5,5,6,6,5,5,4,4,4,3,5,5,14,4,4,6,4,6,5,5,5,4,4,4,4,5,4,6,4,4,4,5,9,4,5,5
5,6,4,9,4,27,5,11,4,5,4,4,6,9,4,4,5,5,4,7,4,7,8,4,5,5,6,5,5,5,5,4,4,4,4,5,7,16,4,4,7,4,6,8,5,5,4,4,5,4,7,4,6,4,4,4,5,11,5,4,5
6,6,5,14,5,32,8,14,4,5,4,4,8,9,4,4,5,5,4,7,5,7,9,4,5,5,7,9,5,9,5,4,5,4,4,5,7,20,4,4,7,4,6,8,5,5,4,4,5,5,7,4,6,5,4,4,7,11,5,4,5
7,5,6,14,6,32,8,14,4,5,4,5,8,11,4,4,5,5,5,9,5,7,10,4,5,7,7,10,9,9,5,5,5,5,4,5,7,20,4,6,7,4,6,8,5,5,4,5,5,6,8,5,6,5,5,4,7,13,5,5,5
8,5,6,13,6,32,8,19,5,5,4,5,10,11,4,4,5,5,5,9,5,7,13,4,5,12,9,10,7,8,6,6,5,5,4,5,7,20,4,6,8,4,6,8,6,5,4,5,5,6,8,5,6,5,5,4,7,16,5,5,5
9,5,6,13,6,34,8,19,5,8,4,5,10,14,5,4,5,4,5,9,5,7,13,4,5,12,9,11,10,9,6,6,5,5,5,6,7,20,5,6,10,5,6,11,6,5,4,6,5,6,8,5,6,5,5,4,7,16,5,5,15
