generation,score,runtime
0,0,15096497
1,4,
2,4,
3,4,
4,4,
5,5,
6,5,
7,5,
8,5,
9,5,
10,8,
11,11,
12,29,
13,28,
14,37,
15,48,
16,48,
17,58,
18,71,
19,75,
20,75,
21,75,
22,76,
23,76,
24,80,
25,80,
26,82,
27,83,
28,83,
29,83,
30,83,
31,83,
32,93,
33,93,
34,93,
35,93,
36,100,
37,100,
38,100,
39,100,
40,100,
41,100,
42,100,
43,100,
44,100,
45,100,
46,100,
47,104,
48,104,
49,104,
50,104,
51,104,
52,104,
53,104,
54,97,
55,105,
56,109,
57,109,
58,115,
59,115,
60,115,
61,115,
62,115,
63,115,
64,117,
65,117,
66,117,
67,123,
68,118,
69,118,
70,125,
71,125,
72,125,
73,125,
74,125,
75,147,
76,149,
77,149,
78,150,
79,150,
80,150,
81,150,
82,150,
83,150,
84,150,
85,150,
86,150,
87,150,
88,150,
89,150,
90,150,
91,150,
92,150,
93,150,
94,150,
95,150,
96,150,
97,150,
98,150,
99,150,
100,150,
101,150,
102,150,
103,150,
104,150,
105,150,
106,150,
107,150,
108,150,
109,150,
110,150,
111,150,
112,150,
113,150,
114,150,
115,150,
116,150,
117,150,
118,150,
119,150,
120,150,
121,150,
122,150,
123,150,
124,150,
125,150,
126,150,
127,150,
128,150,
129,150,
130,150,
131,150,
132,150,
133,150,
134,150,
135,150,
136,150,
137,150,
138,150,
139,150,
140,150,
141,150,
142,150,
143,150,
144,150,
145,150,
146,150,
147,150,
148,150,
149,150,
150,150,
151,150,
152,149,
153,149,
154,149,
155,151,
156,151,
157,151,
158,151,
159,151,
160,151,
161,151,
162,151,
163,151,
164,151,
165,151,
166,151,
167,151,
168,151,
169,149,
170,149,
171,149,
172,149,
173,149,
174,149,
175,149,
176,149,
177,149,
178,149,
179,149,
180,149,
181,149,
182,149,
183,149,
184,149,
185,149,
186,149,
187,149,
188,149,
189,149,
190,149,
191,149,
192,149,
193,149,
194,149,
195,149,
196,149,
197,149,
198,149,
199,149,
200,149,
