generation,score,runtime
0,0,2887668
1,4,
2,4,
3,4,
4,5,
5,5,
6,6,
7,6,
8,6,
9,6,
10,6,
11,6,
12,6,
13,6,
14,6,
15,6,
16,7,
17,7,
18,8,
19,10,
20,16,
21,16,
22,16,
23,16,
24,16,
25,16,
26,16,
27,16,
28,16,
29,16,
30,19,
31,28,
32,23,
33,23,
34,30,
35,30,
36,30,
37,30,
38,30,
39,30,
40,30,
41,32,
42,32,
43,31,
44,31,
45,31,
46,31,
47,36,
48,36,
49,47,
50,47,
51,47,
52,47,
53,47,
54,47,
55,47,
56,47,
57,47,
58,47,
59,47,
60,47,
61,64,
62,64,
63,64,
64,64,
65,60,
66,60,
67,60,
68,60,
69,60,
70,60,
71,60,
72,60,
73,69,
74,69,
75,69,
76,69,
77,71,
78,71,
79,73,
80,75,
81,88,
82,88,
83,80,
84,80,
85,93,
86,93,
87,93,
88,93,
89,93,
90,93,
91,94,
92,94,
93,91,
94,91,
95,91,
96,91,
97,92,
98,92,
99,97,
100,97,
