generation,score,runtime
0,0,1100995
1,3,
2,3,
3,3,
4,3,
5,3,
6,3,
7,3,
8,3,
9,4,
10,4,
11,4,
12,5,
13,5,
14,5,
15,5,
16,5,
17,6,
18,6,
19,6,
20,7,
21,7,
22,7,
23,7,
24,9,
25,9,
26,9,
27,9,
28,9,
29,12,
30,12,
31,13,
32,13,
33,16,
34,17,
35,17,
36,26,
37,26,
38,26,
39,26,
40,26,
41,26,
42,26,
43,36,
44,36,
45,36,
46,36,
47,36,
48,49,
49,49,
50,49,
51,49,
52,49,
53,49,
54,49,
55,49,
56,49,
57,50,
58,50,
59,52,
60,52,
61,52,
62,52,
63,52,
64,52,
65,55,
66,55,
67,55,
68,55,
69,55,
70,55,
71,55,
72,55,
73,55,
74,55,
75,72,
76,72,
77,69,
78,69,
79,81,
80,81,
81,81,
82,81,
83,81,
84,81,
85,81,
86,81,
87,81,
88,81,
89,81,
90,76,
91,85,
92,85,
93,85,
94,85,
95,85,
96,85,
97,85,
98,85,
99,85,
100,85,
