generation,score,runtime
0,0,955750
1,3,
2,3,
3,3,
4,4,
5,4,
6,4,
7,4,
8,4,
9,4,
10,4,
11,5,
12,5,
13,5,
14,5,
15,5,
16,5,
17,5,
18,5,
19,6,
20,8,
21,8,
22,8,
23,8,
24,8,
25,8,
26,8,
27,8,
28,8,
29,8,
30,10,
31,10,
32,10,
33,10,
34,13,
35,13,
36,13,
37,13,
38,13,
39,15,
40,17,
41,17,
42,17,
43,17,
44,27,
45,27,
46,41,
47,41,
48,41,
49,41,
50,41,
51,41,
52,41,
53,41,
54,41,
55,41,
56,48,
57,48,
58,48,
59,48,
60,48,
61,45,
62,45,
63,45,
64,45,
65,45,
66,45,
67,45,
68,45,
69,45,
70,45,
71,45,
72,45,
73,45,
74,50,
75,68,
76,71,
77,71,
78,71,
79,71,
80,71,
81,75,
82,75,
83,75,
84,75,
85,75,
86,75,
87,75,
88,75,
89,75,
90,75,
91,75,
92,75,
93,75,
94,75,
95,75,
96,75,
97,75,
98,75,
99,75,
100,75,
