generation,score,runtime
0,0,3418550
1,5,
2,5,
3,5,
4,7,
5,9,
6,9,
7,10,
8,10,
9,12,
10,12,
11,14,
12,16,
13,16,
14,16,
15,16,
16,16,
17,16,
18,16,
19,16,
20,15,
21,20,
22,20,
23,20,
24,20,
25,20,
26,20,
27,20,
28,23,
29,23,
30,23,
31,23,
32,23,
33,23,
34,23,
35,23,
36,25,
37,32,
38,32,
39,32,
40,32,
41,36,
42,44,
43,44,
44,61,
45,61,
46,61,
47,61,
48,61,
49,61,
50,61,
51,61,
52,61,
53,61,
54,61,
55,61,
56,61,
57,61,
58,61,
59,61,
60,61,
61,61,
62,73,
63,73,
64,73,
65,73,
66,73,
67,73,
68,73,
69,73,
70,73,
71,73,
72,73,
73,74,
74,74,
75,74,
76,74,
77,74,
78,74,
79,74,
80,74,
81,74,
82,74,
83,94,
84,94,
85,94,
86,94,
87,94,
88,94,
89,94,
90,94,
91,94,
92,103,
93,103,
94,103,
95,103,
96,103,
97,103,
98,103,
99,103,
100,103,
