generation,score,runtime
0,0,3405656
1,5,
2,5,
3,4,
4,4,
5,5,
6,5,
7,5,
8,8,
9,10,
10,10,
11,10,
12,15,
13,16,
14,19,
15,18,
16,20,
17,20,
18,34,
19,38,
20,38,
21,38,
22,38,
23,38,
24,38,
25,38,
26,38,
27,43,
28,46,
29,46,
30,46,
31,52,
32,52,
33,52,
34,52,
35,52,
36,52,
37,58,
38,63,
39,66,
40,65,
41,65,
42,65,
43,75,
44,75,
45,75,
46,76,
47,76,
48,76,
49,76,
50,77,
51,77,
52,77,
53,77,
54,77,
55,77,
56,77,
57,77,
58,77,
59,77,
60,77,
61,77,
62,77,
63,77,
64,85,
65,85,
66,85,
67,85,
68,85,
69,85,
70,85,
71,85,
72,85,
73,85,
74,85,
75,85,
76,85,
77,85,
78,85,
79,85,
80,85,
81,85,
82,85,
83,85,
84,90,
85,90,
86,90,
87,90,
88,90,
89,90,
90,90,
91,90,
92,90,
93,90,
94,90,
95,90,
96,90,
97,90,
98,97,
99,97,
100,97,
