generation,score,runtime
0,0,12930095
1,4,
2,5,
3,5,
4,7,
5,8,
6,9,
7,12,
8,16,
9,14,
10,14,
11,14,
12,20,
13,20,
14,20,
15,20,
16,20,
17,21,
18,21,
19,22,
20,22,
21,29,
22,29,
23,29,
24,29,
25,29,
26,29,
27,29,
28,29,
29,44,
30,44,
31,44,
32,44,
33,44,
34,44,
35,44,
36,44,
37,44,
38,44,
39,44,
40,44,
41,44,
42,44,
43,44,
44,44,
45,44,
46,44,
47,44,
48,44,
49,44,
50,44,
51,44,
52,44,
53,53,
54,53,
55,47,
56,47,
57,47,
58,47,
59,47,
60,47,
61,47,
62,47,
63,47,
64,55,
65,72,
66,72,
67,72,
68,72,
69,72,
70,72,
71,72,
72,72,
73,72,
74,72,
75,72,
76,72,
77,72,
78,72,
79,72,
80,72,
81,72,
82,72,
83,72,
84,72,
85,72,
86,67,
87,73,
88,73,
89,75,
90,75,
91,75,
92,75,
93,75,
94,75,
95,74,
96,74,
97,74,
98,74,
99,75,
100,75,
101,75,
102,75,
103,75,
104,75,
105,75,
106,75,
107,75,
108,78,
109,75,
110,75,
111,88,
112,88,
113,88,
114,95,
115,95,
116,95,
117,95,
118,95,
119,95,
120,105,
121,105,
122,105,
123,105,
124,105,
125,105,
126,105,
127,105,
128,109,
129,109,
130,109,
131,109,
132,112,
133,121,
134,117,
135,138,
136,144,
137,144,
138,144,
139,144,
140,145,
141,145,
142,145,
143,149,
144,149,
145,149,
146,149,
147,149,
148,149,
149,149,
150,149,
151,150,
152,150,
153,150,
154,147,
155,147,
156,147,
157,147,
158,147,
159,147,
160,147,
161,147,
162,147,
163,147,
164,147,
165,150,
166,150,
167,150,
168,150,
169,150,
170,150,
171,150,
172,150,
173,150,
174,150,
175,150,
176,150,
177,150,
178,150,
179,150,
180,150,
181,150,
182,150,
183,150,
184,150,
185,149,
186,149,
187,149,
188,149,
189,149,
190,149,
191,149,
192,149,
193,149,
194,149,
195,149,
196,149,
197,149,
198,149,
199,149,
200,149,
