generation,score,runtime
0,0,5976061
1,4,
2,4,
3,4,
4,5,
5,4,
6,4,
7,4,
8,4,
9,4,
10,5,
11,5,
12,6,
13,6,
14,6,
15,8,
16,8,
17,8,
18,8,
19,8,
20,8,
21,8,
22,8,
23,8,
24,8,
25,8,
26,9,
27,12,
28,12,
29,16,
30,16,
31,19,
32,19,
33,19,
34,19,
35,19,
36,19,
37,19,
38,19,
39,19,
40,19,
41,25,
42,25,
43,25,
44,25,
45,25,
46,25,
47,24,
48,24,
49,24,
50,38,
51,52,
52,52,
53,52,
54,65,
55,66,
56,73,
57,79,
58,79,
59,79,
60,79,
61,79,
62,79,
63,79,
64,79,
65,79,
66,79,
67,79,
68,84,
69,85,
70,85,
71,90,
72,90,
73,90,
74,90,
75,90,
76,90,
77,90,
78,90,
79,90,
80,90,
81,90,
82,88,
83,99,
84,99,
85,99,
86,99,
87,99,
88,99,
89,99,
90,104,
91,104,
92,104,
93,104,
94,104,
95,104,
96,104,
97,104,
98,104,
99,104,
100,104,
101,104,
102,104,
103,104,
104,104,
105,104,
106,104,
107,104,
108,104,
109,104,
110,104,
111,104,
112,101,
113,101,
114,101,
115,101,
116,101,
117,101,
118,101,
119,101,
120,112,
121,113,
122,113,
123,113,
124,120,
125,120,
126,120,
127,120,
128,125,
129,125,
130,125,
131,125,
132,125,
133,125,
134,125,
135,125,
136,125,
137,125,
138,125,
139,125,
140,125,
141,145,
142,145,
143,145,
144,150,
145,150,
146,150,
147,150,
148,150,
149,150,
150,150,
151,150,
152,150,
153,150,
154,150,
155,150,
156,144,
157,144,
158,144,
159,144,
160,144,
161,144,
162,144,
163,144,
164,144,
165,148,
166,148,
167,148,
168,148,
169,148,
170,148,
171,148,
172,148,
173,148,
174,148,
175,148,
176,148,
177,148,
178,148,
179,148,
180,148,
181,148,
182,148,
183,148,
184,148,
185,148,
186,148,
187,148,
188,148,
189,148,
190,148,
191,148,
192,148,
193,148,
194,148,
195,148,
196,148,
197,148,
198,148,
199,148,
200,148,
