generation,score,runtime
0,0,16507530
1,4,
2,4,
3,5,
4,5,
5,5,
6,5,
7,5,
8,5,
9,5,
10,7,
11,8,
12,8,
13,6,
14,15,
15,15,
16,14,
17,14,
18,16,
19,16,
20,16,
21,29,
22,28,
23,27,
24,27,
25,27,
26,37,
27,37,
28,37,
29,37,
30,37,
31,41,
32,41,
33,41,
34,41,
35,41,
36,41,
37,40,
38,41,
39,41,
40,55,
41,62,
42,62,
43,64,
44,64,
45,75,
46,75,
47,75,
48,74,
49,74,
50,74,
51,72,
52,76,
53,76,
54,76,
55,76,
56,76,
57,76,
58,76,
59,76,
60,75,
61,75,
62,75,
63,75,
64,77,
65,77,
66,77,
67,77,
68,77,
69,86,
70,86,
71,86,
72,86,
73,89,
74,89,
75,89,
76,89,
77,89,
78,89,
79,89,
80,89,
81,89,
82,89,
83,89,
84,89,
85,89,
86,93,
87,93,
88,96,
89,96,
90,96,
91,103,
92,103,
93,103,
94,103,
95,119,
96,119,
97,119,
98,119,
99,119,
100,119,
101,119,
102,119,
103,119,
104,119,
105,119,
106,119,
107,119,
108,119,
109,119,
110,129,
111,129,
112,129,
113,129,
114,129,
115,129,
116,129,
117,129,
118,129,
119,129,
120,127,
121,135,
122,153,
123,153,
124,153,
125,153,
126,153,
127,153,
128,153,
129,153,
130,153,
131,153,
132,153,
133,153,
134,153,
135,153,
136,153,
137,153,
138,153,
139,153,
140,153,
141,153,
142,153,
143,153,
144,153,
145,153,
146,153,
147,153,
148,153,
149,153,
150,153,
151,153,
152,153,
153,153,
154,153,
155,153,
156,153,
157,153,
158,153,
159,153,
160,153,
161,153,
162,153,
163,153,
164,153,
165,153,
166,153,
167,153,
168,153,
169,153,
170,153,
171,153,
172,153,
173,153,
174,153,
175,153,
176,153,
177,153,
178,153,
179,153,
180,153,
181,153,
182,153,
183,153,
184,153,
185,153,
186,153,
187,153,
188,153,
189,153,
190,153,
191,153,
192,153,
193,153,
194,153,
195,153,
196,153,
197,153,
198,153,
199,153,
200,153,
