L0,L1,L2,L3,Graph
-0.6622226,0.09288871,0.30539986,0.17813328,7
0.60587215,-0.31633472,0.17237046,1.0,7
-0.76144314,0.24467626,-0.66141343,-0.31199577,7
-0.90457666,0.35685498,1.0,0.11748104,9
-0.5975278,-0.86750424,-0.009860974,0.46253905,15
-0.46840775,-0.72822547,0.6139841,-1.0,15
-0.9096734,0.28536502,-0.6677497,0.7809352,15
-0.54950947,0.0034804046,-0.17690685,-0.8741579,15
-0.04744573,-0.10652907,-1.0,0.46093124,15
0.2960369,0.7561681,-0.6937435,-0.99973166,15
0.5552335,0.32519168,-1.0,0.52003574,15
-0.22023821,1.0,0.17708322,-0.83052707,15
0.11780504,0.23358306,0.5757437,0.9497176,15
0.7989737,-0.1216993,-0.8827287,-0.0067683086,22
-1.0,0.9076148,0.9632954,0.35658804,22
-0.09474249,-0.38280877,-0.9863789,-0.11835809,22
0.26203474,-0.76575625,1.0,0.6617335,22
0.91442305,0.6601202,1.0,-0.2891201,24
0.3934601,0.4210675,0.3583554,-0.56445575,24
-0.6327097,-0.40138978,0.06533778,-0.6040932,24
0.25807536,-0.22457963,-0.4402992,-0.7371957,20
-0.5885024,0.5825292,0.26185247,1.0,24
-0.07719633,-0.093704015,-0.86778986,0.18865453,24
-0.4528242,0.81275725,-0.98293257,-0.44288588,28
-0.817798,1.0,-0.5896696,0.013613038,41
-1.0,0.33257455,0.72281563,-0.43709925,41
0.4008215,1.0,0.59878767,0.18446106,46
1.0,-0.76571053,-0.22477247,0.6449739,46
1.0,-0.013428457,-0.6434844,0.6525651,46
-0.005207494,0.4006318,-0.20899181,0.006360054,46
0.10449943,-1.0,0.8482678,0.1753606,55
-1.0,-0.35418364,-1.0,0.20478125,55
-0.59294236,0.005659692,0.836524,-0.45872223,55
0.435063,0.44451392,0.7282975,-0.6973462,48
-0.013962381,0.9363145,-0.14158978,0.921445,58
0.73725903,-0.47569743,-0.5557524,0.248968,58
0.54891765,0.29534978,-1.0,0.96876967,58
0.59708714,0.61433405,-0.6112493,0.42975533,58
-0.11003329,0.59555215,1.0,-0.7363294,58
-0.23801582,0.29023606,0.78347796,-0.97985387,58
0.5787057,1.0,0.2836902,-0.7432231,54
-0.62045413,1.0,0.5215099,0.58117795,54
-0.056657076,1.0,0.31819406,0.9730999,71
-0.8118226,1.0,-1.0,-0.9037377,71
0.3713313,-0.22007972,-0.3085551,-0.77020276,71
-0.6180121,-0.18753114,-0.52471775,0.5073152,77
0.56907654,-0.074239194,0.85695165,0.39476871,77
-1.0,0.75873613,0.63280386,-0.011590937,77
0.29550588,0.46430528,0.11111364,0.51929015,77
0.30412132,0.082822844,1.0,-0.81180555,77
-0.42183197,-0.6994726,1.0,-0.3665915,
0.91088355,0.687233,-0.87515765,0.31291252,
0.9599498,0.11942216,-0.90362626,0.3254401,
0.25451604,0.48451152,-0.9675654,-0.9432698,
-0.103399076,-0.67276895,-0.7141936,-0.8669158,
-0.16165176,-0.20530029,-0.11214024,-1.0,
-0.61623144,-0.91527146,1.0,-0.93290114,
-1.0,0.033377215,1.0,-0.76118875,
-0.56693,1.0,-0.18869747,-0.4322998,
0.40034705,-0.51599187,0.19557358,-0.34034348,
-0.15560819,-1.0,-0.922496,0.747167,
-0.8964021,-1.0,-0.036381476,0.23354311,
-0.1896224,-0.06461786,-0.30827463,0.45079163,
0.7774105,-0.11555521,0.63048077,-0.72550523,
-0.34601396,0.70859766,-0.5447154,0.0076272637,
0.97974205,-0.9671216,-0.46471414,-0.66182315,
0.036960587,-0.8737652,0.44575587,-0.96828926,
0.32895362,0.9220819,0.74014205,0.9509546,
-0.89225763,-0.6107842,-0.90829927,,
1.0,-0.5919871,0.7099473,,
-0.18602005,0.63080466,-0.85632753,,
0.32206196,0.9443618,0.24891698,,
-0.81274176,-0.27014193,1.0,,
0.55848986,0.49644494,-0.8581147,,
-0.50003475,-0.4635928,-0.08511251,,
0.49798495,-0.42607906,-0.95807815,,
0.75109327,0.027473211,-0.47649723,,
-0.12652431,-0.8806048,-0.57417333,,
0.02727703,0.7595393,0.5192791,,
