L0,L1,L2,L3,L4,Graph
-0.9555484,-0.016064942,0.9964454,-0.3875087,-0.11307679,4
0.51722187,0.22641477,-0.7818097,0.2525832,0.74372864,4
0.7300348,0.8490752,0.048568174,1.0,-0.8463175,4
1.0,-0.9586471,-0.19415033,-0.38121027,-0.16554406,4
1.0,0.5785277,0.84246016,1.0,-0.8771218,4
0.37190408,0.66786283,0.40257105,-0.052978642,0.5033803,4
0.7413542,0.026368603,-0.6535687,-0.12290499,-0.60806036,4
0.8793233,-0.4110556,0.22154105,-0.46905705,-0.7958773,4
-0.41271454,-0.6632698,0.061379448,-0.044841677,-0.42992812,4
-0.72130805,0.32346457,-0.666149,0.7708389,1.0,4
-0.36854482,-1.0,1.0,0.14631413,-0.889587,5
-0.48514017,-0.626691,0.9639688,0.46296576,-0.6518164,5
0.46449888,-0.8148927,0.6021583,0.26751578,0.030976087,5
0.9703416,0.6508869,1.0,-0.8345088,-0.73062825,5
-0.44892707,0.4721648,-0.1228205,0.4705968,-0.45833194,5
0.90013194,-0.51358956,0.08468481,0.034881942,-1.0,5
-0.37145033,-0.93107057,0.2119888,-0.37224185,-0.9998947,5
0.19371498,0.089743495,-0.99141437,-0.32917172,0.52866817,5
-0.6303623,0.63421696,-0.14235297,-0.34511068,0.45610484,5
0.69951224,-0.83346,-0.43416268,-1.0,-0.48593998,5
0.25464883,1.0,-0.55926836,0.9919569,0.31064212,5
-0.977781,-0.90880126,0.23034194,-0.42929593,0.8692004,5
0.6724389,0.9949236,0.33154523,-0.9999737,0.1253865,5
-0.9853062,0.88361454,-0.9230244,1.0,-1.0,5
-0.56047475,0.61931396,-1.0,-0.80698043,0.06368219,5
-0.72795033,0.46555638,0.055806216,-0.1363658,0.25465748,5
0.4897721,0.6702355,-0.48865098,0.5824096,-0.6504129,5
-0.26950443,-0.71683663,0.7576555,0.6354364,-0.21357268,5
1.0,0.059392646,-0.6948956,-0.47240245,-0.02233494,5
-1.0,-0.300088,-0.45664018,0.94352716,1.0,5
0.7455109,0.24496174,-0.86819386,-0.9123628,-0.9381853,7
-0.8839173,-0.34918648,-0.57018435,0.43870246,-0.16862306,7
0.7201049,-0.77512664,0.34563217,-1.0,-0.4677023,7
0.86570024,-0.5521616,-0.02892822,-0.04495631,0.3575433,8
