L0,L1,Graph
0.8250105,0.25670743,5
-0.6884628,0.68343174,5
-1.0,-0.119843215,6
-0.919201,0.29917789,5
-0.6113088,0.027799368,5
-1.0,-0.708218,5
-0.23671478,-1.0,5
-0.32797498,0.19184166,5
-0.7029037,0.23654693,8
-0.6140157,-0.15556523,9
-0.10055581,-0.5125798,20
0.5427711,1.0,20
-0.5963448,-0.36451346,20
0.32790115,0.2357052,26
1.0,-1.0,37
0.35164377,-0.16929437,53
0.960071,-0.26719177,57
0.35050765,-0.22249824,73
-0.09149496,0.6782236,73
0.7752103,0.4279914,73
-0.5581441,-1.0,77
0.9183263,-1.0,83
1.0,0.50974387,83
-0.2425175,0.26586515,87
-0.24323547,0.6430695,87
0.5849489,1.0,88
-0.8018227,-0.2611209,89
0.30078655,1.0,89
0.21196829,-1.0,89
0.6160132,-0.91571176,89
-0.47748837,-0.25156352,89
-0.51901174,-0.58351344,89
0.32989246,-0.56408304,89
0.2623057,0.33553383,89
1.0,-0.60359484,89
0.46589485,0.91687393,89
0.75784504,-0.04910568,89
0.20324935,-0.06516808,91
0.886693,-0.12171058,91
0.3338667,-0.372601,91
-0.37758285,-0.25718644,91
0.67524374,-0.29117918,91
0.52940917,0.73265165,91
-0.67324674,-0.20408767,91
0.73509425,0.048907936,91
1.0,-1.0,91
0.04233036,0.8849461,91
-0.64600325,0.5103181,91
0.43838882,-0.3793636,91
-0.10838265,-1.0,91
-0.12922484,-1.0,
0.6298573,-0.8670744,
-1.0,-0.10687293,
0.11487609,1.0,
-0.52182347,1.0,
0.54126287,0.09910762,
-0.6735529,-0.5616203,
-0.75074303,0.2283205,
-0.04020854,0.377257,
0.44248703,0.15297243,
0.22337495,-0.24103734,
0.8833502,0.21895382,
0.071619764,-0.06877448,
0.67131555,0.7773386,
-0.63783205,-0.051269725,
0.74993706,-0.77855325,
0.9003841,-0.5128913,
-0.74463373,0.07366737,
0.6413759,,
-0.9164834,,
-0.5275025,,
1.0,,
0.8173914,,
1.0,,
1.0,,
0.6975505,,
-0.71536726,,
0.4052634,,
-0.6764041,,
1.0,,
0.3648022,,
0.10956797,,
-0.72538215,,
0.701492,,
-0.39387196,,
-0.7769466,,
0.8526671,,
0.011256684,,
-0.719181,,
-0.55074316,,
0.9550016,,
0.3886009,,
-0.3473703,,
-1.0,,
1.0,,
-0.2878871,,
0.4491641,,
-0.9404148,,
-0.7733877,,
-0.47140652,,
-0.87575334,,
-0.9807993,,
0.53118277,,
0.33860308,,
-0.73870516,,
-0.60355514,,
-0.17074424,,
0.6739285,,
-0.989811,,
0.6660296,,
0.64679307,,
0.056486636,,
-1.0,,
0.70179653,,
0.10531861,,
0.59661895,,
-0.4111182,,
-0.27145305,,
-0.96247745,,
0.46783108,,
0.9566736,,
-0.058801353,,
-0.71912885,,
1.0,,
-0.8174348,,
1.0,,
-1.0,,
-0.08772951,,
0.5938444,,
0.5617514,,
-0.33390796,,
0.111867666,,
0.37768963,,
-0.6530278,,
-0.9292063,,
0.11604074,,
0.92373466,,
0.7735935,,
0.9053419,,
-0.3211279,,
1.0,,
0.6634833,,
0.34291238,,
-1.0,,
0.0895456,,
0.17705224,,
0.20371298,,
0.36224625,,
-0.89571786,,
-0.42443943,,
1.0,,
0.3214702,,
0.4202324,,
0.23976552,,
0.3911412,,
-0.77174747,,
-0.03953424,,
0.8475597,,
-0.0711728,,
0.3634657,,
-1.0,,
-1.0,,
-0.4139184,,
0.21768108,,
-0.027667522,,
-0.6750808,,
-0.21705821,,
0.39291638,,
-0.34653893,,
0.13750783,,
-1.0,,
-0.10685147,,
-0.112293735,,
-0.7297783,,
-0.14263687,,
-0.55875015,,
-0.7057051,,
-0.045470722,,
0.5828384,,
-0.8722936,,
-0.36015394,,
0.8092352,,
-0.015637696,,
-0.015087515,,
0.08788009,,
-0.72087806,,
-0.0729641,,
0.31111678,,
-0.84386027,,
-0.15420014,,
-0.29237652,,
-0.8862989,,
-0.66744363,,
-0.37743673,,
0.1418343,,
-0.69093233,,
1.0,,
-0.47812855,,
1.0,,
0.6181088,,
-0.61398536,,
-0.24286644,,
-0.8542033,,
0.6174022,,
-0.13298815,,
-0.027058035,,
-0.77731335,,
0.16434231,,
0.44186938,,
-0.15060952,,
0.014972612,,
0.507811,,
-0.98475885,,
0.6996645,,
-0.36160094,,
0.73625445,,
-0.53801894,,
1.0,,
-0.5422513,,
0.17587677,,
-0.9848515,,
-0.81587154,,
0.5121089,,
0.45375395,,
-0.101022035,,
-0.86440986,,
-0.7406602,,
-0.90277576,,
0.9130994,,
0.6128274,,
-0.8825016,,
-1.0,,
-0.7859509,,
0.85486233,,
0.7137771,,
0.85035276,,
-1.0,,
0.59493154,,
0.46749708,,
0.05067429,,
-0.94353116,,
-0.20031703,,
0.3142774,,
0.9175678,,
-0.63256925,,
-0.13505343,,
-0.78426254,,
0.48331723,,
-0.2547588,,
0.53837615,,
-0.18844467,,
-0.515368,,
-0.6873561,,
1.0,,
-0.88900185,,
0.086365014,,
-0.2899497,,
0.26330587,,
0.782771,,
1.0,,
-0.6185751,,
1.0,,
-0.3434702,,
0.46903205,,
0.59556854,,
-0.9865796,,
0.6512606,,
0.59762686,,
0.20273799,,
-0.4519261,,
-0.63303554,,
-0.29510003,,
0.29040202,,
0.30870542,,
0.6981213,,
-0.8410927,,
0.9273353,,
0.6419624,,
0.60935956,,
-0.5594072,,
0.39604965,,
1.0,,
-0.05312229,,
0.1938108,,
0.6874073,,
-0.5021397,,
-0.9350038,,
-0.09057367,,
0.6273998,,
0.35548282,,
-0.4369994,,
1.0,,
-1.0,,
0.81762713,,
1.0,,
0.29375672,,
0.4611175,,
-0.18060666,,
0.48526078,,
0.8812479,,
0.95774966,,
-0.9906678,,
0.048342213,,
0.23939526,,
-0.7388983,,
0.42009073,,
-1.0,,
-0.28339073,,
0.35409704,,
0.32729933,,
-0.27008742,,
1.0,,
-0.7284294,,
0.04113014,,
-0.53724813,,
-0.10118775,,
-0.254937,,
-0.3842365,,
0.06631954,,
1.0,,
0.97957814,,
-0.8106408,,
0.34332827,,
1.0,,
-0.23792046,,
-0.34638214,,
0.3455261,,
0.29883823,,
0.6324128,,
0.4757535,,
-0.4431389,,
0.7597928,,
-0.30962926,,
0.50029135,,
0.33889204,,
0.34415153,,
0.55984205,,
0.31414673,,
-0.1352975,,
-0.32991523,,
-0.0895025,,
-0.6394799,,
0.9610238,,
-0.48187193,,
-0.04114332,,
0.30467278,,
-0.737185,,
-0.7839782,,
0.62484765,,
0.4667596,,
-0.33807856,,
0.8852244,,
0.18225497,,
-0.2749053,,
-0.07494688,,
0.73521787,,
-0.5386717,,
0.3836256,,
-0.6859896,,
-0.1474976,,
-0.46811953,,
-0.38091165,,
0.013597891,,
1.0,,
-0.682111,,
1.0,,
0.63054776,,
0.2781628,,
-0.4409541,,
0.29379866,,
0.8475093,,
-0.07080099,,
-0.31324083,,
0.08633807,,
-0.5509693,,
-0.20769371,,
0.39233094,,
0.011827588,,
0.2102158,,
1.0,,
0.6361958,,
-0.86868846,,
0.8280383,,
-0.68163455,,
0.43502736,,
1.0,,
0.7804018,,
0.6138671,,
-0.9511143,,
-1.0,,
1.0,,
0.59095967,,
-0.2374087,,
-0.20744139,,
0.2914582,,
0.427913,,
0.1059107,,
0.523916,,
-0.96664494,,
-0.38568813,,
