L0,L1,L2,Graph
1.0,0.61681795,0.42566508,3
0.6083587,0.69570017,0.3258982,4
-0.23954731,-0.29267073,-0.5448982,4
0.83637357,0.62106633,0.3015487,6
-0.19728717,0.48245293,0.09260699,8
1.0,-0.56151074,-0.39971265,17
0.46437627,0.81587493,0.58251095,36
0.22406277,-0.19349408,0.10409509,34
-1.0,-1.0,0.90793437,34
-0.87891984,0.39429668,0.14266835,48
0.42355168,0.16859163,0.5681103,48
-0.0156257,0.58905596,-0.13475084,48
0.17292163,0.8285909,0.21016425,48
-0.83074796,-0.3365922,0.15464613,48
-1.0,0.046900094,-0.8007147,44
-0.75512016,0.19687307,-0.12912242,50
-0.8324032,-0.24276939,-1.0,50
-0.45688722,0.0055371225,0.79830843,56
-0.6548013,0.38831732,0.261545,56
-0.420255,-0.35081875,-1.0,48
0.39253864,-0.18969035,0.22699639,72
-0.32999516,0.44770938,-0.060215294,72
-0.5925237,-0.12473062,0.45055696,72
-0.36881036,-0.6658987,0.5219875,72
0.45302513,-0.32778445,0.1794242,72
-1.0,-0.6265163,0.29724228,72
-0.79028225,0.9435729,-1.0,74
-0.21841624,-0.1469712,-0.9929079,74
0.5234349,1.0,0.5652786,74
-0.17101549,-0.61638427,-0.43482184,74
-0.62066776,0.751791,-0.64674765,74
-1.0,-0.946251,-0.81385493,74
-0.21022496,-0.3966125,-0.602131,74
0.09560239,0.09763883,-0.010626107,74
-0.9075524,0.80150443,-1.0,74
0.4308717,-1.0,-0.49891675,74
0.22078305,0.36525005,-0.9832569,74
0.9216763,-0.8551356,-0.110664636,79
1.0,-1.0,0.6446644,79
1.0,0.68645954,-1.0,79
-0.6106872,1.0,-0.9754698,79
-0.36223906,0.2411116,0.08393082,79
0.4317342,0.62166023,-0.10080588,79
-0.9718429,-0.17868537,-0.527284,89
-0.0045427475,0.22069979,0.83484036,89
-0.5691541,-0.81200665,-0.28523207,87
-0.542311,-0.548888,0.93747526,87
-0.4675039,1.0,0.567893,87
-0.94100827,-0.62374127,-0.2071187,87
0.163735,-0.86104745,0.48053837,87
1.0,-0.13165501,0.88200676,
0.12267366,0.10887089,-0.21469267,
0.9982538,0.6168808,1.0,
0.39517677,1.0,-0.030304383,
-0.29648697,-0.36982733,-0.043685555,
-0.3750822,-0.33195788,-0.64401007,
-0.039727315,-0.24476969,-0.97078365,
1.0,-0.42285395,-0.750965,
-0.2958662,-0.39245808,0.3980325,
-0.26581928,-0.009608597,0.7902276,
0.58729875,0.9136861,-0.20918365,
-0.24864696,0.11616005,0.19175334,
-0.90302557,0.16672683,1.0,
-0.6720096,0.2959382,-0.5676563,
0.7843823,-0.13774866,0.85997146,
0.20033649,0.30642214,0.7715109,
-0.58428216,0.012786329,-1.0,
-0.93527794,-0.24548648,-0.20130497,
0.485134,0.8737668,-0.34174657,
0.5483396,-0.1787921,-0.5129067,
-0.94617707,-0.42317173,1.0,
1.0,-0.0028031468,0.0018490069,
-0.02081021,-0.22725157,0.56112105,
1.0,0.14628334,-0.23138958,
-0.33628416,0.19670515,-1.0,
-0.82980293,0.5860547,-0.77259165,
0.43968216,1.0,0.48964053,
0.49714926,0.7169604,0.9778395,
-0.13845694,0.15645412,0.5262377,
1.0,0.501477,0.94703186,
-0.0048380196,-0.33475053,0.39388338,
0.037208155,0.93722725,-0.14825389,
0.256837,0.48751765,-0.46105713,
-0.32591596,0.7786129,-0.6165397,
-0.5481186,-0.5963996,-0.6687012,
-1.0,0.2927598,0.76644987,
0.29889464,0.61514294,-0.21662879,
0.87731993,-0.23752902,0.2115286,
0.7089666,-0.8166038,0.442405,
0.85317385,0.19300994,0.41920683,
0.7124337,0.59744763,-0.17249563,
-0.07627793,-1.0,0.16703998,
-0.71168596,-1.0,-1.0,
0.038519576,-0.05480279,0.33447883,
-0.8426383,0.6265099,0.0069016423,
0.985911,-0.47133788,0.16515829,
-0.744746,-0.7009789,-0.50210077,
0.38323343,0.1661785,-0.9879603,
-0.7740687,0.6815976,0.6626144,
-0.05708766,-0.72247773,0.9989478,
-0.15749931,0.03305544,-1.0,
0.7014992,0.7982324,-0.25240365,
0.4355421,-0.25592452,-0.44899473,
0.3121905,0.056403168,-1.0,
-0.15109663,-0.13332371,0.76566625,
-1.0,-0.4159131,-0.23340884,
0.29377967,0.79933965,0.68174475,
-0.7041209,-0.36048114,-0.5941547,
1.0,-0.15742603,0.3388081,
-0.06881979,-0.8117393,-0.3334495,
0.3130585,0.2673413,0.362936,
-0.68552864,0.23352069,-0.07309325,
0.92231643,0.54779935,-0.65774214,
0.6406704,0.1415375,-1.0,
0.5637838,-0.51030314,1.0,
1.0,-0.14541861,0.034875214,
-0.86353457,0.6147586,0.48718396,
-0.37628862,-0.17730297,-0.12085829,
-0.52170116,-0.31356326,0.38700226,
-0.51277626,0.16766655,-0.6694715,
0.4947964,0.049397565,-0.3476492,
-0.56375456,0.1338065,-0.21818364,
-0.9000386,0.12695047,0.12746951,
-0.16430697,0.52904254,0.84577715,
-1.0,0.45146096,0.14392191,
-0.16600372,-0.9015275,-1.0,
0.8334733,-1.0,0.6824068,
0.08544128,-0.038025178,-0.88402265,
-1.0,0.39885974,0.5041732,
-0.6491692,0.276052,-1.0,
0.41763082,0.8286301,-0.6309865,
-0.003787564,0.3431391,0.33493817,
0.29580098,-0.25275657,,
-1.0,-0.37268907,,
-0.27128693,0.64245576,,
0.9404211,0.11573443,,
-0.82010984,-0.96352905,,
-0.37771738,-0.8501996,,
0.45770508,0.62531173,,
-0.31328964,-0.019082993,,
-0.7579535,-0.30822998,,
-0.28337854,-0.16021411,,
0.18555176,0.951599,,
0.021164091,0.5679356,,
-0.39905643,0.43842432,,
0.38142398,0.038534284,,
-0.1432597,-0.13027585,,
0.46148938,0.26433924,,
-0.7231345,-1.0,,
0.076748796,0.0144149475,,
-0.31097353,0.90143216,,
-1.0,-0.8282932,,
-1.0,-1.0,,
-1.0,0.6833045,,
0.61922157,0.46200716,,
-0.81876135,-0.4424062,,
-1.0,1.0,,
0.7238752,-0.5241126,,
0.5976312,0.47037113,,
-0.9406308,-0.15313694,,
-0.53307897,0.06990993,,
0.11419785,-0.047911115,,
1.0,-0.5331998,,
0.0025333166,0.91951716,,
0.7704574,-0.5407885,,
-0.6260154,-0.61659735,,
-0.8261251,-1.0,,
-2.5624782E-4,-1.0,,
-0.2644471,0.13431796,,
-0.6991261,-0.3317122,,
0.46293062,-0.49809068,,
-0.093032405,-0.62442654,,
0.6415526,-0.8732345,,
4.9829483E-5,-0.63705814,,
0.6219789,0.331951,,
-0.8907243,-0.32150245,,
-0.04345365,0.92100394,,
-0.73196703,0.6988972,,
-0.66552705,-0.0014520288,,
0.4681544,-0.48591614,,
-0.53471965,-0.1577434,,
-0.9340597,0.3236742,,
0.79678255,0.6078907,,
-0.055693954,-0.5457711,,
-1.0,1.0,,
0.73493254,0.14276141,,
0.7047928,0.051201314,,
-0.7920724,0.5257856,,
-1.0,-0.6943467,,
0.06560452,0.24114436,,
-0.46164113,-0.77172434,,
-0.4410569,0.07195696,,
-0.14933184,-0.64353037,,
-0.5302074,-0.012845397,,
-0.17427132,0.32241267,,
-0.4487364,-0.035981946,,
0.44230825,-0.8100507,,
0.11821766,-1.0,,
0.73423487,0.40290064,,
0.48879227,1.0,,
-0.22843994,0.89168686,,
-0.57566506,-0.6657046,,
-0.7677597,-0.20588253,,
-0.22451264,-0.82989424,,
0.09022021,-0.66280806,,
-0.5081857,1.0,,
0.4109679,0.658432,,
0.5615871,-0.6216516,,
-0.43436188,-0.7724054,,
0.37126985,0.60708547,,
-0.07352361,0.7313049,,
-0.77690816,-1.0,,
0.4273215,0.72285867,,
-0.7778244,0.22067347,,
0.22783965,0.45847368,,
1.0,1.0,,
-0.59513044,-0.91240376,,
-0.29806936,1.0,,
0.70401675,0.045550354,,
-0.4371299,-0.7021411,,
0.9865024,-0.57018,,
-0.73617756,0.2133481,,
-0.8233191,0.6632673,,
0.06900427,0.1842375,,
-0.108368486,0.45306796,,
-0.030714989,0.6113418,,
0.18856797,0.9327156,,
0.11270678,0.03672778,,
0.27790588,-0.4564357,,
0.8135235,-0.8597344,,
-0.7645682,0.19587715,,
-0.86798096,-0.9742394,,
-0.076214835,-0.5018414,,
-0.975525,0.5162513,,
-0.0027348995,0.59526336,,
-0.61494106,0.7832123,,
0.63578117,0.6371029,,
0.99592054,0.808524,,
-0.29325318,0.8479483,,
-0.45610034,0.07879467,,
-0.34296975,-0.16433638,,
-0.40783682,0.7293447,,
-0.89151275,0.66510653,,
-0.25112194,0.22499055,,
0.54306865,-1.0,,
-1.0,1.0,,
-0.6890388,1.0,,
-0.24740937,0.8779336,,
0.68984985,-0.12149267,,
0.6298015,0.68718547,,
0.20030609,0.12540212,,
0.51524293,-0.029463708,,
0.81124467,-0.67317146,,
1.0,-0.5846114,,
1.0,-0.19680473,,
0.23205444,-0.7822845,,
-0.18815018,0.28090665,,
0.86438304,0.10743438,,
-0.29042092,0.47606918,,
-0.56141734,0.9085395,,
-0.11966948,-0.3135109,,
-0.38457775,1.0,,
0.14265111,0.043862775,,
0.6188676,0.3489277,,
-0.6940534,0.07296463,,
1.0,-0.7486752,,
-1.0,0.27896446,,
0.357149,0.4853257,,
0.11677571,-0.36339596,,
-1.0,0.33903092,,
-1.0,0.25591624,,
0.9386322,0.28630722,,
-1.0,-0.0934391,,
0.21964887,-0.88486826,,
-0.47258708,0.39927563,,
0.3310372,0.38164556,,
0.28545704,0.06058693,,
-0.44491327,-0.124702424,,
-1.0,0.37517196,,
0.1995706,-0.14544776,,
0.41207004,1.0,,
0.45423242,0.34835267,,
0.14589989,-0.46545917,,
-0.6716341,-0.17041257,,
1.0,-0.5787213,,
-0.9575927,0.3160222,,
0.63802534,-0.73947394,,
0.53282917,-0.58334,,
-0.43204507,-1.0,,
0.4491365,-0.10887181,,
0.14015949,0.11560367,,
0.54090863,0.0357216,,
0.85849243,0.045573473,,
-0.25409076,-1.0,,
0.66818035,-0.23967902,,
0.44253147,0.7536987,,
0.78795356,0.7948257,,
0.9098797,-0.15970115,,
-0.22531523,0.9093101,,
0.48817822,-1.0,,
0.08996172,0.15119117,,
0.47963378,0.91130036,,
0.14951327,0.2561921,,
-0.4938227,-0.50634414,,
0.76022416,-0.015594829,,
0.4835799,0.49627858,,
0.07475375,1.0,,
0.96962726,-0.4878305,,
-0.007869929,0.8264063,,
1.0,0.7525252,,
-0.35244274,0.41302285,,
-0.00709489,-0.11508837,,
1.0,-1.0,,
-0.0030948073,0.44811788,,
-0.65506756,1.0,,
0.26746136,-0.43008783,,
0.6438147,-0.36659366,,
0.6138722,-0.2623271,,
-0.6504373,1.0,,
-0.62724316,-0.84628373,,
0.8373612,0.08033199,,
1.0,0.06752644,,
1.0,0.4303008,,
0.538653,0.44658798,,
-0.1966728,-0.79377544,,
-0.5725286,-0.0358997,,
0.28425497,-0.48733246,,
0.45737335,0.1661699,,
-0.37936127,0.42785043,,
-0.42240062,0.40485066,,
0.7926284,0.33268243,,
0.07033285,-0.97974,,
0.7763817,-0.28730065,,
-0.6140133,-0.35910282,,
-0.54942626,-0.46947098,,
-1.0,0.13195556,,
0.99190474,0.34221563,,
-0.64544165,0.68973446,,
0.7957808,-0.72339475,,
0.35152334,0.24991363,,
-0.58572114,0.22404595,,
0.0010578185,-1.0,,
-0.5115836,-0.2297036,,
0.93078953,1.0,,
0.093420155,-0.78775346,,
0.65686035,-0.98509073,,
-1.0,-1.0,,
-0.7848869,1.0,,
0.53602517,0.27428198,,
-0.63587415,0.5034217,,
0.49207413,0.9607831,,
-0.9729895,0.5994949,,
0.081963256,0.15145907,,
-0.29634666,-0.4929585,,
-1.0,0.21350133,,
0.17250107,0.33970752,,
0.18874297,-0.44411096,,
0.5070238,0.83053195,,
