L0,L1,Graph
-0.08044286,-0.25536844,4
-1.0,-0.6827782,5
-0.19352408,0.629894,5
0.24274923,-0.6375923,6
-0.91328365,0.72336173,6
0.8787904,0.96568835,8
-0.81650776,0.17564255,10
-0.7586637,-0.9443477,10
1.0,0.1088056,16
-1.0,-0.42550635,24
-0.7385881,0.37404492,28
-0.44122502,-0.7036125,28
-0.47648343,-0.33852392,39
-0.9192346,0.3266357,39
0.14680037,0.080923796,39
0.10250616,0.7654778,39
-1.0,0.3746704,58
0.24546954,0.7856811,66
-0.022422517,0.68637246,75
0.14786668,-0.2718934,76
-0.6485272,0.6083194,75
0.14343917,-0.33272284,75
-0.1404236,-0.66192085,85
0.33711636,-0.334984,85
-0.21014702,-1.0,85
0.8086256,-1.0,85
-0.39228344,-0.20464838,85
0.11225186,-0.5177558,86
-0.7492301,-0.56807923,86
0.11573884,0.7850304,86
-1.0,-0.5946506,86
-0.38080215,-0.8337159,86
0.7400009,1.0,88
-0.032820426,1.0,88
0.615503,0.63816345,88
-0.44315746,-0.11937755,88
-0.5391482,0.54615825,91
-0.25320858,1.0,91
0.084689766,0.33308226,91
-1.0,-0.17328882,91
-0.8295407,-0.68329346,91
-0.34451318,0.015107965,92
-0.15215854,0.20047939,92
-0.9483252,-0.84237427,92
0.5368139,-0.8670147,92
0.40916932,-0.27055064,92
-0.49919206,0.9010152,92
0.6833196,0.18186668,92
-0.94118047,-0.85465014,96
-0.47896093,0.90791196,96
0.33511448,-0.8449649,
-0.094352834,-0.7062497,
0.19152988,-0.117734484,
-0.35172772,-0.28680295,
0.45570624,0.4682605,
-0.7793109,0.10566948,
-0.46740487,-1.0,
1.0,-0.7811764,
-0.6064898,1.0,
0.683558,-1.0,
0.3347897,0.06958237,
-1.0,0.7091272,
-0.4243283,0.5761785,
-0.3147267,-0.69077533,
-0.073372155,-0.11406304,
1.0,0.637452,
-0.08927165,0.21284339,
-0.26673236,0.07365917,
0.44340986,,
-0.7581285,,
-0.50266576,,
-0.026248306,,
-0.5164135,,
1.0,,
0.3408472,,
-0.37817895,,
0.4954543,,
0.1194087,,
-0.71772295,,
0.8303342,,
0.7709476,,
-0.2757108,,
-0.24042666,,
0.47109798,,
0.4990738,,
0.33549458,,
-0.59316266,,
0.80275416,,
-0.284907,,
0.22202529,,
-0.32874066,,
-0.0773402,,
-0.10531157,,
0.49794155,,
0.0066263974,,
0.93264997,,
1.0,,
0.70924854,,
-1.0,,
0.34284872,,
-1.0,,
0.9518388,,
-0.526189,,
0.8187713,,
0.001919508,,
-0.59876305,,
-0.5738309,,
0.5608943,,
0.5308529,,
-0.80649924,,
1.0,,
0.049623415,,
0.050705083,,
-1.0,,
0.48466957,,
0.15051582,,
0.25797182,,
-0.4866342,,
-0.3077391,,
0.7140167,,
-0.5773623,,
0.8802886,,
0.22489908,,
0.5769502,,
0.24033538,,
0.16811714,,
0.42815483,,
0.3743614,,
0.49693236,,
-1.0,,
0.009624302,,
0.51603085,,
0.36024094,,
-0.46500367,,
-0.11175446,,
0.46654782,,
0.6914778,,
-1.0,,
-0.6306423,,
0.7558538,,
1.0,,
-0.028618485,,
0.868155,,
0.023409769,,
-0.21265775,,
-0.85563785,,
-0.5220248,,
0.16939229,,
-0.5126543,,
0.97389,,
-0.5787399,,
1.0,,
-0.051007822,,
-0.3777105,,
0.9534104,,
-0.14645064,,
0.67270076,,
-0.89919895,,
-0.42898574,,
-0.88368225,,
0.393746,,
0.38852656,,
0.4393198,,
0.33721074,,
0.1324873,,
-0.24097008,,
0.5262744,,
1.0,,
1.0,,
1.0,,
0.015680943,,
0.646623,,
-0.677165,,
-0.21234462,,
-0.7799422,,
1.0,,
0.53882086,,
-0.50993335,,
0.71262974,,
0.58655906,,
0.7274678,,
-0.6570824,,
-0.32988358,,
0.10298914,,
-0.37660784,,
0.678421,,
0.28903872,,
0.6190461,,
-0.2865276,,
-1.0,,
-1.0,,
-0.43439883,,
0.33328247,,
-0.056072243,,
0.7207191,,
0.21384704,,
-0.55830437,,
-0.6666201,,
-1.0,,
0.8555026,,
0.0708131,,
0.5192518,,
-0.6317619,,
0.5490985,,
-0.58410597,,
-1.0,,
-1.0,,
0.5306518,,
1.0,,
0.21733148,,
-0.02714561,,
0.63518506,,
-0.68525654,,
-0.4401412,,
-1.0,,
-0.56988645,,
1.0,,
-0.5085796,,
0.89266026,,
-0.82881767,,
-0.7557516,,
-0.7121671,,
-0.09653449,,
-0.7037703,,
0.35415626,,
-0.8713697,,
-0.61370367,,
0.7991202,,
0.25194815,,
-0.078748435,,
-0.93023694,,
0.78184223,,
0.19705625,,
0.5295905,,
-0.5211337,,
-0.5505887,,
-1.0,,
0.70406216,,
0.19279006,,
-0.85321116,,
-0.63641405,,
0.51765937,,
0.302091,,
0.671984,,
-0.8828776,,
0.9797322,,
0.13346004,,
-0.88726777,,
-0.18816,,
0.575226,,
0.3629804,,
-0.36803293,,
0.5473149,,
1.0,,
0.8723096,,
0.76804537,,
0.7837552,,
0.419785,,
-1.0,,
1.0,,
0.844934,,
-0.69738543,,
-0.27312014,,
-0.82183075,,
-0.9825115,,
0.42938828,,
-0.83755517,,
-0.538496,,
0.642621,,
0.92624843,,
-0.61274827,,
-0.9656358,,
0.29288805,,
0.076570965,,
1.0,,
-1.0,,
0.09219793,,
-0.22537063,,
-0.22148062,,
0.6013547,,
-0.19136539,,
0.24171972,,
0.9297914,,
0.010964364,,
-1.0,,
-0.23351963,,
-1.0,,
0.9294238,,
0.57755256,,
-0.0039961115,,
0.72748965,,
-0.58137774,,
0.6620906,,
-0.30874786,,
-0.7914101,,
1.0,,
-0.3366371,,
-0.15844259,,
-0.08726364,,
-0.26620585,,
-0.21482,,
0.29254013,,
0.73914313,,
0.6196663,,
0.3084372,,
0.41117388,,
-0.0016153008,,
0.3695482,,
1.0,,
-0.79321826,,
-1.0,,
1.0,,
-0.3218094,,
0.30843094,,
0.15665242,,
-0.15144813,,
0.49930325,,
-0.6046126,,
0.51693356,,
-0.19082478,,
0.039419144,,
0.8137572,,
-0.3703194,,
-0.30087388,,
-0.4916155,,
-0.8476462,,
-0.37855643,,
-0.90216845,,
-0.83044887,,
0.5316486,,
0.94327986,,
0.5635815,,
0.042925984,,
0.32432282,,
-0.48151943,,
-0.50702286,,
-1.0,,
-0.0090013,,
1.0,,
-0.09506215,,
-0.53805184,,
-0.47820708,,
0.18806624,,
-0.10973612,,
0.47498336,,
0.22126952,,
0.14793566,,
-0.7478694,,
-0.9426631,,
1.0,,
-0.75358593,,
0.82097226,,
-0.9819496,,
0.7867269,,
0.37973124,,
-0.8891287,,
-0.40667185,,
0.551632,,
-0.9245088,,
0.5881312,,
0.58163685,,
0.6443327,,
-1.0,,
-0.92669255,,
-0.31365848,,
0.87283415,,
0.013564244,,
-0.40422508,,
-0.18534894,,
0.3818069,,
-0.814113,,
0.1581907,,
1.0,,
0.05070696,,
-0.09811879,,
-0.99680173,,
0.5270983,,
-0.50191075,,
-0.69967985,,
0.22399524,,
0.58937764,,
0.60988843,,
1.0,,
-0.5625964,,
-0.62192553,,
-0.49944457,,
-0.053215116,,
0.6202766,,
0.06627941,,
0.41856116,,
1.0,,
0.23552918,,
-0.3080275,,
0.4489273,,
-0.36063904,,
0.8817559,,
0.07458919,,
-0.23460305,,
0.47457835,,
-0.41814956,,
