L0,L1,L2,Graph
-1.0,0.20173201,0.8251522,4
0.4465374,0.79993296,-0.12645507,4
0.82326907,0.13561396,-0.62906975,4
-0.9890488,1.0,-0.90020114,5
0.299956,-0.7228571,-0.4752236,5
-0.33780268,1.0,-0.9825071,5
-1.0,-0.674435,-0.29769632,7
-0.019873783,-0.25346142,0.102285504,8
0.94745034,1.0,0.15914913,8
-0.305889,-0.019227866,0.8281188,9
0.70015144,0.88087904,0.082224235,9
-0.5631709,-0.89881843,0.09695842,9
1.0,0.9784261,0.60938066,10
-0.041610703,-0.3379463,-1.0,12
0.77731293,0.60029775,0.7006154,15
0.6701467,-0.15747975,-0.057051867,17
-0.24366197,-0.23659751,0.64731216,21
-0.43694595,-0.8840462,-0.31286424,21
-0.684219,-0.5980164,0.74114275,23
-0.2505776,0.5532233,0.26895896,23
0.58493996,0.0026710182,-0.8106384,24
-0.84768283,0.8610163,-0.76978326,22
0.3551616,-0.36109886,-0.6957583,25
0.21577308,-0.60255945,-0.5653685,41
-0.87697047,-0.23464599,0.004696939,41
-1.0,-0.23929465,0.31840053,41
-0.061459452,0.43904942,-0.2266351,41
-0.10923825,0.62203705,0.41089085,41
0.19113602,-0.69218326,-0.74328727,41
0.15839761,-0.8322283,-0.33435783,41
-1.0,0.1301559,0.31781954,41
-0.12065408,-0.42015582,-0.16720447,41
-0.757373,0.83851224,0.6159653,41
-0.5984037,-0.47876364,0.23871158,56
-0.5024681,-0.5118432,0.48580045,56
-0.6677414,0.5198804,0.8751588,56
0.21483627,0.35677958,1.0,56
-0.39621598,-0.045944467,-0.7879263,55
-0.60228074,0.7106014,0.42255962,55
-0.7856102,-0.29439068,0.023361064,55
-0.81378347,-0.3443684,0.4724892,55
-0.06304969,0.5252664,1.0,65
0.99723655,0.092773795,-0.001240842,65
-0.36515778,-0.41336426,-0.5905025,74
0.029350698,0.8427449,-0.3225736,74
-0.062165305,-0.77669775,1.0,74
-0.30106834,0.9976624,0.24758174,77
-0.5385862,-0.3480013,1.0,77
-0.24736556,0.12878108,-0.77577966,80
-0.16842076,-0.1589119,0.80962896,87
-0.53052646,-0.61980677,0.58594096,
0.614421,-0.48105216,-0.6271343,
-0.7483352,0.8000563,-0.8928592,
0.61341494,-0.38271168,-1.0,
0.21063837,0.34622824,-0.30508113,
0.7240627,0.36533555,-1.0,
0.1419107,-0.7948728,-0.023957327,
-1.0,-0.97608817,0.39278182,
-0.051278308,-0.21995604,-0.8921488,
-1.0,0.80456847,0.30719152,
-0.2677701,0.3517752,0.25552803,
-0.63071185,-0.50420034,0.889955,
-0.16976428,0.19041838,-1.0,
0.6091516,-0.18383786,-0.02176559,
0.14204565,-1.0,0.6513177,
-0.1586602,-0.5712476,-0.26458734,
0.034216486,-0.19830154,0.11531764,
-0.1920592,0.18426448,0.5055233,
0.76442283,-0.23966916,1.0,
0.5438681,-0.1427808,-0.7822374,
0.20797136,0.5476877,0.9771007,
-0.55875826,-0.32233605,0.4137053,
-0.2946756,-0.113058865,-0.72099423,
0.3080529,-0.64072984,0.99213475,
-0.6161078,0.50417435,-0.82914084,
-0.043940574,-1.0,-0.09991458,
-0.035649136,0.36813277,0.11605963,
-0.058606934,-0.87657547,-0.41183525,
-0.051189736,-1.0,0.13151488,
-0.81578225,0.24165383,0.96160614,
-0.1565834,-0.41516674,-0.015046634,
0.81655717,0.9631485,-0.6881485,
-0.60532534,-0.6708008,0.85625947,
-0.37698287,0.32056177,-0.9990076,
-0.7658945,0.49538767,0.15671003,
-0.014126331,-0.4752075,-0.55054414,
-1.0,-0.7245235,-0.02498199,
-0.6999814,0.0036275089,0.41011104,
0.48928624,0.94124854,-0.34940132,
0.8827621,0.6567256,-0.49416238,
-0.76393795,0.8540592,-0.3831209,
-0.14628999,0.47942644,-0.20009851,
0.70281684,-0.045089483,-0.48890007,
0.42890888,0.7133023,0.7920654,
0.9549397,0.1628798,-0.3606747,
0.59155554,1.0,0.82373595,
0.08041623,-0.009651899,0.09540939,
0.8563924,-0.52368665,-0.64709616,
0.59160423,0.34722078,-0.056371186,
-0.01578373,0.6788409,-0.13806924,
1.0,0.67954576,-0.08514902,
0.7501247,-0.7282501,-0.6293854,
-0.32615092,-0.0792578,0.6737856,
1.0,-0.25899714,-0.14038488,
0.3158018,-0.3451379,-0.7109536,
0.85441864,0.024382852,0.34627786,
-1.0,0.50640714,-0.24515271,
1.0,-0.3665968,0.37534454,
0.6154441,-1.0,-0.3561798,
-0.62992346,-0.8156113,0.93418187,
0.070792824,0.64597213,0.6529136,
-0.84780145,0.3705957,0.63987124,
0.32450342,-0.122440755,0.58879215,
-0.7999837,-0.9591072,0.6177177,
-0.14684805,-0.74125993,-0.752602,
0.64399827,-0.06697816,0.9815812,
0.10206157,-0.1326077,-0.4651763,
0.26561677,0.50606775,0.78425586,
-0.14813006,1.0,-0.087309584,
0.47236618,0.3265346,-0.538358,
0.38315007,0.20072755,0.04055049,
-0.8620677,-0.54791456,-0.07231632,
-0.14667878,0.22694978,-0.85492104,
-0.18321458,1.0,-0.34260774,
-0.022768393,-0.84935415,-0.36552155,
-0.45667326,0.9078521,-0.7456642,
-1.0,0.015563786,-0.23858505,
-0.027446777,0.38992795,0.77937305,
-0.52776927,0.52941674,0.9792834,
0.8412286,-0.39463902,0.21195643,
-0.25375742,-0.79842883,-1.0,
0.21774435,-0.06889132,0.48647118,
0.40434813,0.2895243,-0.8187187,
-0.9665322,-0.07374796,-0.4104544,
0.55628604,1.0,-0.9085952,
-0.38796207,-0.82602334,-0.5460893,
