L0,L1,L2,Graph
-0.34638047,0.54916716,1.0,4
0.6915239,0.5475364,-0.22401154,4
0.7814823,-0.7569555,0.6504561,4
0.18744592,-0.7838262,0.8407732,7
-0.90266544,-0.5766456,0.6441374,10
-0.1056657,-0.17495655,0.73425055,10
0.7743095,-0.78311855,0.346044,14
0.8867086,-1.0,0.2851909,17
0.99979824,0.1174719,0.1414993,23
0.16799745,0.47296232,-0.12968718,38
-0.16568166,-0.9428977,-0.8498805,38
-0.38604856,0.5106719,-0.55205196,38
0.07912491,0.29183945,1.0,38
0.002844721,-0.5577723,-0.64589536,38
-0.9844878,-0.531908,-0.54680306,51
-1.0,-0.17616655,0.27023286,71
-0.025841622,-0.34270334,-0.70549417,71
-0.48687714,-0.9667645,-0.970487,71
-0.7331495,-0.3880269,0.96630216,71
-0.5123563,1.0,0.46016467,71
0.60354984,-0.7796452,0.042547584,71
0.047264114,0.71381617,-0.7624817,71
0.8879887,-0.55441165,-0.7184308,71
-0.027320744,0.00628224,0.49079296,71
0.6032325,-0.74910635,-0.6799405,71
-1.0,-0.6372166,-0.60810953,71
-0.9724748,-0.11176878,0.53157324,76
-0.97437024,0.90514773,-0.94301516,85
0.14387335,-0.10943939,1.0,85
-0.922671,-0.104442805,-0.25094151,85
-0.6826816,-0.12901103,1.0,85
0.9282052,-0.12661892,-0.94676006,85
-0.39536422,-0.94708985,-0.25729704,85
-0.75670683,0.118639894,-0.8206767,85
0.70304585,-0.28002918,-0.32716817,85
-0.10652848,-1.0,-0.615445,85
-0.5597692,0.4259401,-0.091790065,85
-0.86790574,-0.06500595,0.32652336,85
-0.13200176,-0.5564977,0.36961997,85
0.3194816,0.50133926,0.048517317,85
0.28542787,-0.18268187,-0.39978915,92
0.8624044,-0.11674076,0.53538465,92
0.812431,-0.5071563,-0.78638554,91
-0.38203734,1.0,-0.5814689,91
0.38107848,-0.9094473,-0.17633465,91
0.78761566,0.3118184,0.41012555,91
-0.7852719,0.09420654,-0.1854631,91
-0.18211108,0.08428256,0.36716092,91
-0.33237275,-0.28977165,0.7929364,106
0.90026283,0.8349569,-0.5793991,106
-0.43920875,0.57867295,0.0022803806,
-0.15059382,-0.3332523,-0.5115087,
0.7095694,0.13738972,-0.36586833,
0.8376747,0.55353606,-0.64802015,
-0.3978038,0.42271742,-0.83856,
0.18826053,-0.36433017,-0.0810377,
0.3046125,-0.6317109,0.5172808,
-0.72804976,-0.29876456,0.69640124,
-0.17317346,0.6512675,-1.0,
0.78169507,0.5343056,-0.7362311,
-0.67431146,-1.0,-0.049459137,
-0.63257974,0.13661066,0.4286786,
-0.39423022,0.67617226,0.61857224,
0.8347404,-0.748334,0.40027577,
0.90965927,0.3726954,0.86919206,
0.949226,-0.92998505,-0.5941341,
0.42840546,-0.58125544,0.92655486,
-0.3689821,-0.3799737,0.68277574,
-0.8681847,0.05074582,-0.2546179,
0.2403671,0.6965539,0.71160686,
0.112762004,0.22660854,1.0,
0.9598779,-0.09925622,-0.43564233,
0.35613453,0.95962006,-1.0,
1.0,-0.75624603,0.27852118,
1.0,-0.62796116,-0.5902254,
0.3598291,1.0,-0.07995972,
-0.6686454,0.6531917,-0.34158313,
0.75572544,-0.07624355,0.44711685,
-0.89229375,0.23203276,-0.6044907,
-0.81292796,-1.0,0.8153774,
-1.0,-0.7098812,-0.1405681,
-0.42709678,-0.846298,-0.048486874,
0.10897409,0.45455405,0.4230092,
0.7473896,-0.56284696,0.46103355,
0.32601273,0.73271066,-0.500385,
-0.7234645,0.10705005,0.42770046,
0.41340655,0.22152881,-0.6601987,
-0.43031508,0.054581612,-0.65714306,
0.46676752,-0.53970385,0.13171598,
0.48717368,0.21028227,-0.14734319,
0.44905978,-0.530502,0.47594154,
0.14684126,-0.23214278,-0.56533706,
-0.35445336,1.0,0.6344243,
-0.33619142,-0.30735633,-0.55502164,
-0.018082917,-0.18339658,-0.44308916,
0.5337999,0.3046198,0.54962397,
0.18743192,0.7381668,0.007646106,
0.06403062,-0.7258958,0.94659114,
-0.32688385,-0.3057868,-0.44026476,
0.10520181,-0.7292858,0.98017585,
0.59013456,-0.21516132,1.0,
0.982663,0.38318026,-0.2436346,
0.79334044,1.0,-0.8680901,
0.95587045,0.58575505,-0.41846633,
0.7163161,0.25491768,1.0,
0.99948066,0.47337583,-0.02867522,
-0.7705001,0.17540976,0.61481065,
