L0,L1,L2,Graph
-0.82276744,-0.025534637,0.11409061,5
0.08271271,0.6080236,0.5373517,4
-0.9320726,0.5468716,-0.16221267,4
0.7689141,0.860664,-0.6010636,4
0.24469687,-1.0,0.7683841,4
-0.97190183,-0.42017096,-0.57800907,5
-0.76800454,-0.11204277,-0.74246025,5
-0.3990954,-0.67446053,-0.3469236,5
-0.6857472,0.1436173,0.58085287,5
0.27425653,0.19070189,-0.97202,6
0.11824988,-1.0,-0.81006366,6
0.6458292,0.46767908,0.81193554,6
0.57410467,-0.033779122,-0.16568868,8
-0.9194274,-0.01886075,-0.79303396,8
0.8504234,-0.10192089,0.7941188,8
-0.96281177,-1.0,0.22757876,8
-0.14195624,0.7776898,0.8141753,8
0.62129605,0.69179255,0.6873503,8
-0.56243,0.638847,0.9799741,8
-0.020324945,0.9638598,0.07225829,8
0.8280504,-0.4346009,-0.38446516,8
0.7063265,-0.3536117,0.9717304,8
-0.14438191,-0.41399533,-0.7342948,8
0.4885617,-0.27775204,-0.80751574,8
0.42246825,-1.0,-0.21996498,11
-0.053305,0.37687844,0.003353715,12
-0.41168243,-0.9581787,-0.6967623,10
-1.0,-0.5265277,-0.08281873,18
-0.9409785,0.49533558,0.52590615,18
0.62234735,-0.7138142,-0.71998,17
-0.06781027,-0.05166316,-0.37863392,17
-0.35689992,-0.53732777,0.60016483,24
-0.29287773,0.051981777,1.0,24
0.15197182,-0.34562933,-0.14598182,44
-0.5457941,0.21204141,0.69914454,44
-0.10860658,1.0,0.20868418,44
-0.83071333,0.60402566,-0.6910019,36
-0.2667549,0.47075784,0.30013093,36
0.3387792,0.36546892,0.35221344,36
-1.0,1.0,0.2401985,36
0.4978626,0.95588315,0.36884582,58
-0.68180954,0.25655615,-0.757581,58
0.9201929,0.1888015,1.0,58
-0.85476476,-0.8064802,-0.91642606,58
-0.72952527,-0.97837794,0.94358003,58
-1.0,-0.33934432,-0.64494264,58
0.81447667,-0.3333582,0.2910881,58
0.13046739,0.9598822,1.0,65
1.0,0.8582485,0.52387214,62
-0.053702638,0.48154444,-0.66242504,62
-0.49176705,-0.020012908,0.1957725,
0.5456869,-0.63540256,-0.6271204,
-0.25387734,0.022663176,-0.2547929,
0.8550128,0.3284747,-0.42007393,
0.022512048,0.5543369,0.15024678,
1.0,0.08387013,-1.0,
0.29794765,1.0,0.4383334,
0.3683459,-0.9266409,0.6558735,
-0.13570845,-0.25401717,0.32010177,
0.66752785,-0.67037535,-0.33999187,
-0.97039187,-0.6211649,-0.52759653,
-0.884216,-0.8873253,-0.7789256,
-0.9498837,-0.26986632,-0.54003215,
1.0,0.39552474,0.7822109,
-1.0,-0.3990608,-0.30289143,
-1.0,-0.31877938,-0.5623178,
0.5733881,-0.8442917,0.408147,
0.019248053,-1.0,-0.976777,
1.0,-0.75252086,,
0.8981317,0.4287063,,
-0.25182682,-0.80743796,,
-0.23826575,0.9440658,,
-0.17051783,-0.8950847,,
1.0,1.0,,
-0.9808589,0.40353602,,
-0.6420108,0.17723717,,
0.2655056,-0.43269157,,
-0.6201093,-0.49785534,,
-0.65749896,0.5794605,,
-0.33175078,1.0,,
0.8534317,-0.16016866,,
-0.27246964,-0.40101334,,
-0.16821358,0.39288414,,
0.67047197,0.7366387,,
-0.09769026,-0.14568096,,
0.27787638,0.4374578,,
0.18263572,0.7425865,,
0.51669234,-0.31085664,,
1.0,-0.72902775,,
-0.98398995,0.04934454,,
-1.0,-0.88179123,,
-0.05796933,0.8550265,,
-0.16584462,-0.3832183,,
-0.63073975,0.21605861,,
1.0,-0.6181307,,
-0.39949328,0.17603439,,
0.6356566,-1.0,,
0.15767239,-0.13084465,,
0.13637619,-0.82991314,,
-0.22574355,-0.14350063,,
-0.62989324,-0.38108853,,
0.41136128,-0.25539485,,
-0.46290112,0.97440016,,
0.7764368,-0.40209618,,
0.5348264,0.5918097,,
0.8567039,0.4595464,,
0.7212839,-0.34293306,,
0.7465725,-0.43011615,,
1.0,-0.4591805,,
-0.81575704,-0.25805968,,
-0.82701594,-0.55059206,,
-0.9593214,0.78291017,,
-0.045737907,-0.56347317,,
-0.35000116,-0.33961415,,
-0.06497264,-0.11950508,,
0.281016,1.0,,
0.74012,-0.21642004,,
0.3145358,0.013232142,,
-0.7691706,0.09770062,,
0.34456328,0.005307555,,
1.0,0.8401489,,
-0.5870818,1.0,,
-0.8842202,-0.4323681,,
-0.031550765,1.0,,
0.6337981,0.3927687,,
-0.12918231,0.6835289,,
-1.0,0.25673956,,
-0.36001512,-0.6999568,,
0.59689415,-0.72340494,,
-0.45007038,0.53277826,,
1.0,-0.70719045,,
0.75265723,0.03030707,,
0.77473444,-0.83341503,,
0.18425407,0.4716762,,
0.7275157,1.0,,
0.9252054,-0.90974295,,
0.68699783,-0.5705446,,
1.0,0.11708352,,
-0.5410031,-0.23421255,,
0.5549782,-0.5632812,,
-0.3899932,-0.36827278,,
0.69038725,-0.5591748,,
-1.0,0.48848578,,
0.35608935,-0.08174294,,
-0.5497967,-0.62864554,,
-0.028474972,-0.045328595,,
-0.338403,-0.29843426,,
-0.04940754,-0.032327842,,
0.93374455,-0.2444894,,
-1.0,0.9039435,,
-0.8010135,0.9000088,,
-0.58397216,0.30305818,,
-0.18029894,-0.37814662,,
0.4082229,1.0,,
0.037333906,-0.7153278,,
-0.1886867,-0.41004372,,
0.8670815,0.3353184,,
-0.24353339,-0.99927884,,
-0.64008355,-0.43701053,,
-0.9075297,0.9235024,,
0.78121644,1.0,,
0.88557506,-0.78889674,,
-0.29908565,-0.6453887,,
-0.9862511,-0.93166876,,
1.0,-0.2664559,,
0.8348847,-0.5736269,,
1.0,-0.18581489,,
0.38826156,1.0,,
0.58498144,0.029467419,,
-0.25075895,0.6372403,,
-0.63252664,-0.5810216,,
0.6660675,-0.06643315,,
-0.93756735,-0.31164122,,
0.37283522,0.63621336,,
-0.76790845,0.19850591,,
0.44241905,-0.95876986,,
-0.62148273,1.0,,
0.40585858,-0.31801406,,
0.33580142,-0.88590294,,
-0.880409,0.7495446,,
0.01825875,-0.28283915,,
0.9112164,0.17767048,,
0.306145,-0.61625636,,
-0.95560956,1.0,,
-0.68480676,0.23407905,,
0.23227541,-0.09875724,,
0.5604208,-0.12577918,,
0.9927823,0.97441363,,
-0.07128611,-0.57209766,,
-1.0,-0.17571801,,
0.02144356,0.28643703,,
0.10000733,-1.0,,
-0.3426299,0.5009574,,
-0.6476266,-0.23190735,,
-0.9485393,-0.66458464,,
-1.0,0.32824636,,
0.3859108,-0.91539836,,
0.57640415,-0.6663761,,
-0.9648911,0.4103736,,
0.39863467,0.9121539,,
-0.02187699,-0.8815162,,
0.28987414,-0.1769484,,
-0.9832532,0.6053316,,
-0.2600246,-0.49886146,,
-1.0,-0.108515754,,
-0.73317814,-0.42590052,,
-1.0,-0.8229923,,
0.13071355,0.7653536,,
0.72475755,1.0,,
-0.42055526,0.8320267,,
0.06943634,0.4985586,,
-0.97337145,0.51632303,,
1.0,-0.8044466,,
-0.8062049,0.2265509,,
-1.0,0.04800594,,
-0.871386,-0.064518794,,
0.5663284,0.17404562,,
0.79560095,-0.54888475,,
0.0908398,-0.60756856,,
-0.5797026,-0.25324708,,
-1.0,0.48402506,,
0.37332106,-0.08187312,,
0.38016093,-0.8192021,,
0.061203614,-0.9879327,,
0.8319135,0.7921174,,
-0.8141911,-0.019761987,,
0.4080745,-0.553329,,
0.36564144,0.7564286,,
0.8296215,0.99439347,,
0.7062249,-0.36187294,,
-0.42066267,-0.75983685,,
0.28140947,0.6646827,,
0.75044847,0.729329,,
-0.77805996,0.6152375,,
0.3204056,0.14116971,,
-0.5126081,0.781653,,
-0.7131541,-0.07928324,,
0.9919125,0.46837994,,
0.112829685,-0.8673185,,
-0.48451084,0.14448832,,
0.3565463,0.6907529,,
-1.0,-0.40789437,,
-0.5568497,-0.95697945,,
-0.29980105,-0.1071039,,
-1.0,-0.47559643,,
0.27024898,1.0,,
-0.6485258,1.0,,
-0.31138843,-0.66671836,,
0.21764088,0.6167747,,
0.9608354,0.4955881,,
1.0,-1.0,,
-0.9094918,-0.34694353,,
1.0,0.06549029,,
0.73475754,0.74065787,,
0.25772643,-0.8691472,,
-0.4562531,-0.6353438,,
0.059340358,1.0,,
0.61119366,0.6097002,,
0.04696174,-0.6537397,,
0.66994244,-0.16945724,,
0.9599768,0.7334331,,
0.9327187,-0.5720227,,
-0.38838232,0.007537678,,
0.25103238,0.3930352,,
0.3159595,0.2777704,,
0.3113684,0.5421875,,
-0.39802077,0.65099657,,
-1.0,0.6803465,,
0.3488308,0.4828692,,
-0.37512714,0.1603522,,
-1.0,-1.0,,
0.08063635,-0.2782526,,
0.014833059,,,
1.0,,,
0.015070796,,,
-0.97293925,,,
0.18029,,,
0.983112,,,
-0.58610547,,,
-0.0668423,,,
0.39275122,,,
1.0,,,
0.18613839,,,
0.75741124,,,
-0.6421075,,,
0.15820548,,,
0.34928283,,,
0.81972384,,,
-0.3785082,,,
0.19185339,,,
-0.20430712,,,
0.16635633,,,
0.053026795,,,
0.9887846,,,
0.17812228,,,
-0.83168703,,,
1.0,,,
-1.0,,,
0.6454196,,,
0.19737759,,,
0.32812732,,,
-0.40855896,,,
0.3699262,,,
0.05035995,,,
-0.35945153,,,
0.22289395,,,
-0.6096818,,,
1.0,,,
-0.67014956,,,
1.0,,,
-0.26747683,,,
0.588488,,,
1.0,,,
0.9472476,,,
-0.73231035,,,
1.0,,,
-0.15339033,,,
0.79909074,,,
0.7453451,,,
0.65464413,,,
-0.36794722,,,
0.7547473,,,
-0.9640224,,,
-2.360493E-4,,,
0.32823938,,,
-0.69924796,,,
0.43067145,,,
0.44843587,,,
-0.54428715,,,
-0.8069408,,,
-0.32453912,,,
0.064035,,,
0.1870493,,,
-0.9583149,,,
-0.97790086,,,
-1.0,,,
-0.050662875,,,
0.45618176,,,
0.47987232,,,
-1.0,,,
-0.21634644,,,
-0.465885,,,
0.42611045,,,
-0.5774547,,,
-0.40757003,,,
-0.15606293,,,
0.53673446,,,
-1.0,,,
-0.44017762,,,
-0.31374365,,,
0.25106913,,,
0.15194806,,,
-0.15542766,,,
0.40474895,,,
0.58157796,,,
-0.048932776,,,
-0.72579324,,,
-0.08849571,,,
-0.13086051,,,
0.033140413,,,
0.27278358,,,
-0.054939747,,,
-0.110805884,,,
0.30550534,,,
0.9081576,,,
0.7016196,,,
0.39374262,,,
-0.099380195,,,
0.066602945,,,
0.79412687,,,
-0.8400564,,,
-0.82511044,,,
-0.41090456,,,
-0.68451303,,,
0.5260143,,,
-1.0,,,
-0.8008073,,,
-0.46554947,,,
0.65709406,,,
1.0,,,
0.44389695,,,
-1.0,,,
-0.24211422,,,
-0.46776092,,,
-0.70673156,,,
0.2626711,,,
-1.0,,,
-0.086516485,,,
0.62421227,,,
-0.822703,,,
0.18351701,,,
0.9337547,,,
0.75962985,,,
0.8372148,,,
-0.15192647,,,
-0.258413,,,
-0.32819265,,,
-0.80840385,,,
