L0,L1,L2,L3,L4,Graph
-0.24113041,-0.6575286,-0.42891163,0.66650015,,89
-0.09129273,-0.4022199,-0.6520139,-0.3114885,,89
0.383587,-1.0,1.0,-0.9151674,,89
0.67761666,0.0039360933,-0.4670442,-0.7884964,,89
0.40399522,-0.7017003,-0.3549163,1.0,,89
-0.6436416,-0.9779246,0.32280868,-0.6440993,,89
0.48894802,-0.89129466,0.24906892,-0.5708681,,89
1.0,-0.46707764,0.49777988,0.8013272,,89
1.0,-0.49879813,0.6967837,-0.3906225,,89
-0.7012643,1.0,-0.33823004,-1.0,,89
-0.92887473,-0.7976328,0.038463905,0.74814844,,89
-1.0,-0.59002036,-0.8520046,0.8349037,,89
-0.6022831,0.91184074,-0.3359336,-0.2792158,,89
-0.10874407,-0.054387182,-0.15858391,0.74899197,,89
-0.14192341,0.31741685,-0.78019774,-0.887554,,89
-0.1498211,-0.8383484,-0.2221485,0.9241482,,89
-0.5452901,0.5962508,0.6363965,-0.7964687,,89
0.18891512,1.0,0.78284466,0.73559093,,89
-0.79809237,-0.5047275,-0.5164154,0.82189214,,89
0.6455781,0.53041494,1.0,1.0,,89
0.553115,0.5370525,-0.06983855,0.8768921,,89
-0.2101453,-0.28402138,0.6348033,-0.88735867,,89
-1.0,0.45588964,0.64254,-0.96970946,,89
1.0,-0.8434503,-0.29557645,0.23017344,,89
-0.7595326,0.19704828,-0.7499908,-0.7583089,,89
-1.0,1.0,-0.9954034,-0.7448137,,89
-0.322833,-0.49226338,0.79701865,0.8033497,,89
0.7401413,0.60334635,0.44385847,-0.3453231,,89
-0.73076504,0.72729754,-0.673907,0.055133224,,89
-0.89983714,0.80510813,0.9954814,0.5017395,,89
0.06422961,0.23845132,-0.94517696,0.17467822,,89
0.93593204,-0.88125324,-1.0,0.9447801,,89
-0.38711083,-0.31644577,-0.4154664,-0.18679571,,89
0.24133962,0.77850235,0.9127867,-0.6591828,,89
-0.5060765,-0.28522605,-0.47092974,-0.89501417,,89
-0.21254086,-1.0,1.0,-0.14093605,,89
0.3325495,-0.6880912,-1.0,-0.3614963,,89
0.39038485,0.92031544,-0.7428333,0.80351484,,89
0.70723903,-0.3334584,-0.115694836,-0.8097551,,89
0.87976605,-1.0,-0.82268053,1.0,,89
-0.4744986,0.7758104,0.9274496,-0.6372149,,89
-0.47806734,-0.61250764,0.3845874,-1.0,,89
-0.5798792,-0.5033088,0.88319343,-0.14660756,,89
0.4972871,1.0,-0.8221398,0.45993587,,89
-0.5924767,1.0,-0.6971742,0.9828248,,89
-0.7190011,0.95269096,-0.7004708,0.92423975,,89
0.69356835,0.4396068,0.013400361,-1.0,,89
1.0,0.8761595,-0.57352257,0.44235635,,104
-0.97955686,-0.8120897,-0.9449176,-0.7458214,,104
0.7429344,0.8424442,1.0,0.90350163,,104
0.8602773,-0.8208832,-0.62419635,-0.67859936,,103
-0.770388,-0.9818131,-0.17208767,-1.0,,103
0.43194804,1.0,-0.29200453,0.35752648,,103
0.6898819,0.017335579,0.049046293,-1.0,,103
0.65877014,0.81026363,0.76061976,0.6330106,,103
0.6083415,0.21028174,-1.0,-0.7743809,,103
-0.7990478,-0.36306438,0.063037574,-0.9522266,,103
-0.38853726,0.71991843,0.9266192,0.7307602,,103
-0.0034118444,-0.45507148,-0.5187849,0.18324906,,103
-0.7685955,-0.8243867,0.052146927,0.7796835,,103
0.7316799,-0.5415103,-0.8968688,0.19203898,,103
0.6673571,-0.2690252,-0.48989877,-1.0,,103
0.15274933,0.60438955,0.5968066,-0.09407243,,103
-0.45252305,-0.32983673,0.3168654,0.9838542,,103
0.4832291,0.42865115,0.4628444,1.0,,103
0.8237202,0.06894572,-0.43751046,0.85600525,,103
0.08260005,-0.94016117,0.76932275,1.0,,103
-0.78204215,-0.13737951,-0.09038299,0.88494444,,103
-0.8668208,0.38322732,0.878195,0.1066158,,103
0.2891035,-0.82371664,0.20894781,0.3954268,,103
0.9791384,-0.87985843,-1.0,-0.76219046,,103
0.0242049,-1.0,-0.59130174,0.869187,,103
0.64463913,0.7618307,0.4772801,-0.13634026,,103
0.8317803,-0.048095886,-1.0,-0.827345,,103
0.36864096,-0.6134418,-0.7971394,-0.2520909,,103
-0.67698145,0.8760157,1.0,-0.48723152,,103
-0.458508,0.4332718,-0.7466963,0.0690542,,103
-0.31043476,-0.79539114,-0.7306355,-0.43366623,,103
0.37678778,0.88442343,0.5559027,-0.8933864,,103
-0.6306164,0.5484207,0.04399839,0.27688557,,103
0.3914959,-0.98235095,-0.9706956,-0.08712888,,103
0.87085086,-0.14890376,0.30678445,1.0,,103
0.9885586,0.5709649,0.2716912,0.45430917,,123
0.6625347,-1.0,-1.0,-0.3165176,,123
1.0,-0.22287007,0.59035987,-0.3229093,,123
1.0,-0.7678809,-0.61349416,-1.0,,123
0.42286757,-0.87485933,0.5311032,1.0,,123
-1.0,-1.0,0.44963354,0.4903742,,123
0.39322722,-1.0,-0.62739086,0.32149944,,123
-0.12367447,1.0,0.039842807,0.046740115,,123
-1.0,-0.1030573,-0.7719719,0.10889566,,123
-0.12241951,-0.2833541,-0.69602096,-1.0,,123
-0.68381935,-0.8789326,-0.45931834,0.9556613,,123
-0.6691322,-0.7535192,0.91536695,1.0,,123
0.76764596,-0.52593696,0.27858675,0.063890874,,123
0.0462766,-0.422248,-0.0440107,-0.24744081,,123
-0.4199531,0.75946456,0.5804684,0.62977976,,123
0.94237804,-0.052837715,1.0,-0.8838081,,123
0.7548428,0.2965885,-0.13380033,0.61043054,,123
-1.0,0.5228991,-0.061007228,0.2770763,,123
0.20791502,-0.033256337,-1.0,-0.69050604,,123
0.06976008,0.110423066,-0.09169838,0.2844049,,123
-0.0147899315,-0.4626655,0.9069271,-0.59755003,,123
-0.009406656,0.21001801,-0.060758054,-0.9925315,,123
-0.31382594,-0.58655494,-1.0,-0.8757565,,123
-0.13518032,-0.18553057,-0.7936218,1.0,,122
-0.66400486,0.05929233,-1.0,-0.3367041,,122
0.48930565,-0.60050994,0.8180985,-0.20605701,,122
-0.21098837,1.0,-1.0,0.9314079,,122
0.0077677965,-0.41007674,0.70079255,0.89451027,,122
1.0,-0.71148586,0.25832462,1.0,,122
-0.20299071,-0.5467183,-0.94850296,0.006210545,,122
0.5708176,0.34046298,-0.118800856,-0.5714346,,122
