L0,L1,L2,L3,L4,Graph
-0.40521818,-0.58798635,0.21291396,0.077951185,0.40927327,3
0.058774225,0.28836814,-1.0,-0.7610421,-0.2841776,6
1.0,0.10585737,0.20281996,-0.13586232,0.79958117,6
-0.16528332,-0.64823675,-0.59940434,0.19753128,1.0,6
-0.06706594,-1.0,0.6794835,0.60061824,0.184956,5
-0.06572381,0.8736052,-0.9573217,-0.71050984,-1.0,5
-1.0,-0.7991659,0.56104785,0.43545425,-0.7796612,5
0.51283246,0.56915575,0.45773864,-0.85153735,1.0,11
-0.35516137,0.66232777,0.7821173,-0.41928977,-0.49514717,11
-0.9633629,0.7459541,-0.5097509,0.72658557,0.40290815,12
0.11646339,-0.28796172,0.26549044,0.887307,0.6353502,12
-0.47826907,-0.77803934,-0.32622826,0.53840286,1.0,14
0.27702627,0.755031,-0.011511385,-0.25806537,-0.9188582,14
0.0963338,-0.030563153,-0.52301776,1.0,-1.0,15
-0.116795994,0.03129047,-0.07705597,-0.46608135,-0.8142278,15
1.0,-0.4267788,0.86936545,-1.0,0.2076632,23
0.04664147,1.0,-0.32979274,-0.58923966,-0.37459394,24
-0.51707315,0.62463516,-0.3693357,0.2262599,-0.15170375,24
1.0,-0.5914295,0.2684973,0.5371852,-0.69953084,24
-0.31725138,0.93767273,0.36913806,0.5646385,0.25824553,24
-0.47081706,0.60103047,1.0,0.91625714,0.94249874,23
-0.61791456,-0.8196829,-0.87137127,-1.0,-0.26172057,28
-0.48629794,-1.0,-1.0,-0.09004739,-0.47265097,28
1.0,0.2806548,-0.059740603,1.0,0.33786598,41
0.9023076,0.5178586,0.08264351,-0.5326254,-0.9568462,41
0.4960792,0.83459723,-1.0,-1.0,1.0,41
0.52270347,0.050444484,0.6539862,-0.889183,0.75950325,41
0.21131386,-0.24821053,0.9675199,1.0,0.15907112,41
0.48501498,-0.278386,0.75310194,-1.0,-0.29301214,41
-0.8733492,0.5056938,0.8445947,0.81531787,0.61501104,41
-0.8000923,-1.0,0.8378143,-0.97327065,-0.42835444,41
0.9380041,-0.80557156,-0.64860356,-0.5855503,-0.9422586,39
0.57266986,0.10288101,-1.0,-0.76029754,1.0,39
-0.5128231,0.77910864,-0.28084153,-1.0,1.0,50
