L0,L1,L2,Graph
0.9761965,-0.51159704,-0.49360445,4
0.06323775,-0.8485063,-0.66609836,4
0.99028844,-0.13553768,1.0,6
0.88489234,0.3789394,0.75950074,6
0.8638167,-0.37636113,0.6706772,6
1.0,0.206054,0.60707057,6
-0.6285723,-0.4779325,-0.2047146,7
-0.13460197,-0.06198702,0.4634924,7
-0.43513268,0.30103967,-0.04048553,7
-0.4195594,0.025430098,-0.31788462,8
0.11451363,0.6959179,0.52500725,8
0.3926669,0.70952535,0.33846816,6
-0.2665518,0.08019349,-0.12939775,11
-0.510329,0.3591422,-0.7429499,22
-0.050094694,0.38713923,-1.0,31
0.7314598,0.10392094,0.9965068,36
-0.21094158,-0.35737276,0.38548782,36
-1.0,0.7854357,0.22672936,41
0.2037431,-0.19309688,0.56268656,41
0.7459726,-0.61998725,-0.46321946,44
-0.049648646,-0.71492445,0.20757736,44
-0.12453011,-0.23918429,0.068563536,55
0.76816124,-0.65009284,1.0,55
0.70136476,-0.7935596,-0.14846167,70
-1.0,0.19003682,0.19071221,70
-0.34333965,-0.107001215,-0.58327514,69
0.06255132,-0.32276553,-0.5038454,73
0.47388938,-0.52232844,-0.6831479,76
-0.6096621,0.4871903,0.95387936,81
-0.056650594,1.0,0.1523819,81
-0.5080623,-0.10603708,0.9961211,81
-0.9532614,0.65302455,-0.114418626,81
0.74992764,-0.24889646,0.41878834,81
0.6767456,-1.0,-0.8796989,81
0.39906403,0.23555171,-1.0,81
0.0070397407,-0.54710376,-1.0,81
-0.27457356,1.0,-1.0,81
0.6707949,0.09496095,-0.58032143,81
-0.48429602,0.09612596,0.2672251,89
-0.2354062,-0.9032053,-0.8281591,89
-0.38563302,1.0,0.10657662,89
0.70330536,-0.55605865,0.31388113,89
-0.082589924,0.9165122,-1.0,89
-0.30480933,0.6071181,-0.6170626,89
-0.22304371,0.7694063,0.25550053,89
0.7662508,-0.3362334,0.6830963,89
-0.33069187,8.710772E-4,-0.5727291,91
-0.71641946,-0.73008615,-0.47471336,91
0.48405248,-0.09594382,0.77356523,91
0.5182958,0.296383,1.0,91
-0.80631113,1.0,0.62546784,
-0.47092068,-0.10514431,0.82651067,
-0.8666121,0.43701017,-0.18657038,
-0.14806756,-0.5371376,-0.8162991,
-0.27934837,-0.02686226,-0.42031568,
-0.08514941,-1.0,0.28023052,
0.52225363,-1.0,-1.0,
0.21691477,-0.4836856,0.3571101,
-0.28368753,-1.0,1.0,
-0.45224613,0.82468,0.08725856,
-0.054484412,-0.9430212,0.9561978,
-0.9559771,0.46552274,0.32088584,
1.0,-1.0,0.7325884,
1.0,1.0,0.91150934,
0.6804116,-1.0,-0.5834128,
-0.5442322,0.6768172,-0.1126624,
0.5936984,0.2845374,0.30053687,
-0.76763487,0.0019355416,-1.0,
0.18768361,-0.7157134,,
1.0,0.013939634,,
-0.19463831,0.92660445,,
0.93584985,-0.54243505,,
0.7570126,-0.63579094,,
-0.019482106,-1.0,,
-0.77643967,-0.24517825,,
0.12044938,-0.09632068,,
-0.7161163,-0.21450424,,
0.6940339,-0.93703663,,
0.048606902,-0.4343276,,
0.28320515,0.09325421,,
-0.9404212,-1.0,,
-0.22071789,-0.99474555,,
-0.12979761,-0.25994968,,
0.86550164,0.11578832,,
1.0,-0.082044065,,
0.20565614,0.28458172,,
0.824901,-0.84488,,
-0.51374185,0.6321712,,
-0.17834696,-0.9518282,,
-0.46264625,0.31785184,,
0.3762859,0.73395574,,
0.5948725,-0.3587647,,
-1.0,0.11328763,,
0.31491956,-0.47689185,,
0.28524277,-0.040565565,,
0.44447315,-0.5921561,,
-1.0,0.8585924,,
0.20340286,0.6636847,,
-0.5282886,-0.28137314,,
-0.42491725,-0.10902996,,
0.15125623,0.81304884,,
-0.5184714,-0.24479905,,
0.82411915,0.2752462,,
0.7102257,-0.50885606,,
-0.29535908,-0.53103507,,
-0.677527,-0.42258254,,
0.9821596,0.5786692,,
0.7044126,-0.30513954,,
0.10591072,-0.87362444,,
-0.2304445,0.31783593,,
-0.31478256,0.9177557,,
-0.30553713,0.11257677,,
-0.52572805,-0.073988914,,
-0.9730496,-0.22857359,,
-0.26003963,-0.73332715,,
0.49195892,0.4207528,,
-0.8349025,-0.35038054,,
-0.12447713,0.27863204,,
-0.67216676,0.41791213,,
-0.6955891,0.025776714,,
0.5659289,-1.0,,
-1.0,1.0,,
0.40963778,-1.0,,
0.97126037,-0.7695447,,
-0.38797346,-0.8165945,,
0.8700606,-0.34417263,,
-0.22219996,-0.5903108,,
0.5275987,0.84451693,,
0.064587116,-0.58951426,,
0.37902236,-0.47266614,,
0.9076998,-0.15349403,,
-0.8501667,0.34983224,,
-0.2801003,0.5357838,,
-0.22524107,0.041975617,,
0.39460826,0.33495867,,
-0.19963914,-0.7190298,,
1.0,-0.47864974,,
-0.22133048,0.8872505,,
-1.0,0.11637775,,
-0.57216805,-0.4818077,,
1.0,-0.4242786,,
-0.2352462,0.36847538,,
0.22866596,0.35654014,,
-0.22256008,0.24198067,,
0.18588766,0.40165395,,
0.5338777,-1.0,,
1.0,0.44887322,,
-0.88798636,-0.29424262,,
-0.18354206,0.28316605,,
0.417539,0.8759161,,
-0.5883533,0.8433825,,
-0.06188038,-0.7450917,,
-0.5985202,-0.5348785,,
-0.2771672,0.26547608,,
-1.0,0.24160612,,
-0.32753736,0.6228416,,
0.99055487,-0.31603098,,
0.25514266,-0.1472506,,
0.5151799,0.34022695,,
0.44063783,-0.092620954,,
0.36522794,-0.6638298,,
-0.2045472,-0.48411012,,
0.94090825,0.040806673,,
-0.12742138,-1.0,,
-0.48416224,0.33978814,,
0.36987954,-0.038584158,,
-0.70875716,-0.14453313,,
-0.84002495,0.18585622,,
0.6649443,-0.43597877,,
0.4635281,-0.836863,,
1.0,-0.32021496,,
0.45151028,-0.547426,,
0.46705055,0.12215552,,
-0.58951664,-0.20216238,,
0.30576205,0.38833869,,
0.24079317,0.5282863,,
1.0,0.81173164,,
0.52905506,-0.6579523,,
-0.68243515,0.5175295,,
-0.5005972,1.0,,
0.67128694,0.76048076,,
-0.33993605,-0.9873923,,
0.12379299,-0.56360763,,
0.77008104,-0.4806923,,
0.06158603,-0.8176812,,
-0.07081556,-0.752776,,
1.0,-0.6996977,,
-0.6593284,0.7397434,,
0.27987197,0.82295775,,
-0.90822923,0.09737329,,
-0.7431081,0.44633558,,
-0.2797274,-0.23360904,,
-0.16300239,0.7320459,,
0.66753423,0.10101251,,
0.13797614,0.27100438,,
-0.37220067,-0.9903942,,
1.0,0.23912708,,
-0.24509409,-0.6359051,,
-0.5556139,0.32807517,,
-0.47628462,-0.5820033,,
0.08688842,-0.15074903,,
0.6841886,0.8451419,,
-1.0,-0.042109504,,
-0.737695,-0.86692256,,
0.120552205,-0.7521382,,
-0.089692295,0.45242995,,
0.61546135,-0.8073009,,
-0.6040369,-1.0,,
0.6235172,1.0,,
1.0,0.26745218,,
-0.213067,-0.9052094,,
-1.0,0.22375059,,
0.30596828,-0.9630635,,
0.42360213,0.54029864,,
0.19936858,-0.36891404,,
0.19398609,-0.02341497,,
-0.42964727,0.4378756,,
0.20665352,0.49977165,,
-0.18710037,-0.4227504,,
0.40275598,0.47867444,,
-0.8552684,-0.735546,,
0.20965633,0.30992088,,
-0.27881733,0.5766604,,
-0.26587325,0.17983285,,
-0.608451,-0.032991305,,
-0.47488743,-0.043247163,,
0.6133051,-0.84039557,,
0.58590746,0.57830596,,
-0.05675158,0.6599061,,
-0.7174604,-0.6284246,,
-1.0,0.599932,,
0.8880676,-0.41976666,,
-0.15147504,0.17113148,,
-0.13388553,0.91835296,,
-1.0,-1.0,,
1.0,-0.33163083,,
-0.5239437,-0.82283324,,
-1.0,0.16732654,,
0.09938857,-0.51263016,,
0.0663134,0.80895334,,
0.73508763,0.052606255,,
1.0,0.80218875,,
1.0,-0.85508144,,
0.3951731,-0.097653754,,
-0.593045,0.99917865,,
-0.32631728,0.8156117,,
0.6526672,0.46441013,,
0.50580215,0.98874897,,
-0.37210482,-0.276019,,
-1.0,-1.0,,
-0.5944501,-1.0,,
0.10165057,-0.63108826,,
-0.32196242,-0.7243461,,
0.19578247,0.45419848,,
0.8212821,0.9806075,,
-0.39874625,0.6877301,,
0.8184008,0.30463743,,
0.43368047,0.38278368,,
-0.87140876,1.0,,
-1.0,-1.0,,
-0.62399733,-0.30498052,,
-0.39227623,-1.0,,
0.45878214,-0.62886405,,
-0.031582385,-0.8334875,,
0.76284176,-0.22727796,,
-0.39316484,0.6748655,,
-0.40609863,-1.0,,
-0.43522418,-0.6313879,,
0.46470395,1.0,,
-0.09394686,0.88744676,,
0.08242304,0.85213184,,
0.7358258,0.3191413,,
1.0,,,
-0.6225786,,,
0.3706624,,,
-0.93405193,,,
0.5588127,,,
1.0,,,
-0.070548914,,,
-0.62749135,,,
-0.40130395,,,
-0.63007796,,,
0.47579294,,,
-0.9662999,,,
0.36022493,,,
-0.32441399,,,
0.13926703,,,
-0.8550465,,,
-0.6239483,,,
0.41035432,,,
-0.32459244,,,
0.5483042,,,
-0.32403338,,,
0.38617644,,,
-0.9870452,,,
-1.0,,,
