L0,L1,L2,L3,Graph
0.9178433,1.0,0.9071861,0.6749807,4
-0.4356442,1.0,0.204145,-0.42219836,4
-0.9149447,0.10146707,0.9100691,0.29177064,6
-0.13542747,-0.19263184,0.31996554,-0.7217365,6
-0.8992059,0.45467344,-0.33407825,-0.1503641,6
-0.5708285,-0.66466695,-0.8382268,0.061276883,6
0.23419566,-0.07125874,1.0,0.016374126,6
-0.65799034,-1.0,-0.99022007,-1.0,6
-0.0552046,-0.79366887,-0.8135439,-0.8633511,6
0.28090912,0.046940595,0.6086963,0.14774573,6
-0.53619105,0.35861886,0.18971962,0.0696837,6
-0.6573878,-1.0,0.0685285,0.11783903,9
0.15544134,1.0,0.7395393,1.0,9
-0.8113633,-0.37711865,0.47278142,-0.37687922,12
1.0,0.18189089,0.34813488,0.70220935,17
0.32903615,-0.09163372,0.59188855,-0.06066555,17
-0.45949537,0.39405686,-1.0,0.3519904,21
-1.0,-0.23987722,0.5332518,0.20862179,27
-0.20671946,1.0,-1.0,0.62403077,28
-0.075624555,0.6040621,0.91780806,-1.0,28
0.66824055,0.97358686,-0.29016477,-0.9989085,36
0.6442537,-0.38725683,0.76947963,-0.09458685,38
0.117295355,-0.6618936,-0.6212497,-0.7770015,38
0.69981503,-0.94849235,-0.66258365,0.649338,38
-0.1779781,-0.6102373,0.0145685,-0.3315131,38
-0.62336063,-0.37738338,0.4252307,-0.41875452,47
0.80667645,-0.21814439,-0.099833995,-0.7349118,47
-0.47391555,0.5192533,-0.2621434,-0.38313746,47
0.94617987,-0.016050085,0.41144493,-0.5134749,47
1.0,-1.0,0.5113357,-0.6728548,47
-1.0,0.021795154,-0.66196907,0.513208,47
0.3620564,-0.531272,-0.82046634,0.21991569,46
-0.026047196,0.3085534,-0.9840637,-0.5791821,46
0.88001496,-0.9653728,0.40384653,0.8404393,46
0.8085183,-0.37848508,-0.21302354,0.28075677,46
-0.8827069,1.0,-0.14007759,0.7332746,46
-0.5415567,-1.0,-0.92997897,0.050488725,52
-1.0,-0.111518145,-0.89673126,-0.47557396,52
-0.28025222,-0.26310533,1.0,0.10931581,52
-1.0,-0.60167277,0.46546188,-1.0,49
-0.088978715,-0.52145636,1.0,-0.2301174,54
0.12931854,-0.14279124,0.8071915,-0.6553495,56
0.90707767,-0.5475061,0.26184765,-0.11377141,56
-1.0,0.8290601,0.35358936,0.88803655,56
0.07643157,0.27570754,-0.9017975,0.736978,56
-0.3525768,-0.5467061,-0.44242615,0.5303661,51
0.653373,0.23111597,0.1906744,-0.74064577,51
-0.74560153,-0.040457904,0.035726815,-0.23888627,70
-1.0,0.50966215,0.25418994,0.57995135,70
0.5215463,0.5341037,-1.0,-0.6378102,70
-0.76392883,-1.0,0.04776022,-1.0,
-1.0,0.012894064,1.0,-0.39537424,
-0.6572055,0.36928743,-0.6867695,0.4921353,
0.26182768,0.0024691373,-0.4966439,0.64862615,
-0.4524903,-0.7401928,-0.7632972,0.38929144,
0.069646835,0.17241779,0.59599906,-0.7490488,
0.38772336,-1.0,0.4584183,-0.3870142,
-0.95123243,-0.08699339,-0.67627186,-0.085851625,
-0.88193256,0.8425796,0.06992848,0.73337036,
0.35358083,0.25562727,-0.25892353,0.27457225,
-0.6923754,-0.8693216,-0.8135979,0.53267753,
-0.5766375,-0.06631619,-0.10024588,-0.4444631,
0.9830221,-0.53664994,-0.17226872,-0.40018606,
-0.31299216,-0.39621127,0.7508201,0.8694364,
0.16572978,-0.47116512,-0.30381215,-0.3188593,
0.26944745,0.34563196,0.61240196,-0.7644753,
0.37752372,-0.22751707,0.9588259,-0.3035691,
0.6812044,-1.0,0.27376795,0.7884843,
-0.7748404,-0.43538377,-0.50155544,-1.0,
-0.48156232,-0.84177244,-0.43933114,-0.557872,
0.44521338,-1.0,-0.488936,0.03464429,
-0.46437767,0.83744156,-0.8815677,0.056842446,
-0.28350455,-0.4032274,0.39437452,-0.39920628,
-0.74857384,-0.0806307,0.9503176,-0.81683564,
-0.68575644,0.092204034,-0.049900874,-0.16388561,
-0.6582602,0.34494942,-0.12655067,-0.14903028,
-0.945504,-0.60111505,0.18949544,-0.68829906,
-0.8986141,-1.0,-0.66553146,-0.5624479,
-0.54308456,0.7238692,-0.4220465,0.069040485,
-0.023157492,0.543988,1.0,0.27857557,
-0.4766115,-0.18398532,1.0,0.68695354,
0.46657464,-0.30601513,-0.3420803,-0.069949195,
0.73797375,0.12549502,-0.37750655,0.37788838,
-0.114373885,0.0890632,-0.7071574,0.5857606,
-0.48975584,-0.12458352,0.1693322,-0.7339523,
-0.8479346,0.46515253,0.013628632,-0.6629597,
-0.55511636,0.032717213,0.3943758,0.0037246346,
0.26736602,1.0,0.44925913,-0.8753048,
0.05882328,-0.2201145,0.16869357,0.68541974,
-0.9696611,-0.8683431,-0.3598761,-0.15823129,
1.0,1.0,0.48390144,0.88797224,
-0.61783135,0.64736724,0.23070616,-0.37812236,
0.49499682,0.8946971,-0.41349536,-0.10841712,
-1.0,-0.24727221,0.31406042,-0.7182585,
-0.23284757,-0.65561175,-0.89166576,1.0,
0.8073847,0.8509282,-0.29803246,-0.17251232,
-0.33219048,0.43814972,0.9732176,-1.0,
-1.0,-0.16647846,-1.0,1.0,
0.030568004,-0.04066485,0.06189256,-0.3766726,
-0.6296691,0.36724517,-1.0,-0.9202365,
-0.11314979,0.4238147,-1.0,,
0.38851857,-0.0717852,1.0,,
-0.84743464,0.60012835,0.82753634,,
0.78963715,-0.5373721,-0.22832215,,
0.17036824,0.64243764,0.15564555,,
-1.0,-0.54171085,0.5611776,,
-0.58420926,0.44744757,-0.49080777,,
-0.42658633,-0.93277407,-0.51119745,,
-0.19166812,-0.97927415,0.53557575,,
-1.0,-0.77512693,1.0,,
-0.7678379,0.18816727,-0.9657106,,
1.0,0.84913385,-0.5211894,,
-0.259261,-0.5226017,0.92047536,,
0.81164825,-0.68822676,0.6531228,,
-0.7625394,0.29001963,-0.8165464,,
0.12576076,-0.0474986,-0.44655854,,
-0.67753667,-0.8885083,-1.0,,
1.0,-0.3548278,-1.0,,
0.24350137,1.0,-0.5191215,,
0.4534084,-0.04553941,-0.47556055,,
0.3193513,0.37437063,-0.2011385,,
-0.05102706,2.3499131E-5,-0.92729497,,
-0.09864158,0.49192223,0.6360145,,
-0.35129547,-0.889509,-0.5195385,,
0.555772,0.034394264,-0.16645806,,
-0.9371663,-0.74475574,-0.22545522,,
0.09450568,0.70871866,0.5213636,,
-0.48957533,-0.9550779,-0.8898824,,
0.48435366,-0.3850536,-0.88821185,,
0.3039958,-0.0920972,-0.27795097,,
0.41244543,-0.6622709,-0.6258519,,
-0.3909196,0.39844424,-1.0,,
-0.2264078,-0.016562713,-1.0,,
-0.11482128,-0.7649271,-0.16247672,,
-0.6081966,0.7620368,-2.206862E-4,,
-0.244744,-0.5505512,-0.31374338,,
-0.28299576,1.0,0.84742415,,
0.72203696,-0.8561195,0.31875315,,
0.14950997,0.22957087,-0.7668147,,
-1.0,0.2840774,0.24260995,,
0.76654553,-0.8731518,-0.7286212,,
0.1658617,-0.80842286,-0.98825973,,
0.67780995,-0.27346477,0.16245162,,
-0.10915071,-0.76311105,0.7272368,,
-0.72372943,-0.42270827,-0.7036892,,
1.0,-0.0076370537,-0.11920068,,
-1.0,-0.20290434,-1.0,,
0.78167796,-0.2676576,-0.69986594,,
-0.78803897,0.33216384,-0.010256022,,
0.34896404,-0.489532,-0.39689153,,
0.13902104,0.9498609,0.90328497,,
-0.57251555,0.8463353,1.0,,
-1.0,0.5430114,0.546374,,
0.3274031,-0.74310064,0.5791424,,
0.8916203,0.06255397,-0.011183679,,
-0.52469784,0.6028447,0.2580652,,
-0.4120183,-0.6947294,-0.5931273,,
-0.6864505,0.05169198,0.19380817,,
-0.8051233,-0.12286185,0.9079109,,
0.2574159,-0.34716946,-0.90281546,,
0.059383094,0.19669056,-0.34286845,,
0.6863737,0.6726341,0.25049335,,
-0.8409494,0.62034756,0.7301616,,
0.29035896,-0.47718164,-0.8277201,,
0.32965997,-0.86017746,-0.04778996,,
0.47675353,-0.45593852,0.61052895,,
-0.5262179,-0.9204266,-0.488599,,
-0.029341068,0.27763638,0.09074561,,
0.17607021,0.07079254,-0.20323353,,
0.100562185,-0.07376233,-0.03284058,,
0.52152896,-0.10967423,-0.50524616,,
-0.39408627,-0.12451453,-0.48277366,,
0.2488463,-0.16227256,-0.7859164,,
0.380453,-1.0,-0.09798233,,
-0.359751,-1.0,0.30361024,,
0.2935381,-0.23833725,-0.10746777,,
-0.10183589,0.426887,-1.0,,
-0.8944324,-0.43853655,0.12458725,,
0.6662468,0.255143,0.26457292,,
0.26216304,-0.6036194,0.13911949,,
1.0,0.25982636,-0.7987659,,
-0.38631362,-0.6342408,-0.41677803,,
-0.99734664,-0.22531813,-0.112880304,,
-0.17506,-0.75890994,-0.40104687,,
0.27044746,-0.43282452,0.35680625,,
0.51068443,0.67465675,-0.038098045,,
0.13444604,-1.0,0.69684744,,
0.8695416,0.3001003,-1.0,,
-1.0,-0.053464517,-0.9230861,,
0.5083716,-0.4355568,-0.07441195,,
0.5317263,0.76171446,-0.22703096,,
-0.6909006,-0.419965,-0.051187556,,
-0.922543,-0.6652728,1.0,,
0.86622244,0.56967914,0.643304,,
-0.16799918,0.6124262,-0.062588796,,
0.13051617,-0.6172017,0.542289,,
0.74066865,-1.0,-0.9618982,,
