L0,L1,Graph
0.6819862,-0.64598024,4
0.77543914,-0.47097057,4
-0.114343144,-1.0,4
0.9912002,0.035548672,5
0.4918838,-0.32328233,5
-0.8739754,-0.23313451,6
-0.86199594,-0.522516,6
-0.37450224,0.16576827,8
0.8311794,1.0,12
0.6124816,-0.66801786,12
0.39143744,0.3887018,14
-0.5907332,-0.31124684,14
0.5314274,-0.85501367,14
-0.4105402,0.11986581,14
-0.117720254,-0.7151345,14
0.40435004,-0.29099208,16
-0.36180514,-1.0,16
0.6837072,-0.8183708,18
0.48973835,0.13707164,18
0.32965463,0.644474,19
0.74931026,0.21517959,18
0.5512404,-0.045991693,18
-0.81662583,-0.15846148,21
-0.52173287,-0.17815644,25
-0.21644065,1.0,34
-0.756665,-0.08288176,34
-0.65016794,0.880461,35
0.92528987,0.8043157,40
0.44717586,-1.0,40
-0.18716398,-0.15483004,41
-0.6451974,0.46448964,41
-0.105835974,-0.71738255,43
0.22794142,-0.6897488,43
-0.8209075,0.596156,43
0.96599907,0.48708564,43
-0.45970044,0.584677,43
0.34034216,0.40338987,43
0.3619974,0.61829877,43
-0.2312468,1.0,43
-0.4858687,0.99205446,43
0.37392998,0.611142,45
0.5417797,-0.23073223,49
-0.88011146,0.6454916,50
0.17862692,0.6725908,50
0.7586523,-0.7916619,54
0.96274626,-0.20764181,54
0.8675606,-0.042214453,54
1.0,-0.292273,54
-1.0,-0.69041026,54
-0.490893,1.0,54
-0.7356774,-0.5223024,
1.0,0.18631336,
-1.0,0.590212,
0.2438921,1.0,
-1.0,0.21117586,
-0.69564605,-0.90354776,
-0.52603453,-0.39009488,
0.9658417,-0.23614004,
-0.70869,-0.67215693,
-0.074963346,-0.9123186,
1.0,-0.71832234,
-0.08060787,-0.8360385,
-0.09810138,-0.28954,
0.63970447,0.6512157,
-0.8656912,0.7512356,
-1.0,-1.0,
-0.59840477,0.4593993,
0.3232923,0.2813892,
-0.19655512,,
-0.9490936,,
-0.7640277,,
0.2699992,,
-0.70944035,,
0.1714069,,
-0.17034182,,
0.63592255,,
0.072960235,,
0.6516355,,
-0.6460086,,
0.9078606,,
-0.7334671,,
1.0,,
0.5745163,,
0.61948884,,
-0.8434792,,
0.7794859,,
-0.988291,,
-0.5265977,,
0.033182606,,
-0.2988464,,
-0.33814907,,
0.094663784,,
1.0,,
-0.18446663,,
-0.84338754,,
-0.9036999,,
0.4903224,,
1.0,,
0.13566613,,
0.23258463,,
0.38865247,,
0.76710767,,
-0.83029485,,
-0.6913184,,
-0.12069779,,
0.10062303,,
0.79302096,,
0.50105184,,
0.11818218,,
-0.5966969,,
-0.973171,,
-0.9008833,,
0.11793897,,
-0.9280163,,
-1.0,,
0.23387283,,
-0.6630297,,
0.5842476,,
0.9069242,,
0.73802376,,
-0.8950925,,
0.5591328,,
0.3635111,,
-0.5236792,,
0.85910296,,
0.67265016,,
0.5310559,,
-1.0,,
-0.82683027,,
