L0,L1,L2,Graph
-0.22180313,-0.42094743,-0.5946545,3
-0.5476354,-0.23305006,-0.77969545,6
1.0,0.08480543,0.45019627,6
0.11607464,-0.032562837,-0.3819499,6
-0.30845585,-1.0,0.24583402,6
0.6481763,0.024770405,-0.649098,7
-0.1636305,0.55511355,-0.8347124,7
1.0,0.28867397,-0.5421763,7
0.54652864,0.21823524,0.07289223,7
0.31474927,-0.22231975,0.63540083,7
-0.4324526,-0.3852167,-0.3142574,7
0.6471165,-1.0,0.78525966,7
-0.4709765,0.9559735,0.240834,7
1.0,-0.06909995,-0.7951253,7
-0.40325898,1.0,0.23447621,7
0.20687458,-0.91649354,0.3021074,7
0.9743738,-0.45383787,0.50710756,12
-0.107007936,-0.7415401,-0.4046285,28
0.20575735,-0.19315085,0.58153325,33
-0.16396631,-0.22012573,0.5799559,33
-0.18965155,,,33
-0.31207097,,,33
0.77040696,,,34
0.38947463,,,34
-0.40463352,,,36
0.9653201,,,36
0.53229135,,,49
0.8003185,,,49
-0.6301025,,,49
0.9282905,,,49
-0.61213326,,,49
-0.7281273,,,49
0.30887884,,,49
-0.13170472,,,57
0.42916417,,,62
-0.021435022,,,62
-0.7011081,,,69
1.0,,,75
-0.16272426,,,75
-0.54916286,,,72
-0.50606894,,,72
0.47777966,,,72
-0.06492123,,,83
1.0,,,83
-1.0,,,83
0.53446734,,,83
-0.6398453,,,88
-1.0,,,88
-0.33669272,,,88
-0.18292633,,,88
0.60256284,,,
0.4813586,,,
-0.9515662,,,
-1.0,,,
-0.4999574,,,
0.27774304,,,
-0.48339194,,,
-0.27984762,,,
0.86052203,,,
0.38299173,,,
0.20440209,,,
0.18294784,,,
0.14354718,,,
0.061205722,,,
0.66042805,,,
-0.005754575,,,
0.091176346,,,
-0.2009867,,,
0.9589154,,,
0.25300848,,,
0.38266438,,,
0.2115826,,,
-0.58338445,,,
-0.73919827,,,
0.40335858,,,
0.6985465,,,
-0.43811172,,,
-0.71207774,,,
0.8639028,,,
0.69348574,,,
0.9095839,,,
-0.16030534,,,
-0.6193569,,,
0.87919724,,,
-0.76670647,,,
0.25568944,,,
0.26845726,,,
0.80485237,,,
-0.5700047,,,
-0.173437,,,
-0.022876851,,,
-0.43399534,,,
-0.044750713,,,
-0.04906203,,,
-0.23377964,,,
-0.036652952,,,
-0.8976425,,,
0.04232305,,,
-0.68465924,,,
-0.3038566,,,
