L0,L1,L2,L3,Graph
0.55220413,-0.23383512,-0.35225257,0.7924162,6
0.7603495,-1.0,-0.2602919,-0.6265229,6
-0.33506164,0.31629393,-0.44196087,-0.7176526,4
0.37504214,-0.23840156,-0.08337894,0.5389349,4
-0.7551601,0.121047035,-0.8362752,0.2879421,5
-0.15032947,0.3798813,0.41552123,-0.026193261,5
0.4535076,0.35017884,-0.3545207,0.7094413,5
0.80293185,-0.7928393,-1.0,-0.49724585,5
-0.55278957,0.5340499,1.0,0.41737214,5
-0.15668495,0.5106287,-0.8223375,-0.89659464,5
-0.075763494,0.07776798,-0.58419114,-0.46121925,7
-0.9656652,-0.4541819,0.5769352,-0.86806434,7
-0.072849005,0.51577747,-0.5695565,0.7654957,7
-0.75078034,0.9158442,0.37159374,-0.027803123,12
0.18539831,0.124598205,-0.08401159,0.7105296,19
0.8645469,-0.107958496,-0.9046523,-0.53708667,19
0.456676,0.18022853,0.6380654,-0.16041905,21
0.79214054,-0.9005983,0.06771396,0.25003207,21
-0.3684018,0.27831584,-0.52867746,-0.56580806,21
1.0,-0.11395699,1.0,1.0,21
0.09164491,-0.038736682,0.7888218,0.16817448,21
-1.0,-0.71162975,0.8782165,-0.21341151,21
1.0,-0.50785726,0.11512842,-0.26673156,24
0.78360116,-0.709117,0.040689632,0.8698172,27
0.4620556,-0.5189866,0.30261955,0.5918739,27
-0.39296588,-0.595677,0.7612873,-0.83604515,27
-0.62436837,-0.9718483,-0.32471848,-0.09259341,37
0.9952079,0.8660512,0.44086874,-0.5049837,37
-0.64359814,-0.14572635,-0.5097538,0.25025076,46
0.6881859,-0.8970272,0.2552087,-0.3600923,47
0.25567365,0.57904124,-0.017629728,1.0,47
0.5994334,-0.22259195,-0.6000203,-0.443979,47
-0.7212794,0.83768153,0.13199267,0.93667686,63
-0.5923774,0.13558632,-0.42309356,-0.14414704,60
-1.0,-0.6898051,-0.26014814,-0.61387914,60
-0.14772204,-1.0,-0.48775038,0.66040075,60
1.0,0.31414986,-1.0,-0.41603976,60
-0.021549486,-0.3623775,-0.10767272,0.3268487,60
0.30049205,-0.69682205,-0.9687836,0.9244899,60
0.62734556,0.23090534,-0.18216123,-1.0,60
0.37426388,0.1659429,0.10605911,0.98435867,60
0.9414776,-0.28935027,0.36442304,-0.17419572,60
-0.07724521,-0.47042096,1.0,-1.0,64
0.85296077,-0.937256,0.85866964,0.39661705,64
-0.23290451,1.0,-1.0,-0.6424044,74
-0.47850025,-0.5794444,-0.76195335,0.623143,74
-0.042676747,0.14538117,-0.23630832,0.8078069,77
0.32002035,-0.19110584,0.52736646,-0.7875136,77
0.09444851,-1.0,0.9610732,0.13962206,87
-0.04881232,0.48404095,0.29480082,-0.5479427,87
-0.58238965,-0.3118639,0.42381883,0.86902755,
0.34269005,1.0,1.0,-0.6454722,
0.3144164,-1.0,-0.3254949,-0.23123418,
0.8734573,0.7679805,0.99155,1.0,
-0.19203565,0.9972881,0.17861477,-0.6348239,
0.09628564,0.51249737,0.49842107,-0.2938002,
-0.4959017,0.9002115,0.47169173,-0.23508179,
0.71228033,0.049300358,1.0,-0.5780702,
0.78786594,0.09203109,-0.58232313,0.9723602,
0.112975985,-1.0,-0.44608358,0.53439367,
-0.35016048,-0.16455325,-0.40687695,0.1684714,
-0.76027286,0.5171437,-0.13237312,0.6860878,
-0.26361006,-0.79472315,0.13928038,-0.93066907,
-0.21881706,0.077331126,-0.3703542,-0.7120709,
-0.7417817,-0.7891773,-0.1237958,0.70304376,
-0.19733585,1.0,0.5144791,-0.5972489,
-0.46513242,0.008578019,-1.0,-0.8792492,
-0.04682054,-0.8734347,-0.024903646,0.38236034,
0.905591,-0.16653484,0.3807519,0.8614541,
0.38589057,-1.0,0.8848785,0.67659163,
0.4899799,0.8944206,-0.0757699,-0.6420613,
-0.74501574,0.1087031,-0.5563215,0.42657688,
-0.22682378,-0.4726982,-0.7557469,0.7773213,
0.70957434,-1.0,-0.05158455,0.32146475,
-1.0,-0.09600213,-0.21908315,0.2153371,
-0.5892078,0.12307452,-0.13272657,-0.17251891,
0.5431979,0.7531249,1.0,-0.44323543,
-0.6002266,0.9520221,-0.14029981,0.049695507,
0.7102082,0.099521235,0.4427233,-0.79605526,
1.0,0.31870353,-0.86991245,0.4213925,
-0.75274974,-1.0,0.39340973,-0.60538447,
-0.10966116,0.49473536,-0.6591809,-0.021098375,
0.16156448,-0.7173968,-0.036946103,-0.32022524,
0.67119765,-0.22454053,0.24135526,-0.4693485,
0.99903786,-0.7710528,0.3638581,0.47416097,
-0.99104667,0.13910499,0.6482517,0.35736144,
0.7516584,-0.08257659,-0.09057887,0.17687744,
0.12236653,1.0,0.8855981,-0.87609667,
0.18161428,-0.59746045,-0.31990802,0.056236334,
-0.55316705,0.4602329,0.14884551,0.5108736,
0.23490967,0.21379344,-0.215846,0.32984668,
0.3419022,-0.77035934,0.30498284,0.23542993,
-0.9613037,-0.16149095,-0.6489789,-0.72158295,
0.4935325,-0.15017733,-0.8884895,0.36189166,
-0.8393694,-0.17114297,0.63538766,1.0,
1.0,0.37974244,-0.36420053,-0.2942298,
-0.72128946,0.2380173,0.66128665,1.0,
-0.9681842,-0.29393005,-0.48643896,0.649457,
0.6494004,0.2921416,0.13789505,0.6712623,
0.23935868,-0.97149503,0.82266724,0.35610363,
-0.8405638,0.60762155,-0.7798632,-0.17241943,
0.7672068,0.44028682,-0.3367339,-0.785854,
0.27296486,0.8925066,0.050525196,-0.2667815,
0.4061449,0.8863114,0.6040449,0.95470536,
-0.112996876,-0.47678348,0.93254536,0.7276714,
-0.01032304,0.65912366,0.2903906,-0.0054554343,
-0.4932914,-0.09758251,0.34848303,-0.5534094,
-0.42405665,-0.21464992,-0.20868142,-1.0,
0.6624928,1.0,-0.4014513,0.6448903,
-0.6105965,0.97813565,-0.47022724,-0.5591617,
-0.5484834,-0.2855094,0.6499617,0.9586823,
0.72157574,0.5669807,-0.14918251,0.012574952,
0.60657156,0.59466064,-0.61208403,-0.81150126,
-0.48329788,-1.0,0.14673552,0.037426244,
0.4003047,0.5686935,-0.5945658,0.7291055,
0.8248902,-0.56604594,1.0,0.06230612,
-0.3770905,0.22315016,-0.062403098,-0.51752335,
0.48795074,-1.0,-0.8410505,0.039246615,
0.011329403,-0.8329832,0.4608336,-0.4239251,
1.0,0.650216,0.41128638,-0.41067857,
-0.93496484,0.9643813,-0.9517447,0.26296514,
0.27203262,0.43735093,0.23853634,-0.4798322,
0.46674109,0.8654909,-0.7754315,-0.02711308,
0.13271555,0.41968122,-0.085610315,0.91865706,
0.34978127,-0.25755113,0.40978527,-0.3254513,
-0.46912515,-0.43199557,0.4109944,0.35043824,
0.731089,-0.33153254,0.75569594,-0.46453458,
-0.50988805,0.74641585,-1.0,-0.57397807,
-0.30397388,0.47997937,-0.72267723,-0.8642285,
0.014287069,0.14563352,-0.56117356,0.77237207,
0.24262549,-0.74087393,-0.9451157,0.44936362,
