L0,L1,L2,L3,Graph
-0.17269754,-0.24502571,-0.20278147,0.4973034,7
-0.22689761,-0.84147185,0.32150808,0.82111704,8
-0.28404295,-0.34384298,-0.44303554,0.73645055,8
-0.48555434,0.5046718,0.080832854,-0.4379331,8
-0.5391817,-0.108123556,-0.2644561,-0.61085737,10
0.377516,0.9978049,-0.3264668,-0.12507315,11
0.16439752,-0.64695644,0.84690034,0.0035255253,11
0.850127,-0.78561795,-0.07132474,0.3478569,11
0.633231,0.1445997,-0.10132704,0.8332003,11
-0.034124214,0.09079605,-1.0,-0.13702196,11
-0.05613795,0.3518773,-0.043947205,0.34757504,15
-1.0,0.65581465,-0.6690669,-0.6764678,15
0.34564048,-1.0,-1.0,-0.03457147,15
0.083846256,-0.32333022,-0.73587775,-0.445917,15
0.08609611,0.5354924,0.66217434,1.0,15
0.10376084,0.13735715,-0.29224598,-0.7433969,15
0.80968255,0.3902297,0.7380629,0.57417893,15
-1.0,-0.38791084,-0.5154599,-0.5258408,15
-0.048847914,-0.11828302,0.54894,0.012958825,15
-0.9444669,0.9736318,-1.0,0.07397777,15
-0.21816221,0.7996071,0.19594765,0.19098906,15
-0.012608185,-0.37012208,-0.86237043,-0.48948535,15
0.18657473,-0.9705462,-0.14491741,0.6449157,19
1.0,-0.28624004,-1.0,-0.33844933,21
-1.0,0.103155285,0.06756884,0.5832951,28
1.0,0.2208474,0.4420988,-0.74172544,39
-0.38208646,-0.17504372,0.47873747,-0.51067764,34
-1.0,-0.96786535,-0.6238692,0.02347774,34
-0.48075816,-0.37033665,-0.8243638,-0.97080743,42
0.6741257,-0.7454291,-1.0,0.37977976,42
0.28356066,1.0,-1.0,0.8466585,68
0.7395718,-0.39126146,0.29343158,-0.39792153,68
0.05360523,-0.311094,-0.5149081,-1.0,68
0.8943548,-0.29073924,0.76910424,0.09556961,68
-0.66297245,0.58780354,0.60289073,0.37059727,70
-0.32507274,0.46263027,-0.1859802,0.8264224,70
0.027981013,1.0,-0.13255794,-1.0,70
0.39512688,0.075222805,-0.7627093,-0.42230898,70
-0.643982,-0.8689531,0.7682892,-0.13224708,70
0.8979573,-1.0,-0.42661417,-0.03916938,70
-0.83889234,-0.9990727,-1.0,-0.8752296,76
0.77668417,-0.26744467,-0.5966362,-1.0,76
-0.9942051,-0.70500255,1.0,0.47701392,76
1.0,-0.25052434,-0.37753984,-0.20297472,76
0.74238867,-0.59866035,-0.8532068,0.0878199,76
0.82372177,0.21441,0.76101196,0.47110504,76
-0.20952582,-0.23751475,-0.5675591,-0.08536345,75
-0.68559426,-0.51888216,-0.4108208,0.5389789,75
0.5802907,-0.053238332,0.68862736,0.2663821,75
-0.680411,1.0,-0.4667502,0.9296181,75
0.7464782,0.4717722,0.7800533,0.72070813,
-0.37085927,-0.51591504,-0.72925264,-0.9609441,
-0.81929606,-0.18814194,-0.8429802,0.42051598,
0.5827277,-0.94409096,0.91199964,0.31227738,
-0.41282997,1.0,-0.64186585,0.05281633,
0.59032583,1.0,1.0,-0.32034904,
-1.0,1.0,0.1491056,-0.75355154,
-0.69275475,-0.27463153,-0.07210658,-0.08034148,
0.39048168,-0.14941859,-0.43153733,0.6485894,
-0.3527568,-0.59013444,-1.0,-0.2192542,
0.8150155,0.04183513,1.0,-0.2040727,
-0.07571658,-0.527447,0.03817017,-0.50947815,
0.15365364,0.64390147,0.9673438,1.0,
-0.7080697,1.0,0.36927885,0.9400196,
0.038049586,0.22224125,0.1810112,0.98516136,
-0.61127293,-0.82935536,0.3543446,-0.2857954,
0.4543963,0.0072260946,0.6136508,-0.47747186,
-0.51687646,0.15976104,0.75645876,1.0,
-0.112271726,0.9484681,-0.73003894,0.5023209,
-0.569958,0.10903263,0.73263246,0.79560095,
-0.24501228,0.21726628,0.3519734,-0.23084158,
-0.16564724,-0.027839765,0.5094436,0.035076205,
-0.21726811,-1.0,0.26103708,-1.0,
-0.2939134,-0.26136696,-0.0853362,0.57518625,
-0.7322074,-0.4315245,0.11383949,0.6075192,
-0.120237894,-1.0,-0.20823875,-0.97988105,
0.50667685,0.88153064,0.32060093,1.0,
0.5806797,0.8275883,-0.29988524,-0.6791697,
0.6196855,-1.0,1.0,-0.20899028,
0.033543512,1.0,-0.5947418,0.30211163,
0.47871456,1.0,-0.53599167,-0.34724087,
0.6129808,0.29957032,0.6047774,0.02586627,
0.5853449,0.43975,-0.52194536,0.10178494,
-0.712896,-0.98606163,0.92787933,0.6997409,
-0.3841907,-0.65777755,-0.42190117,1.0,
0.6303505,-0.32017443,0.7771814,0.45291927,
-0.94409424,1.0,-0.36495733,0.78052145,
1.0,-0.30798644,-0.56779724,-0.5299202,
1.0,-0.38564804,0.67534256,0.97377884,
1.0,0.84248304,0.20049655,-0.85754365,
-0.10048501,-0.07458907,0.77995586,-0.08961025,
0.3786232,-0.87490505,-0.6923911,-0.70323104,
-0.51758736,1.0,-0.45905733,-0.07949537,
-0.799065,0.23174644,0.04509127,-0.80316484,
0.15162534,0.107260525,-0.28217462,0.32580566,
0.9403763,1.0,-0.14696378,-0.8852364,
-0.071397364,0.32158273,-0.65272856,0.6282592,
0.79576266,0.813887,-1.0,0.26298204,
-0.20709088,0.08298163,-0.2615521,-1.0,
-0.40478653,-1.0,-1.0,-0.038782686,
0.7609012,-0.40108174,-0.20072909,0.76907957,
-0.29188246,0.11333721,0.19338527,-1.0,
0.39498842,-0.13175821,-0.9541406,-0.75769585,
-0.6863808,1.0,0.08450818,-0.2769936,
0.19208157,-0.78917885,-1.0,0.3875795,
0.572342,1.0,-0.57693565,-0.40518337,
-0.64090914,-0.14814764,0.34749642,0.018597044,
0.34989658,-0.63395846,0.026453018,-0.36166835,
-0.724666,0.6861756,-0.63605464,0.086883605,
-0.26627284,-0.4720671,0.88958794,-1.0,
0.22421448,0.43270954,1.0,0.95412374,
0.64657813,-0.6254351,0.35663524,-0.959486,
0.22548878,-0.0073022544,-0.059156403,-0.70475996,
-1.0,-0.7880578,0.22757137,-0.6012097,
0.8364989,-1.0,-0.028685756,-1.0,
0.67749816,0.90733576,1.0,0.9359228,
0.88557816,0.81861734,-0.82758814,0.8406583,
-0.44421762,0.9558317,0.15563874,0.3013393,
0.47671938,-1.0,-0.4639673,-0.8592788,
0.26314163,-0.05685854,0.65115714,-0.8187817,
-0.58214813,1.0,-0.48283443,0.3511451,
-0.10828163,-1.0,0.10841973,-0.1265249,
-0.74017364,-0.6804892,0.85366917,-0.03584612,
-0.46794036,0.3294866,-1.0,1.0,
-1.0,-0.14742404,-0.99931824,-0.40622383,
-0.61971205,0.83200365,-0.017305791,0.8307164,
-0.906273,-0.6162671,0.13865867,-0.45018214,
0.9124072,-0.7926483,0.58164674,0.38387516,
-0.1834596,0.074353635,-0.44640025,0.48771924,
0.5849804,0.8831846,-0.30040112,-0.24816921,
0.8772833,0.038003355,0.36236122,0.077626884,
0.8924275,0.6639961,1.0,0.5882112,
0.13381122,-0.88846314,-0.64546543,,
1.0,-0.97208554,-0.28905445,,
-0.69000816,-0.20654783,-0.58822,,
0.06902461,-0.20864178,0.26404837,,
0.16273327,0.4292462,-0.43540716,,
-0.4043608,0.093541,-0.68109834,,
-0.7989738,0.6678942,-1.0,,
-0.40501243,0.67449105,-0.1688753,,
-0.9087107,-0.46025288,-0.07657176,,
-0.42377496,0.6963359,-0.33544946,,
-0.034886286,0.32333612,0.024420686,,
0.53490555,-0.10715293,0.4802907,,
-0.7532721,0.7129558,0.80208975,,
-0.42554274,0.20398131,0.8930518,,
0.899699,0.60491276,-0.6061307,,
-0.24643733,-0.995409,0.14146328,,
-0.8362199,-0.67937165,-0.5834435,,
-0.9750875,0.70070994,-0.23353282,,
-0.06602031,-0.13388583,-0.016119972,,
-0.94269764,-0.30720615,1.0,,
0.86277616,0.035675645,-0.8916487,,
0.16222462,-0.104987875,0.03083478,,
-1.0,-0.057127245,0.52925706,,
0.24030259,0.19211037,-0.2656374,,
0.77862436,0.2124461,-0.71900046,,
0.6172223,-0.3347338,-0.72418636,,
0.12617531,0.8301765,0.17444381,,
0.40001518,0.89941597,1.0,,
0.111272514,-0.1854858,-0.89541227,,
-0.24703424,-0.28742194,0.8870135,,
-0.4894976,-0.63708204,-0.73049283,,
-0.84781116,0.5015758,0.18496501,,
-0.8314421,-1.0,-0.70319045,,
1.0,0.48303714,0.24921161,,
-0.6008325,-0.4486327,0.31592363,,
0.7748852,-0.2871415,-0.90988886,,
0.19021352,-0.7927446,-0.50494534,,
0.86654234,1.0,-1.0,,
0.19161269,0.32579893,0.02146779,,
0.30671293,-0.5331665,-0.4307379,,
-0.13063475,-0.919985,-0.84394664,,
1.0,0.22750437,-1.0,,
-0.21296622,0.8488349,0.1025286,,
0.1814658,0.2492708,1.0,,
-0.27048147,-0.29012024,-0.78949416,,
-0.74043477,-0.43374342,0.21347225,,
-0.04460776,-0.2657655,-0.8335117,,
0.43754572,0.6511604,0.73931414,,
0.4174425,-0.7227567,-0.85639244,,
0.40365845,0.09116869,0.61284935,,
-0.30007526,0.5207868,-0.5140171,,
