L0,L1,Graph
0.20911145,0.4752084,5
-0.16338316,0.37000144,8
-0.45424914,-0.9704849,10
1.0,-1.0,10
0.88113165,-0.49954146,10
-0.54750544,0.22143915,11
-0.5924071,0.40088606,14
-1.0,0.050293505,14
1.0,0.65600806,15
0.32757384,-1.0,16
-0.057191215,0.5260745,16
0.950684,0.3118903,29
-0.09559211,0.73991245,29
0.13434765,1.0,29
0.20440897,-0.10169338,29
0.73922515,0.38591778,39
0.4002758,0.17839116,39
0.6134846,-0.7254499,39
0.5299302,0.5404024,59
0.12966368,-0.50773793,63
-0.26065862,0.24503699,77
0.34686273,-0.8372933,77
-1.0,0.21094325,77
-1.0,-0.71318257,77
1.0,-0.2234769,77
-0.50511056,-1.0,80
0.6644385,-0.3089237,80
-0.5775859,-0.6836077,80
0.49547127,-0.7010528,80
0.16230634,0.4891798,80
-1.0,-0.9647507,80
-0.3652069,-0.3320952,80
0.18600897,0.851867,84
-1.0,0.1900104,84
-0.47687972,-0.35038525,84
0.2494867,0.7366214,85
0.60815877,,85
-0.3589661,,85
0.46974027,,85
1.0,,90
0.06931734,,90
1.0,,90
-0.44285944,,88
0.5154094,,91
0.16473806,,91
0.53882164,,91
-0.1654315,,91
0.608332,,96
-0.41367123,,97
-0.90324134,,97
-1.0,,
1.0,,
0.066618554,,
-0.38503814,,
0.7826929,,
0.31345016,,
-0.37519786,,
-0.35535198,,
1.0,,
1.0,,
0.19724713,,
-0.8363468,,
1.0,,
0.116200365,,
0.9849322,,
0.0778036,,
0.80875397,,
-0.3257842,,
0.41767156,,
0.42529267,,
-0.6858555,,
0.37800258,,
0.75082964,,
0.13639593,,
-0.6754975,,
0.5686207,,
0.11316818,,
-0.065668315,,
0.6037155,,
-0.1383911,,
-0.5645023,,
-0.19973218,,
-0.049061447,,
-0.91787475,,
0.1054613,,
-0.7974426,,
-0.18742412,,
-0.24463753,,
0.14703244,,
-1.0,,
0.23347849,,
0.9048356,,
-0.58589834,,
-0.19043066,,
0.6537731,,
-0.43310457,,
-0.9445731,,
-0.41042382,,
-0.016157404,,
-1.0,,
0.5970748,,
-0.14742693,,
0.3210558,,
-0.5590782,,
0.34891886,,
1.0,,
-0.55419254,,
-0.16740955,,
0.72547054,,
0.0926093,,
-0.043620702,,
-2.3761764E-4,,
-1.0,,
0.31344518,,
-0.09629877,,
0.11849661,,
0.14854132,,
-0.56625164,,
0.18073663,,
0.12666106,,
0.13953327,,
-0.50524926,,
-0.77729946,,
0.5603584,,
0.36752754,,
-0.29543364,,
0.94893694,,
0.74527663,,
1.0,,
-0.20830905,,
-0.16064334,,
0.18868974,,
-0.067113176,,
0.6346621,,
-0.6735828,,
0.18609579,,
-0.98935795,,
0.9607715,,
-0.18156826,,
1.0,,
0.20815381,,
0.98124397,,
-0.21352309,,
0.22823149,,
0.217444,,
0.75771356,,
0.6800446,,
-0.6938459,,
0.05002527,,
-0.124222666,,
-0.9693431,,
0.7587898,,
-0.8818162,,
0.3159175,,
-0.67127156,,
-1.0,,
-0.5950783,,
0.8519316,,
0.42542663,,
0.29655457,,
0.6996117,,
0.5480285,,
0.9361179,,
-0.8782072,,
0.42858905,,
-0.4836839,,
0.7706318,,
-0.34009242,,
-0.86312604,,
0.3941232,,
-0.37397826,,
0.12447268,,
-0.89055365,,
0.43989342,,
-0.54953367,,
-0.24240214,,
0.78396785,,
0.27709717,,
0.69775414,,
0.44235954,,
-0.10972841,,
0.4883065,,
0.01575452,,
-1.0,,
-0.8494083,,
0.9447318,,
0.49031484,,
-0.5098878,,
0.99164665,,
0.6802861,,
0.45576894,,
-0.91916126,,
-0.2224534,,
-0.10552651,,
-1.0,,
0.76691395,,
0.26596653,,
0.47466692,,
0.21674386,,
-0.7858588,,
