L0,L1,L2,Graph
0.85986114,-0.9914187,-0.46886295,4
0.128703,0.12103215,0.056377262,4
0.0366187,-0.45890227,-0.31101424,5
-0.6708096,0.33407813,-0.7614757,5
-0.1629597,-0.93953305,0.6179578,8
-0.35086048,-1.0,0.5165904,8
0.30203414,0.5935655,-0.3189928,8
0.6166143,-0.6011877,-0.049298793,8
-0.15623817,-0.28215912,0.40168333,8
0.06651412,-0.21393128,-0.15614745,8
0.113456234,-0.93766165,-0.59510297,8
0.3552804,-0.5926031,0.62326276,9
-0.73508686,0.18578176,-0.59375477,21
-0.25392377,0.33375174,-0.43230504,21
-0.2938793,0.8526022,0.50572574,30
-0.9759578,0.5115059,-0.58489877,25
0.12366745,-0.18019094,-0.6606177,25
-0.254284,-0.9075709,-0.018277075,25
-0.9132086,-1.0,-0.5281197,30
0.29443815,-0.93136644,0.69464934,42
-1.0,-0.7056965,1.0,42
-0.35582745,0.627928,0.7793656,42
-0.405522,-0.09529783,-0.5921441,42
-0.020184934,-0.11817202,-0.7158979,42
-0.07393961,0.368406,-0.106218584,42
-0.46901882,0.108490705,0.680761,42
0.17802207,-0.6020007,-0.08086372,42
0.2576262,-0.5284986,0.44080067,40
-0.7888021,-0.43909907,0.99054635,40
0.67939997,-0.996276,-0.2729379,42
-0.18318087,-0.13650876,-0.3187753,42
-0.39981937,0.022660315,0.21529336,45
-0.008660749,0.62531954,0.58028805,51
-0.2595412,0.21922122,0.8170158,51
-0.21023594,-0.8059282,-0.08860201,51
-1.0,0.5703316,-0.19522184,51
0.38817388,-0.14113992,-0.049755156,56
-0.5929773,0.43876302,-0.56131196,60
-0.29208428,-0.31117862,0.010063097,62
0.5701877,0.4853229,-0.31760758,69
-0.054118093,-1.0,-0.2538466,69
0.25380117,0.6844393,-0.21635811,69
-0.17037167,-0.19950634,-0.002888251,69
0.12085101,1.0,-0.102499455,69
-0.33063355,-0.8124883,0.48350146,69
0.51923597,-0.020005465,-0.9038403,69
0.1849316,-0.5358263,0.860394,69
-0.27612206,-0.81267864,0.9437178,69
-1.0,-0.29797378,0.12282618,69
-0.5583179,-0.89471155,0.7630913,69
-0.26941118,-0.77518237,-0.19813475,
0.01540548,0.36495984,1.0,
0.75703615,-0.5763435,-0.7530905,
0.9737529,0.7298791,0.31578547,
-0.19660029,-0.2926221,-1.0,
0.8556938,-0.4447133,0.1268676,
-0.43212938,-0.015595324,-0.31301567,
-0.5360005,0.41571513,-0.47680584,
-0.6848234,-0.22972482,0.31109178,
-0.07710196,-0.80979943,-0.123876184,
-1.0,-0.5579892,-0.77230084,
0.010270089,0.0915921,1.0,
0.27840444,0.80150026,-1.0,
-0.11973797,-1.0,0.43150523,
-0.759319,-0.024920106,0.9511469,
-0.5043749,-0.55094373,1.0,
-0.04666027,-0.68867534,0.53298223,
-0.63391036,-0.50518775,-0.65484005,
-0.74342346,-0.13898659,0.4289372,
