L0,L1,Graph
-0.55336034,0.2463558,3
0.59331536,-0.49159166,4
-0.849912,-0.7429583,4
-0.6106825,-0.7601825,5
0.17173979,0.43205863,5
0.38256982,-0.21881807,8
0.35014576,0.38862896,8
-0.4419576,0.050372496,8
0.5966475,-0.44280264,8
-0.58779943,0.4802267,8
-0.30108774,-0.6249843,8
1.0,0.5110793,8
-0.49331394,-0.17173684,9
0.37071598,-0.67307603,10
0.37158772,-0.44121113,10
0.5337151,0.65968823,10
-0.31539974,-0.538702,10
-0.8925665,-0.5041864,10
-1.0,0.5575006,10
-0.96142095,-1.0,12
-0.05814436,0.9322884,12
0.8931637,-0.704357,19
0.062423535,0.49648398,19
0.9970184,-0.5859347,19
-1.0,-7.840246E-4,19
-0.62701464,-0.566899,21
0.6895852,-0.2914868,26
0.14487052,-0.3541895,31
1.0,0.9526704,39
0.069357164,-1.0,42
0.71030754,-0.13775547,44
0.2978416,0.77073354,47
0.21396,-0.76938295,49
0.8456821,-1.0,63
-0.74087894,0.18106425,63
0.5588536,1.0,63
-0.58674455,,79
-1.0,,79
-0.3834951,,79
-1.0,,75
-0.46831915,,75
-0.12513682,,75
-0.73671615,,75
0.816571,,75
0.5843152,,75
0.37293082,,75
-0.48553127,,75
0.8371214,,75
0.0641288,,75
0.006065294,,75
0.9007203,,
-0.28372067,,
0.065578036,,
-0.6423404,,
-0.055776,,
-0.6808902,,
-0.8277378,,
-0.23336244,,
0.3412833,,
1.0,,
-0.8562943,,
0.19623429,,
-0.4125093,,
-0.39319035,,
1.0,,
0.8826095,,
-0.7076538,,
0.59648365,,
-0.25511155,,
0.27737638,,
-0.5836776,,
0.77720183,,
0.9042686,,
0.7229898,,
-0.30975845,,
-0.5541816,,
-0.16093409,,
0.12865168,,
-0.15101226,,
0.9673523,,
-0.038674265,,
0.061531506,,
-0.57659435,,
-0.74469465,,
0.64890623,,
0.12155166,,
1.0,,
-0.45741755,,
-0.58563787,,
0.87751645,,
0.104234576,,
0.02927947,,
-0.60893667,,
-0.033139676,,
-0.9290414,,
0.6498796,,
1.0,,
0.7503996,,
-0.82561636,,
0.32570732,,
0.7383587,,
-0.66219246,,
-0.93811905,,
-0.8019272,,
-1.0,,
-0.9051909,,
0.6459028,,
0.1470115,,
0.6199708,,
0.5258361,,
0.498756,,
-0.5871376,,
0.007043667,,
0.79240817,,
2.3812056E-5,,
0.97075826,,
0.58431697,,
1.0,,
1.0,,
-0.57814366,,
-0.0092969835,,
-0.64205587,,
-0.07772461,,
0.847407,,
-0.13400944,,
-1.0,,
0.013823152,,
1.0,,
-0.0105308145,,
0.088326216,,
-0.5425761,,
0.59737366,,
-0.40366715,,
-1.0,,
-0.6858343,,
-0.17851499,,
0.24649288,,
-0.59078467,,
-0.0010629273,,
0.40075344,,
-0.46659306,,
0.32818317,,
0.69260037,,
-0.2163127,,
-0.18722157,,
-1.0,,
0.06766066,,
-0.18314624,,
0.44264168,,
1.0,,
-0.31645238,,
0.99034995,,
0.62286377,,
-0.7741392,,
1.0,,
-0.11337307,,
0.81873864,,
-1.4218688E-4,,
1.0,,
-0.9243154,,
-1.0,,
-0.11168723,,
0.11786055,,
1.0,,
0.81842124,,
0.69320536,,
-0.5103898,,
-0.36844814,,
0.87976813,,
-0.38727632,,
0.6398838,,
0.06416944,,
-0.7551657,,
0.6159203,,
-1.0,,
-0.15490937,,
0.25055116,,
-0.35115275,,
0.5454166,,
-0.2496131,,
0.23152375,,
1.0,,
-0.15209717,,
-0.4823369,,
-0.4263602,,
0.6187365,,
-0.5094822,,
0.37120476,,
-1.0,,
0.109888434,,
-0.09445385,,
-0.35478002,,
0.5515886,,
0.84363014,,
-1.0,,
0.031672806,,
1.0,,
0.94348776,,
-0.31038064,,
-0.9201822,,
