L0,L1,Graph
0.36700737,0.44260722,4
-0.4093247,0.78001386,4
0.56326383,0.5456098,4
-0.38955757,-0.13392174,6
-0.79332465,-0.6512147,6
-1.0,0.7500014,6
0.37201995,1.0,6
0.40717095,-0.99060285,7
-0.4486618,0.16887718,13
-0.043327317,-0.2123134,17
-0.21548608,0.71476585,17
0.1110651,-0.9689943,25
-0.52886534,-0.8621987,25
0.6858052,-1.0,29
0.8461385,0.2761135,29
-0.6004586,-0.8241892,32
0.72370154,0.21358982,37
0.9346573,-0.76829576,38
0.34573892,-0.35718513,38
-1.0,0.9503698,41
-0.8294651,,41
0.7663443,,46
-0.17183886,,46
0.69440293,,46
-0.17437544,,46
0.8550416,,46
0.9718963,,48
0.02710171,,48
0.35835233,,56
-0.86242706,,56
0.75315315,,61
-0.5261232,,73
-1.0,,73
0.41644433,,73
-0.91671824,,73
-0.9676032,,73
-0.46753657,,73
-0.8970769,,74
-0.48192003,,74
-0.8795981,,70
-0.19800687,,70
0.42941272,,75
-0.595374,,96
0.014252812,,96
-0.22318774,,96
-0.49704,,96
-0.06692809,,96
-0.3709696,,96
-0.32242408,,96
-0.3991946,,96
-0.7991676,,
0.56945795,,
0.23875879,,
0.058279835,,
-0.3014301,,
0.97129554,,
1.0,,
-1.0,,
-0.927284,,
-0.28672403,,
-0.48459777,,
-0.0767783,,
-0.8179811,,
-0.2244234,,
-0.5183798,,
-0.9867902,,
0.038514048,,
0.066787645,,
-0.18578319,,
0.5641341,,
0.6743422,,
0.33618048,,
-0.03276962,,
0.4349358,,
-0.44374898,,
-0.955653,,
0.3041268,,
1.0,,
-0.11334567,,
-0.16311277,,
-0.017182643,,
0.43737435,,
-0.55831265,,
-0.012061566,,
-0.21182829,,
-0.6753982,,
0.798176,,
-0.9750197,,
0.6306143,,
0.5419464,,
-0.6916659,,
1.0,,
0.057030432,,
0.35293782,,
-0.6644069,,
-0.34177807,,
1.0,,
0.32572764,,
-1.0,,
0.48031533,,
