L0,L1,Graph
0.23197271,-0.7707069,7
-0.34951758,-0.21304232,14
-0.6892733,1.0,21
-0.20899941,0.6801871,21
0.27019164,0.25802547,25
-0.4340182,0.13352479,32
0.98108345,0.59207296,32
-0.10066146,1.0,44
-1.0,-0.7479352,55
0.0018117614,0.5752233,60
0.1071405,0.7438382,68
-0.19068299,-0.2406567,69
0.44072405,-0.4460349,69
0.22990495,0.32744336,69
0.09406141,-0.6743173,73
0.9785412,0.20324983,76
0.49139747,1.0,76
-0.4328279,-0.3112555,77
-0.17489055,0.8387399,77
-0.21916854,1.0,77
-0.8731906,-0.03989649,82
0.61641014,0.51622397,83
1.0,-0.07209808,85
-0.8692992,-0.4478705,96
-0.12765257,-0.71205586,95
-0.092604354,0.40672117,95
0.025410812,-1.0,95
0.20440847,-0.55672324,95
-0.8272459,-0.6044487,95
0.84188306,-0.711916,95
-0.44656637,0.5644042,95
-0.045467272,0.7362325,97
-0.08773178,0.60767055,97
0.25759053,-0.109650895,101
1.0,0.51972044,101
0.7633846,-0.17320561,101
0.6216848,0.34707823,101
0.34106427,-0.109455705,101
-0.033958912,-0.32435143,101
0.30081326,0.86274195,101
-0.05839552,-1.0,101
-1.0,-1.0,101
-1.0,-0.16891944,101
0.65605694,-0.04467006,101
-0.8104036,0.72802645,101
0.7022909,-0.38726902,101
0.5720458,-0.39158073,101
-0.2528049,-1.0,101
0.16691951,-0.9523287,104
-0.6744662,0.8999066,104
0.36465707,-0.69646597,
-0.10208355,0.9962993,
0.8786168,0.72178775,
0.013596237,0.2713288,
-0.7745517,-0.5252585,
-0.6360384,-0.47129804,
0.8530786,0.33021995,
0.33113778,-0.18350787,
1.0,0.5654829,
-0.57305545,0.7189535,
0.08479155,-0.38158268,
-0.77936363,-0.5016444,
-0.9898236,0.049102128,
-0.091394305,-0.10949541,
-0.25055465,-0.54829013,
0.7866214,1.0,
-0.7336464,0.64609355,
0.09180406,-0.6904351,
0.5099179,-0.17436576,
-0.6640441,0.9818568,
0.7645763,0.46941805,
-0.46471557,-0.6426487,
0.22886206,-1.0,
0.12675127,-0.6642866,
-0.9610668,0.20606399,
-0.8707112,0.43077582,
-0.09062557,-0.34903827,
0.6522627,0.3594208,
1.0,-0.010345998,
0.9459054,-0.7649748,
-0.12699428,-0.87744695,
0.77215016,-0.88957715,
0.13207743,0.06390461,
0.13025424,0.63316953,
-1.0,0.13497895,
-0.3773342,0.26927987,
-0.19544505,0.8039917,
-1.0,-0.069977865,
0.40230122,-0.7569869,
-0.044214964,0.815859,
-0.1427882,-0.6332893,
0.4747727,-0.5651859,
0.13418287,-1.0,
0.37520242,0.026668757,
0.91637754,0.9542201,
-0.49098575,-0.6456835,
1.0,-0.3897265,
1.0,-0.70026135,
0.2956161,-1.0,
0.5859341,-0.35641703,
-0.80412614,-0.086049676,
-0.7578588,0.010742106,
-0.7033818,0.62812734,
-0.3200948,-0.4026307,
-0.7547548,-1.0,
-0.07093498,1.0,
0.016273372,0.6848885,
-0.08682607,-0.7983626,
1.0,1.0,
0.6508348,-0.4553157,
-0.37748486,1.0,
-0.5348825,-0.57895696,
-0.20656091,0.77127546,
0.3197457,-0.66395986,
0.832577,0.7446147,
-0.8118632,0.38128534,
1.0,1.0,
0.82338196,0.57983375,
-0.387684,-1.0,
0.6198603,0.919477,
-0.23030514,0.028863557,
-0.9570134,0.02702105,
-0.88339466,-0.90689504,
-0.25810152,-0.6197474,
-0.26881027,0.6094613,
0.6443294,-0.15052831,
-0.8990109,0.09034222,
-1.0,-1.0,
-0.45173562,0.21523786,
1.0,0.12758414,
0.55467194,-0.54698783,
0.7416763,0.09584286,
-0.7110692,0.4354112,
-0.60531765,0.19170158,
0.25630873,0.29975557,
0.44487312,0.65209955,
-0.31125242,-0.07690494,
0.71582276,0.61206067,
-0.30282813,0.20494205,
0.5657923,0.054837853,
0.1962802,0.5976321,
0.03674125,0.60675657,
1.0,-0.3966165,
-0.7501997,-0.84032047,
0.35533103,-0.27544746,
-0.07860944,1.0,
1.0,-1.0,
1.0,-0.22630116,
0.6001855,0.5828191,
-0.15351932,0.035464,
-0.9858172,0.498393,
-0.2920261,0.3542516,
1.0,0.5847075,
-0.73371565,-0.027609974,
0.5001094,0.08838171,
0.8708555,0.26209033,
0.37157908,-0.053360656,
-0.76162815,0.35522223,
-0.67468977,1.0,
0.5652063,-0.3372534,
-0.20136479,-0.80995005,
-0.3968023,-0.6692862,
0.046830516,0.66254765,
0.46600446,-0.24147187,
-0.87951577,-0.8145629,
-0.5456422,0.12484987,
0.9418542,0.49888104,
0.6890125,1.0,
0.33477634,0.6199328,
0.4481144,0.84684706,
0.13718262,0.2442488,
-0.31446043,0.43677863,
0.9076444,-0.23318693,
-0.44364536,-0.1420646,
-0.5429605,0.7705983,
-1.0,0.87543195,
0.85859203,-0.3649762,
-0.21805099,1.0,
0.91605806,-0.5699674,
0.46290547,-0.7363015,
0.17904904,0.06703342,
0.42866254,-0.4070263,
-0.12542503,1.0,
-0.89848125,-0.4541138,
0.0018323064,0.05426623,
0.19769497,0.9053934,
0.45431066,-0.9254974,
0.028183527,-0.4789538,
-0.47197872,-0.9779703,
0.42102662,0.6940018,
-0.533558,-0.37834108,
0.5916125,1.0,
0.7686315,-0.15737781,
0.8295759,0.36941782,
0.73286533,-0.83498573,
-0.09305763,0.028190501,
1.0,,
-0.74609226,,
0.5263072,,
-0.9629102,,
0.25905147,,
-0.5598308,,
-0.6369469,,
0.6524643,,
-0.05242804,,
-0.025148302,,
-0.48863426,,
-0.45860332,,
1.0,,
0.9982964,,
0.456716,,
0.4696949,,
-0.5722204,,
-0.5248182,,
-0.69619787,,
0.11358302,,
-0.5777978,,
-0.02867078,,
-0.5906128,,
1.0,,
-0.55967915,,
-0.85341084,,
0.8043288,,
-0.7735591,,
-0.49926078,,
0.09524979,,
-0.51273704,,
0.188815,,
-0.2760422,,
-0.5396365,,
0.40914103,,
-1.0,,
0.63961446,,
0.9867309,,
0.6408493,,
0.3433723,,
-0.5024394,,
-0.07270478,,
-0.5386504,,
-0.9432594,,
0.071032256,,
1.0,,
0.74294627,,
0.14921296,,
-0.8853727,,
0.8686167,,
-0.016773537,,
-0.93782926,,
-1.0,,
0.46765873,,
-0.97832537,,
-0.16378087,,
-0.29905,,
-0.14343111,,
1.0,,
-0.9200719,,
0.101113826,,
0.52825654,,
-0.32030866,,
-0.3375309,,
-0.41645092,,
0.069229245,,
0.105265126,,
-0.08599119,,
-0.2942403,,
-0.060528368,,
-0.67577,,
-0.9832115,,
0.044847906,,
1.0,,
-0.29729646,,
-0.8347221,,
-0.040185437,,
0.3910172,,
-0.08183947,,
-0.52469444,,
0.89995,,
0.17577715,,
-0.7402404,,
0.87180394,,
0.39358598,,
0.71630037,,
-0.5643232,,
1.0,,
-0.3961591,,
0.2397756,,
1.0,,
0.8184483,,
-0.36298686,,
0.41953355,,
0.99571604,,
0.64126533,,
-0.7560674,,
-0.33084214,,
0.28699577,,
-0.25595024,,
-0.8291073,,
-0.06651164,,
0.9199923,,
-0.11931032,,
1.0,,
-0.33126327,,
0.49186045,,
0.20192558,,
0.68067855,,
-0.25217992,,
-0.4847562,,
0.32202637,,
-0.86453146,,
-0.29978836,,
0.0519507,,
0.77709395,,
-0.6816015,,
-0.07264787,,
-0.26076502,,
0.70309275,,
-0.87001,,
-0.6878129,,
-0.864632,,
-0.7847985,,
-0.25620556,,
-1.0,,
0.29479697,,
0.5576702,,
-0.3201808,,
0.9382155,,
0.9192544,,
0.19346213,,
0.021542072,,
-0.21659324,,
-0.13931608,,
0.2513187,,
0.19282207,,
