L0,L1,Graph
0.92306536,0.8235395,4
-0.26913142,0.49550918,4
0.16915852,-0.8632231,4
1.0,0.46594232,7
-0.786872,0.005279541,7
-0.6256329,-0.14666481,9
-0.32813787,-0.7840152,14
0.5213795,0.95171964,17
-0.44973654,-0.3026376,17
-0.65801686,1.0,17
0.36331767,-0.375349,25
-0.59995043,0.4678821,22
-3.5604835E-4,-0.4954641,22
0.62479603,-0.57856405,22
1.0,-0.24110499,22
0.17697755,0.5423703,25
0.75894046,-0.7630965,25
-0.9507161,-0.7143353,26
0.77882284,0.93967116,26
-0.18237,-0.1723192,26
0.8296259,-0.7528963,28
-0.92890203,0.7487702,28
0.789404,0.10036285,29
0.13231646,0.7044011,29
-1.0,-0.3966111,35
-0.83267236,-0.37035412,35
0.4101216,0.76138794,35
-0.41382363,0.32401904,37
0.6354581,0.7390453,39
-0.46913552,-0.22888859,43
0.42489725,0.5514128,41
-0.8676382,-0.9688506,39
0.42940858,0.29927278,44
-1.0,0.5986965,44
0.07193062,-0.90704,49
-0.90210056,-0.08224141,49
0.48719323,0.31490302,49
0.8251076,0.29724193,49
0.12865548,0.13828158,49
0.61492354,0.16334206,49
0.9626293,0.6889133,49
0.31913278,0.041610148,49
0.734793,-0.24715371,57
-0.2599215,-0.42777884,71
0.39233,1.0,71
-0.4597699,0.80365413,71
-0.7446917,1.0,71
-0.108061865,-0.030533537,71
0.29837358,0.12962787,71
0.02505356,-0.12524901,69
0.56769025,-0.015820416,
-0.3569662,-0.53185827,
-0.040834315,-1.0,
0.15197465,0.40389967,
0.27477917,0.9867775,
-0.13640866,-0.29624075,
-0.08316965,-0.45285356,
-0.079042636,-0.31265497,
0.7887705,0.15776967,
-0.92519844,0.63803566,
0.7438166,-1.0,
0.6509385,0.84169066,
-0.81071377,0.02165299,
0.77481216,0.36758825,
-0.9726954,-1.0,
0.44608527,-0.0075868927,
0.33882594,1.0,
-0.30043608,-0.8983574,
-0.18432312,1.0,
0.7071482,0.78573114,
-0.24882619,-0.4927044,
-0.039190657,0.9574188,
-0.3258283,-0.9087403,
0.035920307,0.048015364,
-0.020375106,0.8690598,
1.0,-0.18717843,
-0.921412,-1.0,
0.008443147,-0.4411347,
0.87476087,0.3509769,
0.58341575,-0.7308752,
-0.29020146,-0.33363447,
-0.84780824,-0.74980736,
-0.7089142,-0.11600341,
0.6078599,-0.7257139,
-0.24542934,-0.6395741,
0.51234615,-0.8677468,
0.30344808,1.0,
0.6527937,0.15422979,
0.5041721,0.4729942,
0.7176473,-0.8398873,
-0.56993806,-0.76382047,
0.20004082,0.76287305,
0.40422037,0.09222737,
-0.7544249,-0.03755334,
-0.5204682,0.70721006,
-0.80266744,0.08040263,
-0.53375006,0.98778903,
0.6686239,0.57863045,
-0.39496535,1.0,
-0.12334874,-0.698884,
-0.08005272,0.7846294,
-0.55027413,-0.22539088,
0.6896896,-0.9704892,
0.3148199,-0.8618234,
1.0,-0.76256657,
-0.94781834,0.89002776,
-0.5735812,-0.3027997,
-0.14184716,-0.4091677,
0.75017524,-0.5064961,
0.5314115,0.41660082,
-0.12834345,-0.0061268806,
0.45886794,0.42816424,
0.29745618,0.3626347,
0.19161963,-0.68171334,
0.4109966,1.0,
0.45099622,0.978316,
-0.40132177,0.017306924,
0.1964573,-0.38650867,
0.798241,0.18952498,
-0.5265652,0.36476618,
-0.21402627,1.0,
0.97818625,-0.51679623,
0.5047434,-0.2401095,
-0.84316945,-1.0,
0.9426596,0.46936822,
1.0,0.9446842,
-0.081358835,0.69225603,
-0.40943754,-0.35307914,
0.90359896,0.9018036,
1.0,-1.0,
-0.76338357,-0.041706428,
-0.21954648,-0.99916697,
-0.52301943,,
0.45417178,,
0.36065817,,
-0.018707588,,
1.0,,
0.7395475,,
0.5555343,,
0.53587246,,
-0.4285572,,
-1.0,,
0.9341216,,
0.44357944,,
0.90889955,,
-0.5650079,,
-0.8714952,,
-0.8085944,,
-0.49547905,,
0.5741042,,
-0.84318686,,
0.57802373,,
-0.58300406,,
0.4965735,,
0.023961902,,
0.25179198,,
0.90714025,,
0.3667918,,
-0.23816133,,
0.13379012,,
0.07426208,,
0.12733535,,
-0.5697049,,
-1.0,,
-1.0,,
0.09358993,,
0.51291555,,
0.24092028,,
-0.61670494,,
0.45243144,,
-0.3222472,,
-0.09289077,,
-1.0,,
0.962551,,
0.8265044,,
0.5104614,,
0.26704842,,
0.052152425,,
-0.31949884,,
-0.6841268,,
-0.3614596,,
0.28048122,,
0.06178744,,
0.37311333,,
-0.38395563,,
-0.7967523,,
0.23736405,,
-0.22187069,,
0.60557497,,
-0.5546539,,
-0.7124275,,
