L0,L1,L2,L3,Graph
0.97457945,0.2673341,0.43242052,-0.56653607,5
0.557218,-0.9333186,-0.011362065,0.59101546,4
1.0,-0.8627352,1.0,0.5632156,4
0.14241815,0.40970817,0.21371216,-0.4638394,4
-0.69491774,-0.54109514,0.26114297,-0.07963946,5
0.98322076,0.9713105,0.141697,0.7585105,7
-0.7324872,0.27025115,-0.6119078,-0.27494597,9
-0.2579041,0.51309294,0.18066919,0.38467532,14
-0.075163364,-0.4345161,-1.0,-0.22772837,18
0.4948439,-0.41041377,0.062981874,-0.9361234,18
-0.08642,0.25433052,-0.5273801,0.60755414,24
-0.26305807,0.32061678,-1.0,0.5810635,24
-0.39580142,0.52058476,0.3494717,0.95118093,26
0.62084794,0.07672572,-0.9866421,-0.69696957,28
0.3360993,-0.6641257,0.9419328,-0.5389054,28
0.09517713,-0.9940466,-0.17836982,0.19452494,28
0.89786106,0.34253064,0.024184883,-0.8578668,28
1.0,0.776008,-0.8529221,-0.25994256,28
0.44906592,-0.16227564,0.6748403,-0.025545746,28
-0.9384214,-0.93069553,0.9239841,-0.9045025,28
-0.67193365,0.6579617,1.0,-0.75023866,37
0.45320708,0.60616785,0.89833236,1.0,37
-1.0,-0.31893504,0.7750024,-1.0,37
-0.25268632,0.77392817,0.5976833,0.23875621,37
-1.0,-0.049591124,-0.38856405,-0.14305931,37
0.49650937,-0.623791,-0.66537106,0.6409259,48
0.45946255,0.81284773,0.40696108,0.4604035,51
-0.73827374,-0.05166745,-0.83955234,0.95872617,51
0.8250315,-0.21347791,-1.0,-1.0,57
-0.86655587,0.41188264,0.17054297,-0.51717645,57
-0.46043122,-0.14382592,-0.9440758,-0.9080066,57
0.94392896,-0.72541606,-1.0,0.4687326,57
-0.9438953,-1.0,-0.7488445,-0.61011595,57
-1.0,-0.8311447,-0.24873325,0.5032626,57
-0.20267434,0.9783751,0.7728,-0.18593408,57
0.4847579,0.20911562,1.0,-0.18702549,57
0.5264256,-0.60807085,-0.24265587,-0.3247309,57
-0.2534483,0.08112722,-0.3862191,-0.24594626,57
1.0,-0.42841804,1.0,-0.6583427,57
1.0,-0.22850657,-0.19484207,-0.8257648,57
-0.39997777,0.56184,0.54015064,0.053534698,57
0.336223,-0.21756403,0.49068552,-1.0,57
0.5894331,0.5451473,-0.37299973,0.38587955,57
-0.64231443,-0.3082326,0.92050487,-0.85442746,57
0.09285673,-0.96384,-1.0,0.2598569,57
-0.45733988,0.48661476,0.1632555,-0.622712,64
1.0,0.36086464,-0.03958711,1.0,64
0.07211462,-0.1331821,-0.46803403,-0.28339767,64
0.91799784,-0.23077263,0.24535422,-0.26842898,64
0.35558656,0.3894737,0.4983424,-0.29079825,64
-0.055278897,0.2766787,0.45364043,0.07354495,
-0.11665729,-1.0,-0.7412902,0.5812141,
-0.56260526,0.49405792,-0.54072446,0.4297563,
0.5096538,-0.10286777,-1.0,0.23994893,
-0.92403615,-0.8719418,0.5731092,0.35274553,
-0.4149472,-0.5087781,0.17554072,1.0,
-0.70742905,-0.22832659,-0.58582306,0.3705627,
-0.11327249,0.88202304,-0.1685344,-0.095865294,
-0.034651008,-0.61645716,-1.0,-0.7088947,
0.5312492,-0.42117664,-0.06046948,-0.106850564,
0.79020923,-0.3416373,-0.14154027,0.06557481,
-0.47214034,-1.0,-0.41211587,0.6234262,
0.047787517,0.9526737,-0.8232523,0.515601,
-0.37310603,-0.04055333,-0.49082845,0.4729441,
0.047141466,-0.78649056,-0.4417763,-0.92963946,
0.5610633,0.6325812,-0.7648648,0.04241602,
0.98253447,0.3167613,-0.7609446,0.08325102,
0.34125304,-0.14001802,0.12332748,-0.11839241,
0.54015493,0.66045225,0.83551395,-0.17864086,
0.4577138,-0.42503136,0.092791304,0.4975255,
0.39243576,0.28991404,-0.17026596,-0.859146,
0.8577595,0.6909978,-0.039823666,-1.0,
0.16889086,0.6889198,-0.3270254,1.0,
-0.45601276,-0.2742318,0.309169,-0.9512479,
0.5825298,-0.42687595,0.8264454,0.08449772,
0.090507045,0.6248613,-0.20227098,-0.12765157,
-1.0,-1.0,-0.6957551,1.0,
-0.75421715,0.66188693,-0.5568391,-0.47087193,
-0.36879212,0.26667687,0.9182279,1.0,
-0.08305122,-0.5225146,0.4299434,0.8275947,
-0.5266044,0.22856006,1.0,0.91869855,
1.0,0.5808432,-0.23049152,0.13433613,
0.29617724,-0.60849756,0.25273812,0.26301095,
-0.8183171,0.20141137,-0.38598633,-0.62909144,
0.39537865,0.4560733,0.8991699,-0.3919727,
0.40056643,0.23341635,-0.8634805,0.39186382,
-0.1300402,0.37327147,-1.0,-0.91535467,
-0.56793356,-0.4450414,1.0,0.6764083,
-0.8386533,-0.4514092,-0.92351043,0.5152137,
-0.55261713,0.41301626,-0.47565562,1.0,
0.07338698,0.7098188,-1.0,-0.8369265,
-0.82091165,-0.11266947,0.74929243,0.32535666,
-0.5834203,-0.20841469,1.0,0.33531833,
0.92073154,1.0,0.43020487,0.2746178,
-0.54751647,0.16449536,0.948712,0.496624,
1.0,-0.7355303,-0.830646,-0.9667702,
-0.4405567,-0.42125332,0.44507086,0.26372683,
0.9179842,-0.48816738,0.4653387,0.7651048,
-0.9656019,-0.005365841,-0.2563193,1.0,
-0.16500452,-0.16640545,-0.69151,0.4498515,
0.30806568,-0.67632604,-0.9379419,-0.749024,
0.53328156,0.6431653,-1.0,-0.71878195,
0.6432762,-0.69324356,0.50379914,0.74562633,
-1.0,-0.33912113,-0.9146707,-1.0,
0.51306057,-0.2328929,0.26654375,0.061823368,
-0.6936001,-0.24751228,0.6056426,1.0,
0.40325034,-0.631492,0.32004654,-0.39726368,
-0.7184589,0.5497462,0.5853117,0.2429398,
-0.3376982,-1.0,-1.0,0.7341872,
-0.34161657,0.5415257,-0.8975682,0.66857916,
0.38628805,-0.6623518,0.16810688,1.0,
-0.20372279,-0.37882784,0.4686695,0.21726756,
0.38009068,1.0,0.26627028,-0.8544986,
0.38218856,-0.10048492,-1.0,0.3326769,
0.7918039,-0.011826813,0.5616235,0.80935276,
-0.38173237,-0.5424098,0.39731237,0.26505345,
0.39607427,0.48285574,0.14437057,0.58895284,
0.58570504,0.183416,0.6746622,0.89190507,
