generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20
0,202457,694409,412283,2659939,850068,1832094,732429,1047044,2065633,2257541,869732,542025,614450,1195587,649379,585672,1725586,216157,1187635,516357
1,4,5,4,3,5,4,4,4,5,4,3,4,4,4,6,5,4,3,3,5
2,4,5,4,5,8,4,8,4,4,4,4,5,4,4,10,4,4,5,4,5
3,6,5,5,6,9,6,8,6,4,4,5,5,4,6,8,4,4,5,4,5
4,6,6,6,9,11,9,8,6,8,7,5,5,4,6,8,4,4,5,9,5
5,5,6,6,16,14,14,8,5,14,6,5,6,5,7,11,7,8,5,12,6
6,6,6,7,16,14,16,8,6,25,9,5,6,7,10,16,9,8,5,12,6
7,6,6,7,18,15,16,8,10,25,28,7,7,11,19,16,9,11,5,18,7
8,6,10,8,18,17,16,8,11,25,25,7,6,16,28,16,11,20,5,18,8
9,6,11,8,17,17,21,8,21,28,32,7,6,16,38,22,14,27,5,18,8
10,6,12,8,23,17,21,8,21,28,41,7,6,16,38,21,15,24,5,18,8
11,6,14,9,25,17,51,9,21,28,41,7,7,16,47,22,15,40,5,15,8
12,6,15,9,23,17,58,13,26,29,51,8,7,16,47,27,15,38,5,15,8
13,6,18,9,39,17,58,18,26,37,54,10,7,16,47,27,15,38,5,24,10
14,6,18,11,41,19,58,19,26,59,59,10,8,16,50,27,15,41,5,24,12
15,6,18,12,45,18,58,20,24,59,61,15,8,16,50,27,15,41,5,24,12
16,6,18,15,45,20,60,30,24,59,62,21,8,16,50,27,15,41,5,24,12
17,6,26,15,45,20,64,30,32,59,67,21,12,16,50,27,15,41,5,20,14
18,6,26,15,53,23,64,30,33,62,67,24,12,18,50,27,15,44,5,20,13
19,6,26,15,63,22,67,30,33,75,67,24,17,18,54,27,21,44,5,31,13
20,6,26,15,63,22,72,30,36,75,67,24,17,18,54,23,21,44,5,34,13
21,6,34,15,58,24,72,30,33,75,77,24,17,23,52,27,21,44,5,34,13
22,6,34,15,58,24,71,30,33,75,77,29,17,23,65,28,21,54,5,34,15
23,6,34,15,69,27,71,30,37,75,77,32,17,23,65,35,21,54,5,52,15
24,6,34,15,69,30,77,30,37,77,76,30,21,23,65,35,21,67,5,52,15
25,6,34,15,85,28,77,30,37,77,76,30,33,22,65,35,21,67,5,61,14
26,6,34,15,85,31,77,30,40,77,76,30,33,22,67,35,21,75,5,71,17
27,6,32,15,94,31,77,30,48,81,76,34,33,22,74,43,21,75,5,71,17
28,6,35,15,94,43,77,30,48,86,76,34,33,22,74,43,21,75,5,71,17
29,6,40,16,94,43,77,30,48,86,76,46,33,22,74,43,21,75,5,71,17
30,6,40,22,93,43,77,30,43,91,77,46,33,22,74,43,27,75,5,71,18
31,6,40,22,93,43,77,30,60,91,77,52,33,39,74,43,31,75,5,71,21
32,6,40,22,93,38,73,30,60,91,77,52,33,39,75,43,31,75,5,71,21
33,6,40,22,94,57,73,30,60,91,86,51,31,39,75,43,31,91,5,69,20
34,6,40,22,103,57,73,30,60,91,91,51,31,39,75,43,31,91,5,69,22
35,6,53,22,103,57,73,30,60,91,91,51,41,39,75,43,31,91,5,69,27
36,6,54,22,101,57,84,35,60,91,91,51,41,39,75,48,31,94,5,69,27
37,6,54,22,101,61,84,35,60,92,91,64,41,35,75,48,35,94,5,66,27
38,6,54,22,115,61,84,35,64,97,91,64,41,35,75,47,40,88,5,66,27
39,6,54,29,126,63,84,35,64,97,91,55,41,44,75,47,40,93,5,69,29
40,6,54,28,132,67,84,39,63,98,93,55,41,44,75,47,55,94,5,69,43
41,6,54,28,136,67,84,35,63,98,112,61,41,44,75,42,55,100,5,74,43
42,6,61,28,136,67,84,38,63,99,109,61,41,44,75,45,55,112,5,74,43
43,6,61,28,136,67,84,38,63,99,109,61,41,44,75,49,55,112,5,74,43
44,6,65,28,136,67,90,38,63,99,109,68,52,44,75,53,55,112,5,74,43
45,6,65,28,136,67,101,39,71,99,109,68,57,45,75,53,55,112,5,74,45
46,6,65,28,136,67,101,39,79,103,109,68,56,45,75,53,55,112,5,74,45
47,6,65,28,136,67,101,39,79,103,109,68,56,55,75,53,55,112,5,76,45
48,6,65,28,136,68,101,39,79,103,109,68,62,55,75,53,51,112,5,76,45
49,6,65,28,136,77,101,39,79,103,109,68,64,57,75,54,51,112,5,76,45
50,6,65,28,136,77,101,43,80,103,119,78,74,57,75,54,51,115,5,76,45
