generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20
0,222353,554523,794718,258352,952166,682652,339843,315026,353095,622610,382629,317252,192479,939628,558681,211051,1737400,582118,1042658,682183
1,5,5,5,3,3,5,5,3,4,5,4,3,3,7,5,3,5,5,4,3
2,5,4,6,4,4,4,4,4,6,4,4,5,4,11,5,4,5,5,4,4
3,5,4,9,4,4,4,4,4,5,4,8,4,4,11,7,4,5,5,4,4
4,6,6,8,4,4,4,6,4,7,4,8,4,4,11,7,4,9,5,5,5
5,6,6,8,4,6,4,6,4,8,6,8,4,4,11,10,5,24,7,6,7
6,6,6,8,4,5,5,9,4,9,6,8,4,6,11,9,5,24,7,7,7
7,6,6,11,5,5,5,9,4,10,7,8,4,6,11,13,6,24,7,9,7
8,6,6,14,5,5,6,11,5,13,7,8,5,6,12,11,6,24,7,14,7
9,7,6,14,5,6,6,11,6,12,8,8,6,6,12,14,6,29,7,17,8
10,7,6,14,5,7,6,11,6,21,8,6,6,5,14,17,6,29,8,19,8
11,7,6,14,5,7,6,11,6,21,11,6,6,5,14,17,6,29,8,23,10
12,7,6,14,5,8,6,11,6,21,16,6,6,5,18,18,6,29,8,25,10
13,7,6,18,5,9,6,11,6,19,16,6,7,5,18,18,5,31,8,25,10
14,7,6,15,5,10,8,11,6,19,18,6,7,7,18,17,5,53,8,30,10
15,7,6,21,5,11,8,12,7,19,18,7,7,7,22,22,5,53,7,32,11
16,9,8,17,5,15,11,14,7,19,18,7,7,7,20,22,5,58,7,32,11
17,9,8,17,5,16,14,14,7,19,18,7,7,7,26,22,5,58,7,32,11
18,9,8,19,5,16,16,14,7,19,18,7,7,7,26,20,5,58,7,32,11
19,9,8,19,5,16,16,14,7,19,26,7,7,7,26,22,5,67,7,39,11
20,9,8,32,5,14,16,16,7,19,26,7,7,7,26,24,5,67,9,39,11
21,9,8,32,5,18,16,16,9,19,26,7,7,7,26,24,5,76,14,39,13
22,9,8,32,5,18,20,16,9,19,26,7,7,7,33,21,5,76,14,37,13
23,9,8,28,5,29,22,16,9,22,26,7,7,7,33,25,5,76,14,37,18
24,9,8,28,5,29,22,16,14,22,26,7,7,7,33,25,5,84,14,38,24
25,9,8,32,5,29,22,16,18,22,26,7,7,7,45,25,5,84,18,44,26
26,9,8,44,5,29,22,16,18,22,27,9,7,7,45,28,5,84,25,46,30
27,9,8,44,5,30,22,18,21,22,27,9,7,7,45,28,5,84,25,46,38
28,9,8,46,5,44,32,18,24,22,27,9,7,7,45,28,5,84,29,46,38
29,9,8,66,5,44,37,18,24,22,27,14,7,7,45,28,6,84,29,46,39
30,9,8,66,5,44,37,18,24,22,33,18,7,7,45,31,6,84,30,46,39
31,9,10,66,5,46,37,18,25,22,33,18,7,7,45,39,6,84,32,57,39
32,9,11,66,5,46,43,18,25,22,32,18,7,7,54,39,6,84,32,59,39
33,9,14,66,5,49,46,18,28,27,37,23,7,7,47,39,6,84,33,59,39
34,9,14,66,5,49,62,18,28,26,36,23,7,7,59,34,6,84,39,59,39
35,9,39,66,5,55,62,18,33,27,39,27,7,7,59,43,6,84,39,63,39
36,9,39,66,5,67,62,18,33,27,39,27,7,7,59,43,6,84,39,63,43
37,9,39,66,5,70,62,18,33,29,39,27,7,7,80,43,6,91,42,63,43
38,9,39,66,5,71,62,18,29,29,42,27,7,6,80,43,6,91,42,63,43
39,9,40,62,5,87,62,18,29,29,49,27,10,6,80,43,6,91,42,62,43
40,9,40,70,5,87,60,18,29,30,49,31,12,6,94,43,6,106,42,62,60
41,9,40,70,5,87,60,19,29,30,49,31,14,6,94,43,6,106,47,74,50
42,9,40,70,5,87,60,19,29,30,49,31,14,6,94,43,6,106,47,74,48
43,9,42,70,5,87,60,20,29,30,49,31,14,6,94,43,6,106,47,74,48
44,9,48,72,5,87,66,20,29,30,49,31,17,6,94,43,6,106,47,74,68
45,9,56,72,5,87,66,20,29,30,49,31,17,6,94,43,6,106,47,74,68
46,14,68,75,5,87,75,24,39,30,49,31,17,6,94,43,6,106,47,74,71
47,17,75,74,5,87,75,24,39,41,55,31,25,6,94,43,6,106,47,74,71
48,24,75,74,5,94,75,24,40,41,55,45,25,6,94,51,6,106,47,76,75
49,24,75,73,5,94,75,24,36,41,54,45,30,6,94,51,6,106,50,76,75
50,24,75,73,5,94,75,24,36,41,54,45,43,6,94,51,6,106,50,76,75
