generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20
0,205594,691081,326337,357146,260186,375573,719046,222781,197507,453580,751975,462351,241076,1183533,243786,564005,1193377,682960,222434,980044
1,4,4,3,4,4,4,3,3,4,4,4,3,3,3,3,3,3,3,4,3
2,5,4,4,4,5,4,6,3,4,4,4,4,4,5,6,3,4,3,4,6
3,5,4,4,4,5,4,6,4,5,5,4,4,4,6,6,4,6,4,4,7
4,4,6,4,5,5,6,6,4,5,5,4,5,6,8,6,5,6,4,4,7
5,5,6,4,6,5,6,6,4,5,5,5,6,6,10,6,6,7,8,5,5
6,5,7,4,6,7,7,5,4,5,5,5,7,6,13,6,8,7,8,6,7
7,6,7,6,7,7,8,7,4,5,5,6,7,6,14,6,10,7,11,8,7
8,6,7,6,7,8,10,7,5,5,5,6,7,6,19,6,10,7,13,8,7
9,6,7,6,10,8,10,7,5,6,6,6,7,6,19,6,13,9,13,8,7
10,6,7,5,11,8,10,9,6,6,6,7,7,6,23,6,15,9,18,7,7
11,7,10,6,13,8,11,9,6,6,6,7,7,6,23,6,29,10,16,7,7
12,7,13,6,16,10,19,11,6,6,6,7,7,6,23,6,29,10,16,7,12
13,7,15,6,16,12,19,13,6,6,6,8,7,6,28,7,29,10,16,7,20
14,7,15,9,18,13,19,14,6,6,6,8,7,6,28,7,29,15,16,10,25
15,9,18,13,18,16,19,14,6,6,9,7,7,6,39,7,29,15,16,11,28
16,9,18,14,18,19,19,14,7,6,9,7,7,6,39,7,29,16,16,12,29
17,9,18,14,18,19,19,14,7,6,10,7,7,6,43,9,29,22,16,13,35
18,9,18,14,18,19,19,18,7,6,8,21,7,6,59,9,29,22,19,13,40
19,9,19,14,18,19,19,19,7,6,10,26,7,6,59,9,29,30,26,13,45
20,9,19,17,18,19,19,19,7,6,12,38,7,6,59,9,29,37,26,13,46
21,9,26,18,18,19,16,20,7,6,14,38,7,6,59,9,29,49,26,13,46
22,9,26,18,18,19,16,25,7,6,18,38,7,6,66,9,29,49,34,13,67
23,9,26,18,22,19,16,27,7,6,18,43,7,6,66,9,29,56,31,14,65
24,9,28,18,22,19,16,27,7,6,25,43,7,6,66,9,32,64,31,14,65
25,9,28,18,22,19,16,27,7,6,25,43,7,6,66,9,32,79,36,13,68
26,9,34,18,22,19,16,35,9,6,25,46,7,6,66,9,32,79,36,13,68
27,9,34,18,23,19,20,55,9,6,25,46,7,6,66,9,32,77,43,13,68
28,9,34,21,23,19,27,55,9,6,25,46,7,6,66,9,32,77,47,13,68
29,9,34,21,23,20,27,55,9,6,25,55,7,6,63,9,32,77,44,13,68
30,9,34,21,23,20,27,55,9,6,25,55,14,6,63,9,32,77,47,13,75
31,9,38,21,23,20,30,56,9,6,25,55,23,6,63,9,32,82,49,13,75
32,9,36,21,21,20,30,75,9,6,25,55,35,7,63,9,32,87,53,18,75
33,9,41,21,21,20,30,75,9,6,33,71,35,7,63,9,32,87,53,18,75
34,9,45,21,22,22,30,76,9,6,33,71,43,7,83,9,32,87,53,18,75
35,9,45,21,28,22,30,75,9,6,34,73,43,7,83,9,34,87,60,18,75
36,9,45,21,28,22,35,75,9,6,34,73,45,7,83,9,34,86,60,18,75
37,9,45,21,28,22,35,75,9,6,34,73,45,7,83,9,34,87,75,18,75
38,9,49,21,28,25,35,75,9,6,34,74,45,7,83,10,34,90,75,18,75
39,9,45,21,25,25,39,75,9,6,34,74,52,7,83,13,34,90,75,18,78
40,9,52,21,25,25,39,75,9,6,34,74,52,7,90,14,36,88,75,18,78
41,9,52,21,25,25,43,75,9,6,35,74,54,7,90,14,36,88,75,18,81
42,9,52,25,34,25,43,75,9,6,35,74,64,7,90,14,37,88,75,18,81
43,9,50,26,34,25,43,75,9,6,35,74,64,7,93,16,37,88,75,18,81
44,9,54,28,34,25,43,75,10,6,35,74,64,7,93,16,37,92,75,18,81
45,9,53,29,34,25,43,75,13,6,41,74,67,7,93,16,37,92,75,20,79
46,9,53,32,34,25,43,79,18,6,41,74,67,7,93,16,48,92,75,20,86
47,9,53,32,34,25,43,78,18,6,41,74,67,7,93,16,48,92,75,20,86
48,9,53,32,34,25,43,75,21,6,41,74,67,7,93,16,48,92,75,20,86
49,9,55,32,34,25,43,75,21,6,41,74,67,7,93,16,48,92,75,20,90
50,9,55,32,34,25,43,76,28,6,41,74,67,7,93,27,48,92,75,20,90
