generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20,score21,score22,score23,score24,score25,score26,score27,score28,score29,score30,score31,score32,score33,score34,score35,score36,score37,score38,score39,score40,score41,score42,score43,score44,score45,score46,score47,score48,score49,score50,score51,score52,score53,score54,score55,score56,score57,score58,score59,score60
0,1607222,1411403,1405345,389922,230968,899858,1069844,682756,571861,500701,1193221,576956,1292192,285977,1297006,1262728,439332,662962,438511,859512,1561764,1268385,1606681,265974,1482263,909330,237131,1526254,247746,343414,597348,1675041,396317,322933,562407,1770732,1307924,1694978,1444557,285650,1267968,654079,1824762,954334,334243,1008883,387704,240015,753477,228265,1260713,1301828,525043,290125,434249,1293892,450967,1239990,479253,1304093
1,4,3,4,3,4,4,5,3,3,3,4,5,3,3,3,4,4,3,4,7,4,3,3,4,6,3,3,5,3,4,4,4,4,4,6,3,4,4,4,4,4,3,4,3,5,4,3,4,3,3,7,4,3,3,3,3,4,3,4,4
2,4,4,4,4,4,4,8,4,4,5,4,5,4,3,4,4,4,5,4,7,4,6,4,5,4,5,4,5,3,4,4,4,4,4,5,4,5,4,4,4,5,4,4,4,4,4,5,4,3,5,8,4,4,3,4,4,4,4,4,4
3,5,4,4,4,4,4,8,4,4,4,4,5,4,3,6,4,4,5,6,7,4,6,4,5,4,5,4,5,4,4,4,5,4,4,5,4,6,4,7,4,5,4,4,4,6,5,5,4,6,4,11,5,4,6,5,4,4,6,4,4
4,7,8,5,4,4,4,15,4,4,4,6,5,5,4,6,4,4,6,6,9,4,6,4,5,4,6,4,6,4,4,5,5,4,5,4,5,6,4,8,5,14,6,8,4,6,5,5,4,6,4,12,5,5,4,4,4,4,5,6,4
5,8,10,5,4,4,6,15,4,5,4,8,5,5,4,6,5,4,7,6,15,5,4,6,5,4,4,4,6,4,4,5,8,4,5,4,11,6,4,20,5,14,6,10,5,6,6,7,4,6,4,12,5,5,4,4,4,4,6,5,4
6,8,12,5,4,4,6,16,4,6,8,12,6,6,4,6,5,5,7,6,15,7,5,9,5,4,4,4,6,4,4,5,9,4,5,5,12,9,4,20,5,16,6,14,7,6,5,7,4,6,5,14,5,5,6,5,4,6,14,5,4
7,15,17,5,5,4,6,16,5,6,8,12,6,6,5,6,5,5,8,6,15,7,5,27,5,4,4,4,10,4,5,5,9,4,6,6,21,10,7,20,5,20,5,11,7,6,5,7,4,10,5,15,5,5,6,5,4,5,14,7,6
8,15,29,5,7,4,7,16,6,9,8,13,6,6,5,6,5,10,19,6,15,11,6,38,5,4,7,4,10,5,5,6,13,6,6,7,29,10,7,20,5,24,6,16,7,5,5,7,5,10,5,14,5,6,5,5,5,5,14,7,8
9,21,29,5,8,4,7,16,6,9,9,14,6,6,5,6,6,10,19,7,15,11,7,38,5,4,7,4,10,5,7,6,17,6,6,7,36,10,11,20,5,24,8,28,9,5,5,7,5,11,5,33,6,6,5,5,5,5,14,7,11
