generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20
0,598463,1084916,293866,318526,478510,388001,1396485,289051,843692,925793,710748,892520,263830,519836,879300,295640,945372,845996,278601,717871
1,3,4,3,4,4,4,3,3,4,4,5,4,4,5,4,3,3,4,4,3
2,3,5,3,4,4,4,3,4,4,5,4,4,4,5,4,4,3,4,4,4
3,3,7,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4
4,4,7,4,4,4,5,4,4,4,5,4,4,4,5,4,4,6,4,4,4
5,4,16,5,4,4,5,4,4,4,9,4,4,4,5,4,4,7,4,4,4
6,6,22,5,4,4,6,4,4,4,9,6,4,4,5,8,4,7,4,5,4
7,6,22,5,4,6,6,4,4,4,8,7,5,4,7,8,4,7,4,5,5
8,6,22,5,6,6,6,6,6,4,15,7,5,4,8,8,6,7,4,5,5
9,6,22,4,6,7,6,9,7,5,15,9,6,4,8,8,6,7,9,5,5
10,6,26,4,6,7,6,14,7,7,15,16,6,4,7,8,5,7,8,5,5
11,6,26,5,6,8,6,21,7,7,13,16,7,4,8,8,6,7,13,5,6
12,6,28,5,6,9,6,27,7,6,17,16,13,4,8,8,5,7,20,5,6
13,6,32,5,6,16,6,35,7,6,26,18,19,4,8,8,6,7,20,5,6
14,6,32,5,6,19,6,35,7,9,31,18,19,4,9,11,6,7,20,5,6
15,6,41,5,6,21,6,35,8,9,31,18,20,5,9,18,6,7,20,5,6
16,7,41,5,6,21,7,44,8,11,39,26,38,5,13,18,6,7,20,5,6
17,7,40,7,6,24,7,44,8,13,39,26,38,5,18,18,6,7,20,6,6
18,7,51,7,6,24,7,44,7,18,39,26,38,5,18,17,6,7,18,6,7
19,7,48,7,6,24,7,48,7,24,39,27,38,5,18,17,6,7,30,6,7
20,7,48,7,6,24,7,48,8,24,39,27,35,5,18,23,6,7,30,6,7
21,7,48,7,6,27,7,57,8,38,47,34,35,5,18,22,6,8,30,6,7
22,7,61,7,6,41,7,57,8,36,47,43,35,5,21,23,6,13,38,6,7
23,8,61,6,6,41,7,52,8,35,47,43,35,5,21,23,6,26,38,6,7
24,14,75,6,6,41,7,56,8,48,47,43,57,5,21,31,6,26,38,6,7
25,25,76,6,6,41,7,56,8,48,47,43,58,6,21,31,6,30,38,6,7
26,25,76,6,6,41,7,82,8,48,47,43,60,6,22,31,6,33,38,6,7
27,25,76,6,6,41,9,82,9,48,47,41,61,6,22,31,6,51,38,6,8
28,30,76,6,6,41,9,92,9,48,47,41,61,8,22,35,6,57,38,6,10
29,37,76,6,6,41,9,92,9,53,47,41,70,8,30,50,6,57,50,6,19
30,40,76,7,6,41,9,92,9,53,62,41,72,8,30,53,6,68,50,6,29
31,40,76,7,6,41,9,92,9,59,62,41,72,8,30,53,6,66,50,6,32
32,40,76,7,6,41,11,92,9,75,60,41,72,8,30,72,6,66,50,6,36
33,40,76,8,6,41,15,92,11,75,68,41,72,8,30,72,6,66,55,6,36
34,40,76,8,6,41,20,92,11,75,68,41,72,8,31,72,6,66,55,6,36
35,48,76,13,6,41,20,92,16,78,68,57,72,8,31,72,6,82,65,6,41
36,48,76,13,6,41,20,92,16,78,75,61,72,8,31,72,6,82,65,6,48
37,52,76,12,6,41,20,92,16,78,74,61,72,8,41,72,6,82,65,6,52
38,52,82,13,6,41,20,92,16,78,74,61,72,8,41,72,6,82,65,8,58
39,52,82,13,6,41,18,92,16,94,74,61,72,8,44,78,6,82,65,8,58
40,52,82,15,6,41,23,92,17,94,74,61,72,8,44,78,6,76,58,8,58
41,52,82,19,6,41,19,92,18,94,74,61,72,8,51,75,6,83,70,8,71
42,52,82,19,6,41,36,92,18,94,74,61,72,8,54,75,6,85,70,8,71
43,52,82,19,6,46,36,92,18,94,74,61,72,8,54,75,6,85,59,8,71
44,55,82,19,6,46,36,92,18,94,74,61,72,8,54,75,6,85,76,8,71
45,55,82,20,6,62,36,92,28,94,74,61,72,8,54,75,6,85,76,8,75
46,55,82,20,6,62,36,102,28,94,74,61,72,8,54,75,6,88,87,8,75
47,55,82,20,6,62,36,102,28,94,74,61,73,8,54,75,6,88,87,8,75
48,84,82,20,6,62,29,102,28,94,74,61,71,8,54,75,6,88,87,8,75
49,84,82,20,6,62,29,102,28,94,74,75,71,8,61,75,6,88,87,8,75
50,84,82,21,6,62,29,102,28,116,78,75,71,8,61,85,6,88,87,8,80
