generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
0,19804381,18024361,15096497,13180169,12428986,12599539,12791015,12669195,9299989,13229819
1,3,3,4,4,5,5,4,4,4,3
2,4,4,4,6,5,4,5,5,4,5
3,4,4,4,6,7,5,5,5,4,5
4,4,7,4,7,10,5,5,6,5,7
5,5,12,5,18,14,5,5,8,5,9
6,5,12,5,23,17,6,6,9,6,12
7,7,11,5,23,24,9,6,11,6,18
8,7,13,5,23,56,17,6,24,10,24
9,7,13,5,23,56,17,6,24,24,24
10,8,14,8,31,56,17,6,30,24,23
11,7,20,11,31,56,17,6,39,24,23
12,13,21,29,57,56,17,11,57,40,23
13,16,22,28,57,56,17,13,66,40,32
14,42,29,37,57,56,17,14,66,40,32
15,42,29,48,57,56,17,19,76,40,31
16,42,41,48,67,57,17,18,76,40,31
17,46,41,58,67,57,17,18,76,50,31
18,49,51,71,75,57,17,21,76,57,31
19,52,51,75,74,65,17,27,76,57,31
20,69,49,75,75,68,17,30,76,61,31
21,69,49,75,75,75,17,37,76,61,31
22,69,49,76,78,83,17,45,76,61,37
23,68,49,76,82,77,17,45,85,61,37
24,77,47,80,78,77,19,52,86,61,41
25,77,47,80,78,77,20,52,86,63,46
26,83,47,82,90,86,25,52,69,63,70
27,83,47,83,90,86,25,52,78,63,76
28,83,47,83,90,86,25,52,78,63,76
29,83,47,83,89,86,27,52,73,63,76
30,86,47,83,89,86,27,52,74,63,72
31,86,78,83,89,86,28,47,87,63,75
32,85,78,93,89,86,45,64,87,63,75
33,85,78,93,89,86,45,64,87,63,75
34,85,78,93,89,86,59,88,110,63,100
35,85,78,93,89,86,59,88,110,63,100
36,90,78,100,94,86,59,84,110,63,100
37,90,67,100,94,90,59,84,110,76,100
38,90,67,100,94,90,59,88,110,76,100
39,90,70,100,94,90,59,88,98,76,100
40,90,76,100,94,90,59,92,98,76,100
41,90,76,100,94,90,60,92,98,77,112
42,90,75,100,94,90,59,92,98,77,112
43,90,75,100,94,90,71,92,98,77,112
44,90,77,100,94,90,71,92,98,77,112
45,90,77,100,91,94,71,92,98,77,112
46,90,77,100,91,94,74,95,98,83,112
47,90,77,104,91,96,76,95,98,83,112
48,90,77,104,91,96,69,103,98,83,112
49,90,77,104,93,96,69,103,98,83,112
50,90,77,104,93,96,74,103,98,83,113
51,89,77,104,93,96,75,103,98,81,113
52,103,77,104,93,96,97,103,98,83,113
53,103,77,104,93,96,97,103,98,83,113
54,103,77,97,93,96,108,103,98,88,113
55,103,77,105,93,96,108,103,98,88,113
56,103,77,109,93,96,108,103,98,88,113
57,103,77,109,95,96,108,103,98,88,113
58,103,77,115,95,96,108,103,98,92,113
59,103,77,115,95,98,112,103,98,92,120
60,92,77,115,95,98,112,103,98,92,112
61,97,77,115,95,98,112,103,98,92,129
62,97,95,115,95,98,112,103,98,92,129
63,97,95,115,102,98,112,103,98,92,129
64,97,89,117,102,98,112,103,98,92,129
65,97,89,117,102,98,112,103,98,92,129
66,97,89,117,102,98,112,103,98,92,129
67,97,94,123,102,98,112,103,98,92,129
68,97,105,118,102,98,112,103,98,92,129
69,97,112,118,102,101,112,103,98,92,129
70,97,112,125,102,101,112,103,98,92,124
71,97,112,125,102,101,112,103,101,92,124
72,97,112,125,102,104,112,103,101,92,128
73,97,112,125,102,104,112,103,101,92,128
74,97,112,125,102,104,112,103,101,92,128
75,97,112,147,102,104,112,103,101,95,128
76,97,112,149,97,104,117,103,101,95,128
77,97,112,149,97,104,117,103,101,95,128
78,97,103,150,97,104,117,103,101,95,128
79,97,109,150,97,104,117,103,101,95,128
80,97,109,150,102,104,114,103,101,95,128
81,97,118,150,102,104,114,103,101,95,128
82,132,118,150,102,104,114,103,101,95,128
83,132,144,150,102,104,114,103,101,95,128
84,132,144,150,102,104,114,103,101,95,128
85,132,144,150,102,104,125,103,101,95,128
86,132,144,150,102,104,125,103,101,95,128
87,118,144,150,102,104,125,103,101,95,128
88,118,144,150,102,104,125,103,101,95,128
89,118,144,150,102,104,125,103,101,95,128
90,118,144,150,102,104,125,103,101,95,136
91,118,142,150,102,104,125,103,101,95,136
92,118,142,150,102,104,125,103,101,95,136
93,118,148,150,102,104,125,103,101,95,136
94,118,148,150,102,104,125,103,101,95,136
95,118,146,150,102,104,125,103,101,95,136
96,125,146,150,102,104,125,103,114,95,136
97,125,146,150,120,104,125,103,114,95,136
98,125,146,150,120,104,121,103,114,95,136
99,125,149,150,120,104,121,103,114,95,136
100,125,150,150,111,104,121,103,114,95,136
101,125,150,150,111,104,137,103,114,95,136
102,125,150,150,111,104,137,103,114,95,136
103,125,150,150,111,104,138,103,114,95,136
104,131,150,150,111,104,134,103,114,95,136
105,131,150,150,111,104,134,103,114,95,136
106,131,150,150,111,104,134,103,114,95,136
107,131,150,150,111,104,149,103,114,95,144
108,147,150,150,111,104,150,103,114,95,144
109,147,150,150,111,104,152,103,114,95,144
110,147,150,150,111,104,152,103,114,95,144
111,147,150,150,111,104,152,103,114,95,144
112,147,147,150,111,104,152,103,114,95,144
113,149,147,150,111,104,152,103,114,95,144
114,149,147,150,111,104,152,103,114,95,144
115,149,147,150,111,104,163,103,114,95,144
116,149,147,150,113,104,163,103,114,95,144
117,149,147,150,113,104,163,103,114,95,144
118,149,147,150,113,104,163,103,114,95,144
119,149,147,150,113,104,163,103,114,95,144
120,149,147,150,113,104,163,103,114,95,144
121,149,147,150,113,104,163,103,114,95,144
122,149,147,150,113,104,163,103,114,95,144
123,149,147,150,113,104,163,108,114,95,144
124,149,147,150,113,104,163,108,114,95,144
125,149,147,150,113,104,163,108,114,97,144
126,149,147,150,113,104,163,113,114,97,144
127,149,147,150,113,104,163,113,114,97,144
128,149,147,150,113,104,163,113,114,97,144
129,149,147,150,113,104,163,113,114,97,144
130,149,147,150,113,104,163,113,114,97,144
131,149,147,150,113,104,163,113,114,97,144
132,149,147,150,113,104,163,113,114,97,144
133,149,147,150,113,104,163,113,114,97,144
134,149,147,150,113,104,163,113,114,97,144
135,149,147,150,113,104,163,113,114,97,144
136,149,147,150,113,104,163,113,114,97,144
137,149,147,150,113,104,163,113,114,97,144
138,149,147,150,113,104,176,123,118,97,144
139,149,147,150,113,104,176,123,118,97,144
140,149,147,150,113,104,176,123,118,97,144
141,149,147,150,113,104,176,123,118,97,144
142,149,147,150,113,104,176,123,118,97,144
143,149,147,150,113,104,176,123,118,97,144
144,149,147,150,113,104,176,123,118,97,144
145,149,147,150,113,104,176,123,118,97,144
146,149,147,150,113,104,176,123,118,97,144
147,149,147,150,113,104,176,125,118,98,144
148,149,147,150,113,104,176,125,118,98,144
149,149,147,150,113,104,176,125,118,98,144
150,149,147,150,113,104,176,125,118,98,144
151,149,147,150,113,104,176,125,118,98,144
152,149,147,149,113,105,176,125,118,98,144
153,149,147,149,113,105,176,125,118,98,144
154,149,147,149,113,105,176,125,118,98,144
155,149,147,151,113,105,176,125,118,98,144
156,149,147,151,113,105,176,125,118,98,144
157,149,147,151,113,105,176,125,118,98,144
158,149,147,151,113,105,176,125,118,98,144
159,149,147,151,113,105,176,125,118,98,144
160,149,147,151,113,105,176,125,118,98,144
161,149,147,151,112,105,176,125,118,98,144
162,149,147,151,112,105,176,125,118,98,144
163,149,147,151,112,105,176,125,118,98,144
164,149,147,151,112,105,176,125,118,98,144
165,149,147,151,112,105,176,125,118,98,144
166,149,147,151,112,105,176,125,118,98,144
167,149,147,151,112,105,176,125,118,98,144
168,149,147,151,112,105,176,125,118,98,144
169,149,147,149,112,105,176,125,118,98,144
170,149,147,149,112,105,176,125,118,98,144
171,149,147,149,112,105,176,125,118,98,144
172,149,147,149,112,105,176,125,118,122,144
173,149,147,149,112,105,176,125,118,122,144
174,149,147,149,112,105,176,125,118,122,144
175,149,147,149,112,105,176,125,118,122,144
176,149,147,149,112,105,176,125,118,122,144
177,149,147,149,112,105,176,125,118,122,144
178,149,147,149,112,105,176,125,118,122,144
179,149,147,149,112,105,176,125,118,122,144
180,149,147,149,112,105,176,125,118,122,144
181,149,147,149,112,105,176,125,118,136,144
182,149,147,149,112,105,176,125,118,136,144
183,149,147,149,112,105,176,125,118,136,144
184,149,147,149,126,105,176,125,118,136,144
185,149,147,149,126,105,176,125,118,136,144
186,149,147,149,126,105,176,125,118,136,144
187,149,147,149,126,105,176,125,118,136,144
188,149,147,149,126,105,176,125,118,136,144
189,149,147,149,126,105,176,124,118,136,146
190,149,147,149,126,105,176,124,118,136,146
191,149,147,149,126,105,176,124,118,136,146
192,149,147,149,126,105,176,124,118,136,146
193,149,147,149,126,105,176,124,118,136,146
194,149,147,149,126,105,176,124,122,136,146
195,149,147,149,126,105,176,124,122,136,146
196,149,147,149,126,105,176,124,122,136,146
197,149,147,149,126,105,176,124,122,136,146
198,149,147,149,126,105,176,124,122,136,146
199,149,147,149,126,105,176,124,122,136,146
200,149,147,149,126,105,176,124,122,136,146
