generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20
0,2219348,916975,965689,916837,1773239,415059,677539,220271,541889,1176101,336773,150937,889351,1171003,385930,589882,326021,440224,178946,420012
1,4,3,5,9,4,4,3,3,4,5,4,4,4,3,5,3,4,4,4,4
2,7,4,4,13,5,4,4,4,7,5,4,5,5,6,4,4,4,5,4,4
3,7,4,9,13,5,6,4,5,7,4,4,5,6,6,5,4,4,4,4,4
4,7,11,9,13,12,7,4,5,7,7,5,5,6,7,5,6,6,4,4,5
5,7,14,9,13,18,7,6,5,8,23,5,5,7,16,6,6,6,6,5,5
6,8,14,10,13,21,7,5,5,8,23,5,5,6,19,6,7,6,6,5,5
7,15,16,12,13,27,7,5,5,11,23,5,5,6,17,6,12,6,8,5,7
8,23,18,13,16,27,7,5,6,10,23,5,5,8,23,7,13,6,8,5,7
9,25,18,14,22,32,7,6,6,10,23,6,5,8,23,7,16,6,8,5,7
10,31,18,14,22,43,8,6,6,12,23,6,6,8,34,7,16,6,16,5,7
11,29,16,14,34,43,13,6,6,11,23,6,6,11,34,7,17,6,16,5,7
12,37,18,18,34,43,13,6,6,15,30,6,6,16,40,7,17,6,16,5,7
13,37,20,18,34,52,13,9,6,23,30,6,6,17,40,7,17,6,23,5,7
14,45,20,18,34,47,13,10,6,23,43,6,6,16,40,7,17,6,23,6,7
15,50,20,18,34,68,13,17,6,23,43,6,7,24,40,7,19,6,21,6,7
16,50,22,19,49,68,16,21,7,27,49,6,7,37,40,7,25,6,31,6,7
17,50,22,19,49,74,16,21,7,27,54,6,7,37,40,7,26,6,31,6,7
18,50,24,22,48,74,16,21,7,27,54,6,7,37,59,7,28,6,31,6,7
19,57,24,22,48,74,16,21,7,30,54,6,7,37,59,8,28,6,31,6,7
20,66,24,21,48,74,17,32,7,30,54,6,7,29,59,10,33,8,31,6,7
21,66,28,23,48,82,17,32,7,30,56,10,7,29,59,17,33,8,31,6,7
22,66,32,28,48,82,17,31,7,30,56,11,7,38,59,23,33,9,31,6,7
23,66,32,29,48,82,19,31,7,30,56,20,7,44,75,23,33,16,33,6,7
24,73,31,40,48,82,19,34,7,30,68,18,7,48,77,23,33,16,33,6,7
25,77,40,41,48,82,19,34,7,31,78,18,7,48,79,24,33,18,32,6,7
26,87,40,52,48,82,19,38,7,31,72,18,7,56,79,26,44,19,34,6,7
27,87,40,51,53,82,19,44,7,31,84,26,7,56,79,25,44,22,37,6,7
28,87,46,51,53,95,19,44,7,31,83,23,7,56,79,25,47,22,37,6,7
29,92,53,54,53,95,19,44,7,41,83,23,7,56,79,25,47,22,37,6,7
30,92,53,57,51,95,26,44,7,41,83,23,7,71,79,26,49,22,37,6,7
31,92,53,57,51,95,26,44,7,41,83,26,7,71,79,31,49,25,37,6,11
32,96,53,57,51,95,26,43,7,41,83,26,7,71,99,31,61,25,37,6,23
33,98,53,68,58,95,26,43,7,41,81,26,7,71,99,31,61,25,37,6,24
34,103,53,71,58,95,26,43,7,41,81,26,7,71,99,31,61,25,37,6,22
35,103,53,71,58,95,26,43,7,41,81,26,7,70,99,36,61,25,50,6,29
36,104,53,71,58,95,26,43,7,41,87,26,7,87,99,36,61,25,50,6,50
37,118,56,71,58,105,26,52,7,50,87,26,7,87,99,55,61,29,50,6,50
38,118,56,71,58,105,26,52,7,50,87,26,7,87,99,55,61,28,50,6,50
39,118,54,71,58,105,26,52,10,50,90,26,7,87,99,55,61,28,50,6,50
40,114,67,71,58,105,26,52,13,57,90,31,7,87,99,56,62,28,50,6,39
41,114,67,71,58,105,26,52,15,57,90,31,7,83,99,56,62,30,60,6,50
42,114,60,83,58,105,26,52,16,57,90,31,7,83,99,56,62,30,60,6,50
43,117,60,86,58,105,26,52,16,57,90,31,7,95,99,56,63,30,55,7,63
44,117,60,86,58,105,26,52,24,57,90,31,7,95,99,56,63,30,55,7,78
45,117,60,86,67,105,31,52,25,59,90,30,7,95,97,56,63,31,55,7,78
46,125,60,86,67,105,31,52,28,59,94,50,7,95,97,56,63,31,55,7,78
47,125,71,86,67,105,31,52,28,59,94,50,7,95,97,61,63,31,55,8,89
48,125,71,86,67,105,30,52,28,63,94,50,7,95,97,61,68,31,55,8,89
49,125,76,86,67,103,30,52,42,71,94,50,7,95,103,61,68,31,58,10,89
50,125,74,86,67,111,30,52,42,71,94,50,7,95,103,63,68,31,58,17,89
