generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20
0,1669373,881584,1102486,242361,606190,620576,702877,293977,231200,212245,645938,502752,705710,264661,513514,750727,447054,274984,824530,655834
1,6,3,3,3,4,3,4,3,5,6,5,3,4,3,3,3,5,3,3,4
2,6,4,4,3,4,3,5,4,4,6,4,4,7,3,4,4,5,5,4,4
3,6,4,4,4,5,3,5,4,4,6,4,4,7,3,4,5,7,5,4,4
4,6,4,4,5,5,5,9,4,4,6,4,6,8,4,4,6,7,7,4,4
5,8,4,5,5,5,5,10,4,4,6,5,6,10,4,4,9,7,7,7,5
6,24,5,7,6,5,6,14,4,4,6,6,6,10,5,5,9,7,7,7,6
7,24,5,9,7,7,6,25,5,5,6,9,6,10,5,5,11,8,7,7,8
8,24,5,20,7,7,6,25,5,5,6,10,6,12,5,5,11,8,7,7,8
9,24,5,20,7,7,10,25,5,5,6,10,6,12,5,5,12,8,7,7,8
10,24,5,34,7,7,9,23,8,5,6,9,5,15,5,6,12,8,7,8,8
11,31,5,34,7,7,9,23,8,5,6,12,5,16,5,6,12,8,7,8,8
12,37,7,34,7,7,11,23,8,5,6,12,5,25,5,6,13,8,7,8,7
13,36,7,34,7,7,12,23,7,5,7,13,5,25,5,6,15,13,7,7,7
14,43,11,34,7,7,12,23,7,7,7,16,5,24,5,7,23,13,7,9,10
15,43,13,34,7,7,16,28,7,7,7,16,5,24,5,7,23,13,7,10,13
16,43,18,48,6,7,20,28,7,7,7,15,5,32,6,7,24,17,7,14,32
17,41,18,48,6,7,24,28,7,7,7,19,5,33,6,7,29,17,7,25,32
18,41,18,48,6,7,24,28,7,7,6,19,5,35,6,7,29,17,7,25,32
19,63,21,48,6,11,28,28,7,7,6,19,5,36,6,7,29,18,7,25,32
20,63,18,48,6,16,28,29,7,7,6,36,5,46,6,7,29,18,7,29,37
21,72,22,48,6,16,25,29,7,7,6,36,6,46,6,8,41,18,7,29,37
22,61,25,56,6,15,25,29,7,7,6,36,9,46,6,8,41,18,7,37,37
23,83,25,56,6,15,33,37,7,7,6,36,13,46,6,8,41,18,7,42,46
24,93,25,56,6,16,28,37,7,7,7,36,13,60,6,9,41,18,7,42,46
25,93,27,56,7,17,36,37,7,7,7,36,13,65,6,17,41,18,7,52,46
26,93,31,56,7,17,36,37,7,7,7,36,21,73,6,25,63,18,7,52,64
27,93,31,56,7,26,36,37,7,7,7,36,31,73,6,31,63,18,7,50,67
28,93,58,56,7,26,36,46,7,7,7,36,31,73,6,31,63,18,7,59,67
29,93,58,56,7,37,38,46,7,7,7,36,31,73,6,31,63,26,7,56,67
30,93,81,72,7,37,38,46,9,7,7,36,31,73,6,31,63,37,7,56,67
31,93,81,82,7,39,38,45,9,7,7,36,31,78,6,31,63,37,7,56,67
32,93,81,85,7,39,45,45,10,7,7,36,31,78,6,31,63,37,7,68,67
33,93,81,85,7,49,46,45,11,7,7,53,31,78,6,31,63,36,7,75,72
34,93,81,85,7,51,55,45,14,7,7,53,31,78,6,33,63,36,7,75,77
35,93,75,85,7,51,59,45,14,7,7,53,63,78,6,46,63,36,7,77,77
36,93,84,85,7,51,59,50,14,7,7,53,63,78,7,46,63,36,7,76,77
37,93,84,85,7,51,61,50,14,7,7,53,60,78,7,46,63,36,7,76,77
38,93,77,85,7,51,60,50,20,7,7,53,60,78,7,46,63,36,7,76,77
39,93,78,87,7,53,60,50,23,7,7,60,60,78,7,46,63,36,7,76,77
40,93,78,87,7,53,60,50,23,7,7,60,60,78,7,46,85,36,7,76,77
41,93,103,87,7,53,60,50,28,7,8,60,60,84,8,46,85,36,8,82,81
42,93,103,90,7,53,60,50,25,7,8,60,60,84,10,46,85,36,8,88,81
43,93,103,90,8,53,60,62,25,7,8,60,64,84,11,46,85,36,8,88,81
44,93,103,90,8,62,60,62,30,7,9,60,65,84,20,45,85,36,8,88,89
45,93,103,90,8,71,60,62,30,8,15,72,65,84,20,52,85,36,8,88,89
46,93,103,90,8,75,60,70,45,8,17,71,74,84,20,49,85,36,8,88,77
47,93,103,90,8,75,60,70,45,8,17,87,74,84,22,49,85,36,8,88,97
48,93,103,90,8,75,60,69,45,8,17,88,74,84,22,49,85,36,8,88,97
49,93,103,90,8,75,60,79,45,8,19,88,74,84,29,61,83,36,8,88,97
50,93,104,90,8,75,60,79,45,8,19,88,75,84,29,61,83,44,8,88,97
