generation,score1,score2,score3,score4,score5
0,15115324,11650457,14002963,16004710,14339279
1,3,4,3,5,3
2,6,5,3,4,5
3,6,5,4,4,5
4,6,5,4,5,4
5,5,4,4,5,4
6,5,4,4,7,4
7,5,4,4,7,4
8,11,4,4,7,4
9,11,5,4,7,4
10,12,5,4,7,5
11,12,5,4,7,6
12,14,6,4,7,6
13,14,5,4,7,8
14,15,8,4,9,10
15,15,12,4,9,10
16,23,17,5,9,10
17,24,17,5,9,10
18,24,17,5,9,10
19,24,17,5,8,10
20,24,17,5,7,10
21,23,17,5,7,10
22,28,17,5,7,10
23,28,17,5,7,10
24,41,17,5,7,10
25,41,17,5,7,11
26,41,17,5,7,12
27,41,17,5,11,16
28,41,17,5,11,16
29,41,17,5,11,19
30,41,17,5,12,17
31,41,17,5,18,19
32,39,17,5,18,26
33,39,17,5,18,36
34,50,17,5,21,36
35,50,17,5,28,36
36,50,17,6,28,36
37,50,17,6,28,36
38,62,17,6,32,39
39,56,17,6,32,39
40,67,17,6,32,39
41,67,17,6,47,39
42,66,17,7,47,39
43,66,17,7,47,39
44,66,17,7,47,39
45,66,17,7,47,39
46,66,17,7,47,39
47,66,17,7,47,38
48,66,17,7,47,38
49,66,17,7,47,42
50,66,17,7,47,52
51,66,17,7,47,52
52,84,14,7,47,61
53,75,14,7,50,73
54,75,14,7,50,73
55,84,14,7,50,73
56,84,14,7,50,73
57,84,20,7,50,73
58,84,24,7,50,73
59,84,24,7,50,73
60,84,24,7,50,73
61,84,24,7,50,73
62,84,19,7,50,73
63,84,19,7,53,73
64,79,19,7,53,78
65,79,19,7,53,78
66,84,28,7,53,78
67,84,28,7,53,78
68,93,28,11,72,78
69,93,28,11,72,78
70,93,28,11,73,78
71,93,25,11,76,76
72,93,25,11,77,76
73,93,25,11,77,76
74,109,25,11,77,76
75,109,25,11,77,76
76,109,25,15,77,76
77,109,25,21,77,76
78,109,29,24,77,76
79,109,29,24,77,76
80,109,34,24,77,76
81,109,34,22,77,76
82,109,32,22,77,76
83,109,32,23,77,76
84,109,32,25,77,76
85,109,32,25,77,76
86,109,42,25,77,76
87,109,42,25,77,76
88,109,42,31,77,76
89,109,42,31,78,76
90,109,43,31,78,76
91,109,51,31,78,76
92,101,63,31,78,76
93,101,63,31,78,75
94,101,63,31,78,75
95,121,63,35,78,89
96,147,65,35,78,89
97,147,76,35,78,89
98,147,76,35,78,89
99,147,76,37,78,89
100,147,76,37,78,89
101,147,76,37,78,92
102,147,76,37,78,92
103,147,76,37,78,92
104,147,75,37,78,91
105,147,77,37,78,91
106,147,77,37,78,103
107,147,86,37,78,103
108,147,86,45,78,103
109,147,86,58,78,103
110,147,86,58,78,103
111,147,85,72,78,103
112,147,85,72,78,103
113,147,85,72,78,103
114,147,85,69,78,103
115,147,85,69,78,103
116,147,85,69,78,103
117,147,85,69,83,103
118,147,85,82,83,103
119,147,85,82,87,103
120,147,85,82,87,103
121,149,85,79,87,103
122,149,85,79,87,103
123,149,85,79,87,103
124,149,96,95,87,103
125,149,96,95,87,103
126,149,96,95,87,103
127,149,96,95,87,103
128,149,96,95,87,103
129,149,96,95,87,103
130,149,96,95,87,103
131,149,96,95,87,103
132,141,96,95,87,103
133,141,96,95,91,103
134,141,96,95,98,103
135,141,96,111,98,103
136,141,96,114,98,103
137,141,96,117,98,109
138,141,96,117,98,109
139,141,96,117,98,109
140,151,96,117,98,109
141,145,96,117,98,109
142,145,96,117,98,109
143,145,96,117,98,109
144,145,96,117,98,109
145,145,96,117,98,109
146,147,96,117,98,109
147,150,96,117,98,109
148,152,96,117,98,109
149,152,96,117,98,109
150,152,96,117,98,109
151,152,96,117,98,109
152,152,96,117,98,109
153,152,96,117,98,109
154,152,96,117,88,109
155,152,96,117,88,109
156,152,96,117,88,109
157,152,96,117,88,109
158,152,96,117,95,109
159,152,96,117,95,109
160,152,96,117,95,109
161,152,96,130,94,109
162,152,96,130,94,109
163,152,96,130,94,109
164,152,96,130,94,109
165,152,96,130,94,109
166,152,96,130,94,109
167,152,96,130,96,109
168,152,96,130,96,109
169,152,96,130,96,109
170,152,96,130,101,109
171,152,96,130,101,109
172,152,96,130,101,109
173,152,96,130,101,109
174,152,96,130,101,109
175,152,96,130,101,109
176,152,96,130,101,109
177,152,96,130,101,109
178,152,96,130,101,109
179,152,96,130,101,109
180,152,96,130,101,109
181,152,96,130,101,109
182,152,96,130,101,109
183,152,96,130,101,109
184,152,96,130,101,109
185,152,96,130,101,109
186,152,96,130,101,109
187,152,96,130,101,109
188,152,96,130,101,109
189,152,96,130,101,109
190,152,96,130,101,109
191,152,96,130,110,109
192,152,96,130,110,109
193,152,96,130,110,109
194,152,96,130,110,109
195,152,96,130,110,109
196,152,96,130,110,109
197,152,96,130,110,109
198,152,96,130,110,109
199,152,96,130,110,109
200,152,96,130,110,109
201,152,96,130,127,109
202,152,96,130,127,109
203,152,96,130,136,109
204,152,96,130,149,109
205,152,96,130,149,109
206,152,96,130,149,109
207,152,96,130,149,109
208,152,96,130,149,109
209,152,96,130,149,109
210,152,96,130,149,109
211,152,96,130,149,109
212,152,96,130,149,109
213,152,96,130,149,109
214,152,96,130,149,109
215,152,96,130,149,109
216,152,96,130,149,109
217,152,96,130,149,112
218,152,96,130,149,112
219,152,96,130,149,107
220,152,96,130,150,107
221,152,96,130,150,109
222,152,96,130,150,109
223,152,96,130,150,109
224,152,96,130,150,109
225,152,96,130,150,109
226,152,96,130,150,109
227,152,96,130,150,109
228,152,96,130,150,109
229,152,96,130,149,109
230,152,93,130,149,109
231,152,103,130,149,109
232,152,103,130,149,109
233,152,103,130,149,128
234,152,115,130,149,128
235,152,115,130,149,128
236,152,115,130,149,128
237,152,115,130,149,128
238,152,115,130,149,128
239,152,115,130,149,128
240,152,115,130,149,128
241,152,115,130,149,128
242,152,115,130,149,128
243,152,115,130,149,128
244,152,115,130,149,134
245,152,115,130,149,134
246,152,115,130,149,134
247,152,115,130,149,134
248,152,115,130,149,134
249,152,115,130,149,134
250,152,115,130,149,134
251,152,115,130,149,134
252,152,138,130,149,134
253,152,138,130,149,134
254,152,138,130,149,134
255,152,138,130,149,134
256,152,138,155,149,134
257,152,138,155,149,134
258,152,138,155,149,134
259,152,138,155,149,134
260,152,138,155,149,134
261,152,138,155,149,134
262,152,138,155,149,134
263,152,138,155,149,134
264,152,138,155,149,134
265,152,138,155,149,134
266,152,138,155,149,134
267,152,138,155,149,134
268,152,138,155,149,134
269,152,138,155,149,134
270,152,138,155,149,134
271,152,138,155,149,134
272,152,138,155,149,134
273,152,138,155,149,143
274,152,138,155,149,143
275,152,138,155,149,143
276,152,138,155,149,136
277,152,138,155,149,136
278,152,138,155,149,136
279,152,138,155,149,136
280,152,138,155,149,136
281,152,138,155,149,136
282,152,138,155,149,136
283,152,138,155,149,136
284,152,138,155,149,136
285,152,138,155,149,136
286,152,138,155,149,136
287,152,138,155,149,136
288,152,138,155,149,136
289,152,138,155,149,136
290,152,138,155,149,136
291,152,138,155,149,136
292,152,138,153,149,154
293,152,138,153,149,154
294,152,138,153,147,154
295,152,138,153,147,154
296,152,138,153,147,154
297,152,138,153,147,154
298,152,138,153,147,154
299,152,138,153,147,154
300,152,138,153,147,154
301,152,138,153,147,154
302,152,138,153,147,154
303,152,138,153,147,154
304,152,138,153,147,154
305,152,138,153,147,154
306,152,138,153,147,154
307,152,138,153,147,154
308,152,138,153,147,154
309,152,138,153,147,154
310,152,138,153,147,154
311,152,138,153,147,154
312,152,138,153,147,154
313,152,138,153,147,154
314,152,138,153,147,154
315,152,138,153,147,154
316,152,138,153,147,154
317,152,138,153,147,154
318,152,138,153,147,154
319,152,138,153,147,154
320,152,138,153,147,154
321,152,138,153,147,154
322,152,138,153,147,154
323,152,138,153,147,154
324,152,138,153,147,154
325,152,138,153,147,154
326,152,138,153,147,154
327,152,138,153,147,154
328,152,138,153,147,154
329,152,138,153,150,154
330,152,138,153,150,154
331,152,138,153,150,154
332,152,138,153,150,154
333,152,138,153,150,154
334,152,138,153,150,154
335,152,138,153,150,154
336,152,138,153,150,154
337,152,138,153,150,154
338,152,138,153,150,154
339,152,138,153,150,154
340,152,138,153,150,149
341,152,138,153,150,149
342,152,138,153,150,149
343,152,138,153,150,149
344,152,138,153,150,149
345,152,138,153,150,149
346,152,138,153,150,149
347,152,138,153,148,149
348,152,138,153,148,149
349,152,138,153,148,149
350,152,138,153,148,149
351,152,138,153,148,149
352,152,138,153,148,149
353,152,138,153,148,149
354,152,138,153,148,149
355,152,138,153,148,149
356,152,138,153,148,149
357,152,138,153,148,149
358,152,138,153,148,149
359,152,138,153,148,149
360,152,138,153,148,149
361,152,138,153,148,149
362,152,138,153,148,149
363,152,138,153,148,149
364,152,138,153,148,149
365,152,138,153,148,149
366,152,138,153,148,149
367,152,138,153,148,149
368,152,138,153,148,149
369,152,138,153,148,149
370,152,138,153,148,149
371,152,138,153,148,149
372,152,138,153,149,149
373,152,138,153,149,149
374,152,138,153,149,149
375,152,138,153,146,149
376,152,138,153,146,149
377,152,138,153,146,149
378,152,138,153,146,149
379,165,138,153,146,149
380,165,138,153,146,149
381,165,138,153,146,149
382,159,138,153,146,149
383,159,138,153,146,149
384,159,138,153,146,149
385,159,138,153,146,149
386,159,138,153,146,149
387,159,138,153,146,149
388,159,138,153,146,149
389,159,138,153,146,149
390,159,138,153,146,149
391,159,138,153,146,149
392,159,138,153,146,149
393,159,138,153,146,149
394,159,138,153,146,149
395,159,138,153,146,149
396,159,138,153,146,149
397,159,138,153,149,149
398,159,138,153,149,149
399,159,138,153,149,149
400,159,138,153,149,149
