generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20,score21,score22,score23,score24,score25,score26,score27,score28,score29,score30,score31,score32,score33,score34,score35,score36,score37,score38,score39,score40,score41,score42,score43,score44,score45,score46,score47,score48,score49,score50,score51,score52,score53,score54,score55,score56,score57,score58,score59,score60
0,593900,1119687,944838,1470881,382579,1177578,954039,1392613,1157077,1408982,1269682,273338,939849,803746,1495285,224335,950110,1750167,977338,646837,873771,518406,1665320,1121090,1167833,1484497,786668,1285269,832674,1753329,315053,1378699,1854126,235432,348791,240116,1087796,922957,237275,430825,1172884,1820374,619625,1504825,623492,703568,2465340,1378305,1103262,355380,766015,988714,2326094,275701,294324,972479,1245234,1418136,678305,1536293
1,3,3,5,5,4,5,3,4,8,3,5,4,4,3,4,4,5,5,4,5,4,4,4,4,5,5,5,5,3,4,5,6,4,4,4,4,4,4,3,4,4,5,5,4,5,4,5,4,3,5,4,4,4,4,3,5,4,7,4,4
2,4,4,4,8,4,5,4,4,13,4,7,4,4,6,4,4,7,5,4,5,4,5,5,5,4,5,5,4,4,4,4,7,4,4,4,4,8,4,4,4,4,4,6,4,5,4,5,4,4,5,5,4,4,4,4,5,4,7,4,8
3,4,4,7,11,5,7,5,4,13,4,12,5,4,7,4,4,7,4,4,10,5,5,12,5,4,7,6,4,4,9,5,9,4,4,5,4,8,6,4,4,5,8,6,5,6,5,9,5,5,4,8,4,6,5,4,6,4,5,5,13
4,5,5,13,12,5,11,6,7,13,4,15,5,5,7,6,4,6,4,5,10,5,5,28,5,5,10,5,5,8,27,5,14,4,5,5,4,9,8,4,5,5,14,7,5,6,5,16,6,7,4,9,6,12,5,5,6,4,5,5,22
5,5,8,13,19,5,11,6,5,19,4,21,5,5,6,9,4,6,4,5,10,5,7,32,7,5,10,8,6,8,27,5,20,4,5,5,5,19,13,5,5,5,18,7,5,8,5,23,12,12,4,11,5,18,5,5,6,4,5,5,25
6,5,25,13,19,6,11,16,5,19,12,18,7,5,8,11,5,10,5,6,10,5,7,38,7,5,14,12,6,10,29,5,20,4,5,5,5,19,17,7,6,8,24,6,7,8,7,27,12,12,4,12,6,32,5,7,7,5,6,5,28
7,9,30,14,19,6,15,21,5,19,16,18,7,9,8,15,5,10,5,6,11,5,7,46,8,5,14,16,6,10,29,5,20,4,5,5,5,19,20,5,6,11,24,8,7,8,8,38,14,13,6,13,6,32,6,7,7,5,7,8,28
8,10,33,17,32,6,17,21,5,19,16,28,7,12,8,17,5,17,16,13,16,5,8,43,10,5,17,20,6,14,36,5,20,5,6,5,5,21,20,5,6,19,30,13,8,10,8,55,15,17,6,13,9,55,6,7,7,5,10,8,31
9,13,60,17,32,6,23,21,6,19,20,29,7,14,8,20,5,17,36,18,16,5,8,43,19,5,33,20,6,18,36,5,23,13,6,5,5,21,27,5,7,20,38,13,11,10,8,59,15,17,7,16,9,55,6,7,7,6,13,9,31
