generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20
0,3418550,5690818,5664346,3405656,731280,1142411,2624362,1384539,2849355,1153305,2272271,1307674,2883889,4263672,2887668,1785771,997549,4987654,5078414,6366608
1,5,4,3,5,5,4,3,3,3,3,3,3,4,5,4,3,3,3,3,5
2,5,6,4,5,5,4,4,5,4,4,4,6,4,11,4,4,5,5,4,5
3,5,7,4,4,5,4,4,5,4,4,4,6,4,18,4,4,5,5,4,10
4,7,12,5,4,4,4,6,5,4,4,6,6,4,18,5,4,5,5,4,13
5,9,16,9,5,4,5,5,4,4,4,6,8,7,18,5,4,5,5,4,17
6,9,20,22,5,4,5,5,4,4,4,5,7,7,19,6,4,6,5,7,23
7,10,20,22,5,6,5,5,5,5,5,5,7,7,19,6,4,8,4,11,23
8,10,20,25,8,6,5,6,5,5,5,7,7,7,24,6,4,8,5,15,37
9,12,20,25,10,5,5,7,5,5,5,7,7,7,24,6,4,8,5,15,37
10,12,24,25,10,5,5,7,5,7,5,9,7,7,24,6,4,7,5,15,37
11,14,24,25,10,5,5,7,7,7,5,9,7,7,24,6,4,7,5,17,37
12,16,24,28,15,5,5,9,7,7,5,9,7,7,35,6,6,7,6,17,53
13,16,37,28,16,5,5,9,7,7,6,10,8,8,35,6,6,7,7,17,57
14,16,37,36,19,5,5,9,7,7,6,10,8,8,35,6,6,9,7,29,57
15,16,37,36,18,5,5,9,7,7,6,10,8,8,35,6,6,9,7,29,68
16,16,40,40,20,5,5,9,7,7,6,10,10,8,35,7,6,9,6,33,68
17,16,40,40,20,5,6,9,7,7,6,10,11,11,35,7,6,9,6,44,66
18,16,40,57,34,6,6,9,7,7,6,10,12,15,35,8,6,9,8,43,66
19,16,43,57,38,6,6,9,7,7,6,10,12,12,39,10,6,9,8,43,66
20,15,43,57,38,6,6,9,7,8,6,10,12,14,39,16,6,9,8,43,66
21,20,52,57,38,6,6,9,7,8,6,10,12,18,39,16,6,9,8,43,67
22,20,52,57,38,6,6,9,7,8,6,10,14,18,39,16,6,9,9,58,67
23,20,52,57,38,6,6,9,7,8,6,10,13,18,39,16,6,9,14,60,68
24,20,50,57,38,6,6,12,7,8,6,10,13,18,39,16,6,9,17,72,68
25,20,50,57,38,6,6,16,7,10,6,11,22,18,39,16,6,9,17,72,68
26,20,53,57,38,6,6,17,7,10,6,18,22,20,39,16,6,9,24,72,68
27,20,53,57,43,6,6,18,7,11,6,18,22,20,39,16,7,9,24,72,79
28,23,53,61,46,6,6,18,7,11,6,18,22,20,39,16,7,9,30,72,79
29,23,53,67,46,6,6,18,7,11,6,21,20,22,43,16,7,9,30,72,79
30,23,53,77,46,6,6,18,7,11,6,21,20,22,43,19,8,9,30,72,85
31,23,53,74,52,6,6,19,8,11,6,21,20,22,54,28,8,9,30,72,85
32,23,53,73,52,6,6,18,8,12,6,21,20,27,54,23,8,9,32,72,85
33,23,53,73,52,6,6,18,8,12,6,21,20,27,54,23,8,9,61,72,85
34,23,53,73,52,6,6,18,8,12,6,20,20,27,54,30,8,9,63,72,85
35,23,65,73,52,6,6,28,8,19,6,19,20,27,54,30,10,9,66,72,85
36,25,65,73,52,6,6,28,8,19,6,18,20,27,54,30,9,9,66,72,85
37,32,80,75,58,6,7,28,8,19,6,22,20,27,54,30,11,9,72,81,85
38,32,80,75,63,6,7,30,8,19,6,22,20,27,54,30,13,9,72,81,85
39,32,80,73,66,6,7,30,8,19,6,22,25,27,54,30,15,9,72,88,85
40,32,80,73,65,6,7,25,8,19,6,24,24,31,54,30,15,9,74,88,81
41,36,80,73,65,6,7,31,8,19,6,24,24,31,54,32,24,9,74,88,81
42,44,80,73,65,6,7,45,8,19,6,29,27,52,57,32,24,9,74,88,81
43,44,80,75,75,6,7,45,8,30,9,39,27,52,55,31,24,9,74,88,81
44,61,84,75,75,6,7,45,8,30,9,39,27,52,55,31,24,9,74,88,100
45,61,84,75,75,6,7,41,8,30,9,39,27,52,61,31,24,9,74,88,100
46,61,84,75,76,6,7,41,8,30,9,39,27,57,68,31,24,9,75,88,100
47,61,84,75,76,6,7,41,8,30,9,42,27,57,68,36,24,9,75,88,100
48,61,84,75,76,6,7,41,8,30,9,47,27,57,69,36,30,9,75,88,100
49,61,84,77,76,6,7,41,8,40,9,47,32,57,77,47,30,9,83,88,100
50,61,84,77,77,6,7,40,8,40,9,47,32,57,77,47,30,9,83,88,100
51,61,92,77,77,6,7,51,20,46,9,47,32,57,79,47,30,9,83,88,100
52,61,86,77,77,6,7,51,25,46,9,47,32,57,79,47,30,9,82,86,100
53,61,86,87,77,6,7,62,25,46,9,47,32,57,79,47,30,9,82,86,100
54,61,86,87,77,6,7,62,25,52,9,47,32,57,79,47,34,9,82,86,100
55,61,86,87,77,6,7,61,25,61,9,47,32,57,79,47,34,9,82,86,100
56,61,86,87,77,6,7,63,30,61,9,47,32,57,79,47,34,9,82,86,111
57,61,86,87,77,6,7,63,30,66,9,47,32,57,79,47,34,9,82,86,111
58,61,86,87,77,6,9,65,30,66,9,45,32,57,79,47,34,9,82,86,111
59,61,94,87,77,6,12,65,30,66,9,45,32,61,79,47,36,9,82,86,111
60,61,94,87,77,6,15,82,30,66,9,57,32,70,79,47,36,9,82,86,100
61,61,94,87,77,6,15,82,30,66,9,57,32,70,79,64,35,9,82,86,100
62,73,94,86,77,6,15,82,30,66,9,57,32,70,79,64,35,9,82,93,100
63,73,94,86,77,6,15,82,34,77,9,57,32,70,79,64,40,9,82,93,100
64,73,94,85,85,6,15,82,35,73,8,57,32,66,79,64,40,9,88,93,100
65,73,94,88,85,6,15,82,35,75,8,57,32,66,75,60,40,9,88,93,100
66,73,94,96,85,6,15,82,43,75,8,57,32,66,77,60,40,9,88,93,100
67,73,94,93,85,6,19,90,47,75,8,57,32,70,77,60,40,9,88,93,100
68,73,94,93,85,6,19,90,47,75,8,57,32,70,77,60,40,9,88,93,100
69,73,94,93,85,6,19,90,47,75,8,57,31,70,77,60,48,9,88,93,95
70,73,94,93,85,6,19,90,47,75,8,66,31,70,76,60,48,9,88,93,95
71,73,94,93,85,6,19,90,47,75,8,76,31,70,76,60,48,9,84,93,95
72,73,94,93,85,6,19,90,47,77,8,76,31,70,76,60,48,9,84,93,95
73,74,94,93,85,6,19,90,47,77,8,76,31,70,76,69,48,9,84,93,95
